Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,WTP,R_t Switch threshold if social distancing is off,R_t Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Case-fatality,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
Base,0,10,0,0,0,0,0,0,-617314354,1178568022,10828.61095,75883806.41,7588380.641,0,81991,3539,950,1799,849,950,81991,849,1799,137.2579618,2.917197452,5.582802548,56509.78344,1341.041401,8.589171975,99121.03503,0.567165912,0.013485093,8.80556E-05,0.471928849,0.021941433,44,0
Base,0,10,0,0,0,0,0,0,-695200574.1,2029998696,12005.65528,94917810.29,9491781.029,0,98264,4412,479,1994,1515,479,98264,1515,1994,280.8826531,2.37755102,10.06122449,31707.22959,1694.683673,12.51020408,98719.52041,0.281958529,0.017921992,0.000133548,0.759779338,0.020292274,27,0
Base,0,10,0,0,0,0,0,0,-754810398.7,776062361,13301.19084,89750856.92,8975085.692,0,98223,4202,637,2210,1573,637,98223,1573,2210,217.7542373,2.618644068,9.233050847,42308.02119,2582.466102,11.93644068,98829.44492,0.355913367,0.029048319,0.00013578,0.711764706,0.022499822,30,0
Base,0,10,0,0,0,0,0,0,-632979343.9,1813046880,11099.57292,78000698.05,7800069.805,0,83445,3511,981,1844,863,981,83445,863,1844,152.962069,3.25862069,6.175862069,56734.86207,1826.32069,9.572413793,99123.13793,0.569341545,0.018370334,9.79801E-05,0.468004338,0.022098388,42,0
Base,0,10,0,0,0,0,0,0,-612070786,2032407216,10555.00822,84320374.91,8432037.491,0,87730,3910,680,1753,1073,680,87730,1073,1753,237.2780488,3.23902439,8.414634146,51715.37561,1495.82439,11.72682927,99119.54634,0.486388281,0.01602248,0.000127166,0.612093554,0.019981762,28,0
Base,0,10,0,0,0,0,0,0,-561498180.2,1507873352,9930.362108,64980074.8,6498007.48,0,71651,2930,1164,1650,486,1164,71651,486,1650,79.22173913,2.4,3.430434783,68619.32826,1128.784783,5.969565217,99330.06522,0.675720983,0.011816048,6.40466E-05,0.294545455,0.02302829,63,0
Base,0,10,0,0,0,0,0,0,-545732523.1,1855899401,9511.581761,70153435.09,7015343.509,0,74059,3232,943,1580,637,943,74059,637,1580,118.7738095,2.702380952,4.556547619,55602.33036,827.5119048,7.354166667,99105.84524,0.5576231,0.008340362,7.56842E-05,0.403164557,0.021334342,48,0
Base,0,10,0,0,0,0,0,0,-698116260.2,1819459251,12248.90771,85670874.69,8567087.469,0,94027,4049,596,2035,1439,596,94027,1439,2035,282.4885057,3.327586207,11.54022989,41151.57471,1939.591954,14.95977011,98846.42529,0.413198444,0.01946725,0.000151861,0.707125307,0.02164272,25,0
Base,0,10,0,0,0,0,0,0,-555831137.5,909791748,9638.903499,73885962.58,7388596.258,0,75990,3337,883,1601,718,883,75990,718,1601,144.6883562,2.938356164,5.352739726,55376.63356,845.0273973,8.380136986,99120.30137,0.556453283,0.008486946,8.54538E-05,0.448469706,0.021068562,42,0
Base,0,10,0,0,0,0,0,0,-705277199.6,1339092841,12511.2541,79714494.6,7971449.46,0,88559,3668,650,2079,1429,650,88559,1429,2079,242.8342246,3.374331551,10.96256684,46415.67914,1700.374332,14.43315508,98842.6738,0.46640418,0.017082808,0.000146656,0.687349687,0.023475875,27,0
Base,0,10,0,0,0,0,0,0,-727335922.2,1365866345,12642.327,95219572.09,9521957.209,0,98911,4412,491,2100,1609,491,98911,1609,2100,263.569378,2.277511962,9.928229665,47173.92344,1480.210526,12.28229665,98982.79426,0.307192879,0.019521242,0.000163629,0.766190476,0.021231208,23,0
Base,0,10,0,0,0,0,0,0,-666696783.1,825453433,11441.15592,94638986.97,9463898.697,0,93935,4242,655,1900,1245,655,93935,1245,1900,270.3596059,3.118226601,9.187192118,42220.30049,2354.507389,12.4137931,98948.53202,0.423656396,0.023636044,0.00012643,0.655263158,0.020226753,29,0
Base,0,10,0,0,0,0,0,0,-728451839.3,939711378,12695.84445,93659616.78,9365961.678,0,98897,4387,449,2109,1660,449,98897,1660,2109,336.2795031,2.714285714,12.95652174,30668.30435,2413.645963,15.74534161,98655.29814,0.308199101,0.024218371,0.00015955,0.787102892,0.021325217,23,0
Base,0,10,0,0,0,0,0,0,-663599370.3,638950699,11475.6419,89817275.17,8981727.517,0,92702,4181,793,1906,1113,793,92702,1113,1906,227.7444934,3.370044053,8.202643172,44253.14537,2570.008811,11.71365639,98970.36564,0.444060988,0.025822641,0.000119507,0.583945435,0.020560506,33,0
Base,0,10,0,0,0,0,0,0,-621494453.1,938699148,10747.1414,84137382.84,8413738.284,0,86981,3864,724,1785,1061,724,86981,1061,1785,197.7959184,2.865306122,7.151020408,52813.24082,1194.722449,10.11020408,99106.71837,0.481288743,0.013239532,0.000113513,0.594397759,0.020521723,32,0
Base,0,10,0,0,0,0,0,0,-568529313,121790188,9778.923271,79583149.44,7958314.944,0,80993,3572,1010,1624,614,1010,80993,614,1624,128.4591549,2.74084507,4.43943662,58222.61127,1649.453521,7.256338028,99226.88169,0.584111724,0.016580231,7.45874E-05,0.378078818,0.020051116,50,0
Base,0,10,0,0,0,0,0,0,-719006687.6,1331335240,12521.54221,92929577.28,9292957.728,0,98109,4303,642,2080,1438,642,98109,1438,2080,242.1809955,2.850678733,9.298642534,37447.52036,2919.371041,12.17647059,98803.88235,0.336659633,0.031169551,0.000131599,0.691346154,0.021200909,30,0
Base,0,10,0,0,0,0,0,0,-758771517.8,470935411,13326.06748,92468143.6,9246814.36,0,98975,4158,470,2214,1744,470,98975,1744,2214,302.8465909,2.596590909,12.47727273,35632,1455.460227,15.125,98680.1875,0.270936276,0.016588043,0.000173941,0.787714544,0.022369285,23,0
Base,0,10,0,0,0,0,0,0,-716564045.7,823434397,12668.54484,83136803.63,8313680.363,0,91798,3750,709,2105,1396,709,91798,1396,2105,220.6186047,3.227906977,9.651162791,46808.49767,2193.618605,12.93953488,98895.94884,0.469692775,0.022052463,0.000131646,0.663182898,0.022930783,31,0
Base,0,10,0,0,0,0,0,0,-562850724.8,493045351,9723.849831,76658233.25,7665823.325,0,78717,3460,819,1615,796,819,78717,796,1615,163.0333333,2.922222222,5.840740741,54338.93704,740.1259259,8.885185185,99125.22593,0.542467537,0.007488666,9.12173E-05,0.492879257,0.020516534,39,0
Base,0,10,0,0,0,0,0,0,-605772953.6,1700216563,10334.36868,89054519.44,8905451.944,0,88673,4155,758,1716,958,758,88673,958,1716,201.9960784,2.898039216,6.6,48117.67843,1878.6,9.568627451,99071.76078,0.482862414,0.018870697,9.74648E-05,0.558275058,0.019352001,37,0
Base,0,10,0,0,0,0,0,0,-564749685.8,1744119059,9677.077485,80895811.55,8089581.155,0,86383,3836,640,1607,967,640,86383,967,1607,210.6396396,2.792792793,7.099099099,41744.62613,1075.806306,9.990990991,98983.54955,0.419794633,0.010792738,0.000101565,0.601742377,0.018603197,32,0
Base,0,10,0,0,0,0,0,0,-626532959.2,2036906360,10902.51794,81407062.38,8140706.238,0,84696,3657,1015,1811,796,1015,84696,796,1811,122.591029,2.580474934,4.643799472,52291.58575,1558.707124,7.303430079,99052.75198,0.501253436,0.016462144,7.87683E-05,0.439536168,0.021382356,51,0
Base,0,10,0,0,0,0,0,0,-627914997.2,809704121,10766.91401,89569296.58,8956929.658,0,91325,4175,744,1788,1044,744,91325,1044,1788,230.0044444,3.2,7.795555556,49393.05778,2102.137778,11.11111111,99107.21778,0.490754319,0.02129521,0.000114045,0.583892617,0.019578643,31,0
Base,0,10,0,0,0,0,0,0,-689876992.3,1219866412,11874.03504,96175240.13,9617524.013,0,98384,4371,666,1972,1306,666,98384,1306,1972,262.6792453,3.04245283,9.150943396,31383.17453,3812.504717,12.30660377,98763.44811,0.315146158,0.038296738,0.000125074,0.662271805,0.02004391,31,0
Base,0,10,0,0,0,0,0,0,-566746625.8,843498920,9866.95088,73399081.83,7339908.183,0,77365,3362,927,1639,712,927,77365,712,1639,138.0924092,2.95709571,5.254125413,55798.29043,1227.316832,8.320132013,99125.09241,0.560535675,0.012331531,8.50998E-05,0.434411226,0.021185291,44,0
Base,0,10,0,0,0,0,0,0,-760215563.1,107351963,13509.84965,84723080.42,8472308.042,0,93459,3855,828,2245,1417,828,93459,1417,2245,208.9913043,3.517391304,9.613043478,44414.20435,2832.965217,13.20434783,98801.62609,0.443306638,0.028636599,0.000135118,0.631180401,0.024021229,33,0
Base,0,10,0,0,0,0,0,0,-662511521.7,773789021,11439.85065,90518989.38,9051898.938,0,92985,4130,770,1900,1130,770,92985,1130,1900,223.9699571,3.197424893,8.004291845,45276.00858,2705.004292,11.32618026,98993.23176,0.449447407,0.027413046,0.000116181,0.594736842,0.020433403,33,0
Base,0,10,0,0,0,0,0,0,-735732877.5,850936611,13041.05973,83679891.14,8367989.114,0,91161,3774,747,2167,1420,747,91161,1420,2167,194.5265306,2.942857143,8.681632653,46095.76327,1952.579592,11.76326531,98819.50612,0.430287487,0.020835212,0.000126969,0.655283802,0.02377113,33,0
Base,0,10,0,0,0,0,0,0,-692568809,1701318364,12111.26951,87005333.61,8700533.361,0,92608,4009,676,2012,1336,676,92608,1336,2012,242.4902913,3.189320388,9.626213592,43138.96117,1910.849515,12.9223301,98875.82524,0.398177485,0.020376164,0.000139228,0.664015905,0.021725985,28,0
Base,0,10,0,0,0,0,0,0,-589506263.2,778708269,10270.23691,75994417.89,7599441.789,0,77483,3411,1125,1706,581,1125,77483,581,1706,112.9921466,2.832460733,4.306282723,61684.50785,1556.850785,7.248691099,99221.54712,0.616024109,0.015784522,7.51394E-05,0.34056272,0.022017733,55,0
Base,0,10,0,0,0,0,0,0,-667335589.2,1391938506,11813.69249,76650964.47,7665096.447,0,83791,3454,768,1963,1195,768,83791,1195,1963,208.5933014,3.545454545,9.19138756,49894.73684,1431.320574,12.8708134,98915.23445,0.501575178,0.014382938,0.000131325,0.608762099,0.023427337,30,0
Base,0,10,0,0,0,0,0,0,-518340134.3,43418681,9030.118199,66834224.31,6683422.431,0,68458,3066,1060,1500,440,1060,68458,440,1500,102.3351351,2.748648649,3.889189189,61848.52432,1030.340541,6.754054054,99220.35405,0.621433735,0.010350307,6.95197E-05,0.293333333,0.021911245,53,0
Base,0,10,0,0,0,0,0,0,-749550521.1,817384966,13187.18309,90191366.49,9019136.649,0,98186,4148,465,2191,1726,465,98186,1726,2191,253.1902439,2.209756098,10.58536585,23011.73659,1303.780488,12.84878049,98381.66341,0.220545355,0.013294958,0.00013225,0.787768142,0.02231479,29,0
Base,0,10,0,0,0,0,0,0,-720616972.6,762053968,12522.00461,94516742,9451674.2,0,97860,4382,507,2080,1573,507,97860,1573,2080,323.3491124,2.952662722,12.20118343,30718.36095,1809.591716,15.20118343,98656.75148,0.300627422,0.018376546,0.000155577,0.75625,0.021254854,24,0
Base,0,10,0,0,0,0,0,0,-664653268.8,1692506311,11487.82279,90262129.47,9026212.947,0,91311,4147,818,1908,1090,818,91311,1090,1908,177.9109589,2.719178082,6.400684932,46499.97945,2075.506849,9.212328767,98971.54795,0.437708372,0.022004105,9.89969E-05,0.571278826,0.02089562,39,0
Base,0,10,0,0,0,0,0,0,-532247164.8,1037620300,9300.43547,67225391.33,6722539.133,0,71917,3080,928,1545,617,928,71917,617,1545,109.7557471,2.545977011,4.281609195,69201.1408,872.9568966,6.954022989,99381.73563,0.6403694,0.01030799,8.39115E-05,0.399352751,0.021483099,43,0
Base,0,10,0,0,0,0,0,0,-634659062.3,301400999,11052.78363,82019880.55,8201988.055,0,84013,3657,821,1836,1015,821,84013,1015,1836,191.9510204,3.240816327,7.318367347,49291.91837,1418.718367,10.67346939,98973.35102,0.495349725,0.014257306,0.000108998,0.552832244,0.021853761,35,0
Base,0,10,0,0,0,0,0,0,-718769186,1868336855,12509.64306,93287033.1,9328703.31,0,97065,4219,596,2078,1482,596,97065,1482,2078,244.7818182,2.622727273,9.309090909,31378.4,1717.85,12.03181818,98641.36818,0.315295723,0.01726577,0.000122245,0.713185756,0.021408335,32,0
Base,0,10,0,0,0,0,0,0,-732907138.9,1868498144,12845.08639,90652819.26,9065281.926,0,96366,4215,639,2134,1495,639,96366,1495,2134,265.5612245,3.178571429,10.75510204,35889.26531,2046.505102,14,98711.09694,0.360445977,0.020562939,0.00014226,0.700562324,0.02214474,28,0
Base,0,10,0,0,0,0,0,0,-575823523.6,2101566889,9976.219416,77012552.79,7701255.279,0,79895,3525,949,1657,708,949,79895,708,1657,147.2809365,3.036789298,5.347826087,53873.28428,1511.956522,8.56187291,99108.48161,0.54116444,0.015195255,8.75897E-05,0.427278214,0.02074024,43,0
Base,0,10,0,0,0,0,0,0,-741864385.9,1665097450,13007.42655,91493058.35,9149305.835,0,98719,4249,439,2161,1722,439,98719,1722,2161,270.5538462,2.2,10.97948718,40847.35385,1735.358974,13.24102564,98806.04103,0.280851358,0.021227854,0.000163217,0.796853309,0.021890416,23,0
Base,0,10,0,0,0,0,0,0,-662826836.7,1716179948,11345.28405,95562634.37,9556263.437,0,99095,4423,486,1884,1398,486,99095,1398,1884,334.8915663,2.873493976,11.22891566,28923.22892,2058.084337,14.15060241,98773.43976,0.290764589,0.020632686,0.000143238,0.742038217,0.019012059,24,0
Base,0,10,0,0,0,0,0,0,-634158888.6,1560278715,11294.9511,69411333.74,6941133.374,0,75833,3087,910,1877,967,910,75833,967,1877,149.2480916,3.366412214,7.019083969,64183.09542,984.5992366,10.49236641,99183.04198,0.616514747,0.010671048,0.000115289,0.515183804,0.024752084,34,0
Base,0,10,0,0,0,0,0,0,-747816425.2,991019385,13133.49717,91141566.96,9114156.696,0,98318,4162,583,2182,1599,583,98318,1599,2182,283.1027027,3.075675676,11.67567568,34587.07568,3157.908108,14.82702703,98695.38919,0.347170772,0.031726455,0.000150272,0.732813932,0.022193291,27,0
Base,0,10,0,0,0,0,0,0,-736947521.3,118052103,12946.83231,89605905.81,8960590.581,0,96633,4227,656,2151,1495,656,96633,1495,2151,232.3438914,2.895927602,9.610859729,46855.69683,2203.0181,12.57918552,98941,0.416832852,0.024345991,0.000140456,0.69502557,0.022259477,29,0
Base,0,10,0,0,0,0,0,0,-761282297.9,1209758844,13504.17446,86073574.87,8607357.487,0,95860,3925,560,2244,1684,560,95860,1684,2244,261.7340426,2.893617021,11.80319149,45112.64894,1493.898936,14.77659574,98823.84574,0.364886585,0.017415983,0.000173952,0.750445633,0.023409138,24,0
Base,0,10,0,0,0,0,0,0,-603237954.8,70671723,10534.61071,76507419.43,7650741.943,0,79500,3436,1022,1750,728,1022,79500,728,1750,126.8425656,2.89212828,4.976676385,52954.3965,1422.102041,7.950437318,99034.01166,0.526653316,0.014469659,8.2242E-05,0.416,0.022012579,49,0
Base,0,10,0,0,0,0,0,0,-540962547.2,1722612191,9315.090036,75208045.35,7520804.535,0,75249,3375,1019,1547,528,1019,75249,528,1547,118.8314917,2.696132597,4.132596685,62690.39227,1147.138122,6.955801105,99292.93923,0.626964079,0.011590223,7.1633E-05,0.341305753,0.020558686,51,0
Base,0,10,0,0,0,0,0,0,-505605872.8,1968291596,8624.167481,74397498.72,7439749.872,0,72131,3360,929,1432,503,929,72131,503,1432,106.945,2.22,3.445,57257.275,721.1825,5.78,99191.8425,0.563316224,0.007450029,6.09729E-05,0.351256983,0.019852768,56,0
Base,0,10,0,0,0,0,0,0,-772151892.3,1877569084,13602.18262,92042761.34,9204276.134,0,98978,4152,490,2260,1770,490,98978,1770,2260,281.6170213,2.54787234,11.92553191,29500.15426,1681.037234,14.52659574,98514.78723,0.257095747,0.017838756,0.000155355,0.783185841,0.022833357,26,0
Base,0,10,0,0,0,0,0,0,-764972838.5,1726322189,13517.13775,89115951.13,8911595.113,0,98174,4184,534,2246,1712,534,98174,1712,2246,285.2346369,2.905027933,12.40782123,31439.22346,1864.782123,15.40782123,98566.62011,0.292345127,0.019382542,0.000161555,0.762243989,0.022877748,25,0
Base,0,10,0,0,0,0,0,0,-717132070.7,307848836,12491.35485,92564327.97,9256432.797,0,97357,4267,534,2075,1541,534,97357,1541,2075,290.4565217,2.820652174,11.14673913,31311.40761,1866.521739,14.05978261,98654.40761,0.314746647,0.018741872,0.000142482,0.742650602,0.021313311,27,0
Base,0,10,0,0,0,0,0,0,-694525647.2,1154000220,11975.86493,95732400.98,9573240.098,0,99096,4501,433,1989,1556,433,99096,1556,1989,279.3467337,2.115577889,9.899497487,19816.96985,1299.366834,12.08040201,98487.13568,0.19993622,0.013043102,0.000122288,0.782302665,0.020071446,29,0
Base,0,10,0,0,0,0,0,0,-547749686.8,2028661055,9506.31472,72433950.83,7243395.083,0,76239,3296,920,1579,659,920,76239,659,1579,131.7038217,2.821656051,4.869426752,55277.23248,1272.031847,7.808917197,99128.59236,0.555444398,0.012779928,7.99557E-05,0.417352755,0.020711185,45,0
Base,0,10,0,0,0,0,0,0,-689686172.2,1629114640,11903.54156,94509094.32,9450909.432,0,95836,4325,727,1977,1250,727,95836,1250,1977,227.3708333,2.95,8.104166667,36434.00417,2492.175,11.14166667,98809.53333,0.365746896,0.02504853,0.000113312,0.632271118,0.020628991,35,0
Base,0,10,0,0,0,0,0,0,-750778153.5,1439048174,13181.69957,91693175.13,9169317.513,0,98793,4165,519,2190,1671,519,98793,1671,2190,323.809816,3.116564417,13.3190184,32092.77914,2579.619632,16.50306748,98638.17178,0.309780631,0.026386221,0.000170097,0.763013699,0.022167562,23,0
Base,0,10,0,0,0,0,0,0,-761713588,865227006,13439.25341,89750917.52,8975091.752,0,99233,4139,438,2233,1795,438,99233,1795,2233,289.8876404,2.393258427,12.44382022,36498.20787,1498.179775,14.91573034,98688.94382,0.248399924,0.017835693,0.000178847,0.803851321,0.022502595,22,0
Base,0,10,0,0,0,0,0,0,-711807955.5,890479738,12341.98599,94708656.16,9470865.616,0,97864,4288,672,2050,1378,672,97864,1378,2050,251.9354839,3.01843318,9.30875576,34474.97235,3230.56682,12.40552995,98759.06452,0.346010264,0.032472051,0.000126141,0.672195122,0.020947437,31,0
Base,0,10,0,0,0,0,0,0,-609307656.5,1017049163,10554.14155,81600579.04,8160057.904,0,83746,3728,717,1753,1036,717,83746,1036,1753,213.5136364,3.140909091,7.777272727,51424.03636,1362.140909,11.04090909,99057.67273,0.516459805,0.013676023,0.000112735,0.59098688,0.020932343,32,0
Base,0,10,0,0,0,0,0,0,-530456542.1,1707305064,9063.517842,77280649.97,7728064.997,0,76051,3475,958,1505,547,958,76051,547,1505,130.5970588,2.723529412,4.291176471,59943.52059,1170.729412,7.102941176,99263.08235,0.589573523,0.01211463,7.49681E-05,0.36345515,0.019789352,48,0
Base,0,10,0,0,0,0,0,0,-763226687,400145663,13410.17616,92717879,9271787.9,0,99088,4284,408,2228,1820,408,99088,1820,2228,293.7417582,2.181318681,12.15384615,20558.84615,1460.549451,14.41208791,98322.45604,0.207477744,0.01467035,0.000145634,0.816876122,0.022485064,26,0
Base,0,10,0,0,0,0,0,0,-627991242,1662654181,10891.06185,83438149.64,8343814.964,0,86021,3770,744,1809,1065,744,86021,1065,1809,197.5349794,2.962962963,7.296296296,51404.48971,1448.872428,10.34979424,99062.19753,0.515931599,0.014553019,0.00010558,0.588723051,0.021029749,35,0
Base,0,10,0,0,0,0,0,0,-723120148.6,182136456,12564.16388,94911954.51,9491195.451,0,98897,4399,492,2087,1595,492,98897,1595,2087,293.5775401,2.582887701,11.06417112,26820.27273,1832.775401,13.68449198,98573.13904,0.249806983,0.018904701,0.00014239,0.764254911,0.021102763,26,0
Base,0,10,0,0,0,0,0,0,-510805827.8,979575387,8749.985431,73306556.27,7330655.627,0,73446,3306,1071,1453,382,1071,73446,382,1453,114.510929,2.81420765,3.816939891,60939.7541,1352.377049,6.759562842,99283.5929,0.611757537,0.013584382,6.92741E-05,0.262904336,0.019783242,53,0
Base,0,10,0,0,0,0,0,0,-752865721.7,2142525414,13253.29308,90201067.86,9020106.786,0,97981,4132,577,2202,1625,577,97981,1625,2202,282.9071038,3.076502732,11.90163934,41529.85246,2099.333333,15.04918033,98821.76503,0.371897656,0.022698971,0.000164296,0.737965486,0.022473745,25,0
Base,0,10,0,0,0,0,0,0,-669374779.2,1464057597,11595.62435,89593561.73,8959356.173,0,94756,4165,637,1926,1289,637,94756,1289,1926,250.9466019,3.009708738,9.203883495,42277.09709,1719.048544,12.31553398,98932.28641,0.421312851,0.017348916,0.000125611,0.669262721,0.02032589,30,0
Base,0,10,0,0,0,0,0,0,-717781660.4,364562610,12574.29869,89066726.1,8906672.61,0,96029,4108,544,2089,1545,544,96029,1545,2089,296.3121387,3.057803468,11.93063584,37171.42197,1875.219653,15.09248555,98755.56069,0.354767598,0.019381356,0.000157415,0.73958832,0.021753845,24,0
