Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,Periodicity (weeks),WTP,# CC Switch threshold if social distancing is off,# CC Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Length of Epidemic,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: Hospitalized,Total: ICU-Queue,Total: ICU,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % served in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Hospitalization rate,Average ratio: Deth rate,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
Base,0,3,0,100000,0,0,0,0,0,-29667,1043226599,29667,0,0,0,2.978021978,656631,65201,4172,32463,28291,1376,656631,65201,32463,4172,28291,29667,733.2738095,28.57875458,168.1446886,527991.4194,4951.07326,196.797619,979350.5275,0.535734069,0.005015397,0.000199719,0.128515541,0.953618499,0.000424072,0.000193164,155,0
Base,0,3,0,100000,0,0,0,0,0,-27487,257469460,27487,0,0,0,2.93956044,694496,72835,4019,30162,26143,1344,694496,72835,30162,4019,26143,27487,681.6309524,22.2032967,115.4496337,440964.3507,4162.898352,137.7188645,978458.7344,0.448151224,0.004212559,0.000139611,0.133247132,0.951104158,0.000473282,0.000178799,153,0
Base,0,3,0,100000,0,0,0,0,0,-28443,1232387964,28443,0,0,0,2.92032967,663176,67234,3972,31050,27078,1365,663176,67234,31050,3972,27078,28443,797.5879121,23.20238095,123.271978,479723.0467,4248.99359,146.540293,978271.6071,0.487671644,0.004301653,0.000148635,0.127922705,0.952009282,0.00043711,0.000185101,152,0
Base,0,3,0,100000,0,0,0,0,0,-29032,936806146,29032,0,0,0,2.901098901,704385,70740,3774,31475,27700,1332,704385,70740,31475,3774,27700,29032,835.5604396,21.7032967,128.981685,441636.9716,4636.230769,150.731685,977576.3507,0.448886141,0.004694436,0.000152903,0.119904686,0.954119592,0.000459989,0.000189011,151,0
Base,0,3,0,100000,0,0,0,0,0,-30106,1089073639,30106,0,0,0,2.958791209,747643,79746,3826,32499,28673,1433,747643,79746,32499,3826,28673,30106,918.0824176,22.27472527,114.7014652,414386.5101,5452.53663,137.0375458,977055.0385,0.420807535,0.005524814,0.00013911,0.117726699,0.952401515,0.000518942,0.000196114,154,0
Base,0,3,0,100000,0,0,0,0,0,-28622,404916852,28622,0,0,0,2.958791209,676896,71114,3863,31069,27206,1416,676896,71114,31069,3863,27206,28622,869.3498168,22.53021978,106.6694139,459729.7592,3752.487179,129.2591575,977722.9249,0.467568949,0.003799741,0.000131124,0.124336155,0.950527566,0.000462379,0.000186292,154,0
Base,0,3,0,100000,0,0,0,0,0,-32040,239233827,32040,0,0,0,2.978021978,680896,74094,4474,34722,30248,1792,680896,74094,34722,4474,30248,32040,698.5769231,23.46428571,123.2454212,465324.6062,3854.990842,146.768315,975466.8242,0.473874206,0.003909713,0.00014914,0.128852025,0.944069913,0.000482605,0.000208917,155,0
Base,0,3,0,100000,0,0,0,0,0,-30232,1270591778,30232,0,0,0,2.978021978,691501,70400,4253,32883,28630,1602,691501,70400,32883,4253,28630,30232,823.3525641,24.33974359,145.1401099,466196.141,4466.871795,169.5586081,977354.3397,0.473850209,0.004525686,0.000172103,0.129337348,0.947009791,0.000458024,0.000196924,155,0
Base,0,3,0,100000,0,0,0,0,0,-29057,317931843,29057,0,0,0,2.958791209,706965,73783,4154,31718,27564,1493,706965,73783,31718,4154,27564,29057,804.3818681,22.00641026,127.9368132,435500.8342,4629.044872,150.018315,977408.6767,0.442752348,0.004687519,0.000152194,0.130966644,0.948618233,0.000479816,0.000189173,154,0
Base,0,3,0,100000,0,0,0,0,0,-29344,1447263987,29344,0,0,0,2.978021978,660806,65341,3839,31797,27958,1386,660806,65341,31797,3839,27958,29344,830.2481685,25.62179487,162.7307692,485213.3736,4615.067766,188.4084249,977787.065,0.49341179,0.004673445,0.000191148,0.120734661,0.952767176,0.000424884,0.000191045,155,0
Base,0,3,0,100000,0,0,0,0,0,-31197,597720908,31197,0,0,0,2.958791209,673630,67575,4335,34024,29689,1508,673630,67575,34024,4335,29689,31197,780.0622711,25.18681319,155.7005495,493420.0375,3857.57967,180.9551282,977179.1932,0.501547306,0.003910595,0.000183768,0.127410063,0.951662019,0.000439878,0.00020332,154,0
Base,0,3,0,100000,0,0,0,0,0,-26012,533240777,26012,0,0,0,2.92032967,671340,68021,3689,28397,24708,1304,671340,68021,28397,3689,24708,26012,702.7124542,24.16117216,149.021978,480211.6731,3971.547619,173.242674,980440.6832,0.48720187,0.00401515,0.000175457,0.129908089,0.949869291,0.000441545,0.000169057,152,0
Base,0,3,0,100000,0,0,0,0,0,-28879,93411073,28879,0,0,0,2.843406593,679127,70641,3824,31213,27389,1490,679127,70641,31213,3824,27389,28879,779.1254579,21.68131868,115.3974359,467841.0064,3531.93315,137.1254579,977934.5311,0.475533459,0.003575991,0.000139104,0.122513055,0.948405416,0.000459288,0.000188001,148,0
Base,0,3,0,100000,0,0,0,0,0,-31201,2115334294,31201,0,0,0,2.978021978,693609,68585,3903,33601,29698,1503,693609,68585,33601,3903,29698,31201,626.4725275,21.78571429,130.4935897,434200.2958,3254.869963,152.3461538,975164.7134,0.442502973,0.003299406,0.000154723,0.116157257,0.951828467,0.000446485,0.00020337,155,0
Base,0,3,0,100000,0,0,0,0,0,-31985,1610837117,31985,0,0,0,2.901098901,692512,67483,3613,34448,30835,1150,692512,67483,34448,3613,30835,31985,733.518315,22.35164835,137.8177656,444531.7152,3859.636447,160.242674,974957.9661,0.45293027,0.003913447,0.000162796,0.104882722,0.964045646,0.000439472,0.000208572,151,0
Base,0,3,0,100000,0,0,0,0,0,-30932,2004122012,30932,0,0,0,2.978021978,711779,69287,4101,33537,29436,1496,711779,69287,33537,4101,29436,30932,795.8516484,20.02747253,114.3195971,431336.3388,3467.160256,134.4075092,975857.2701,0.43894276,0.003514267,0.000136497,0.122282852,0.951635846,0.000451055,0.000201607,155,0
Base,0,3,0,100000,0,0,0,0,0,-27790,1287676256,27790,0,0,0,2.978021978,671055,71946,3924,30225,26301,1489,671055,71946,30225,3924,26301,27790,838.1666667,25.31227106,155.5860806,494736.3132,4828.835165,180.9542125,979691.6667,0.502009798,0.0048858,0.000183445,0.129826303,0.946419575,0.000467403,0.000180782,155,0
Base,0,3,0,100000,0,0,0,0,0,-27871,255156572,27871,0,0,0,2.958791209,674945,70260,3713,30279,26566,1305,674945,70260,30279,3713,26566,27871,752.3415751,21.2481685,125.0879121,469392.6154,3873.931319,146.3983516,978644.4203,0.476920033,0.003920171,0.000148424,0.122626243,0.953177138,0.000456582,0.000181342,154,0
Base,0,3,0,100000,0,0,0,0,0,-27422,1649727319,27422,0,0,0,2.92032967,711116,72210,3445,29577,26132,1290,711116,72210,29577,3445,26132,27422,861.0357143,22.17765568,127.9432234,424870.0568,4962.333333,150.1749084,978401.5998,0.431706052,0.005020444,0.000152211,0.11647564,0.952957479,0.000469157,0.000178372,152,0
Base,0,3,0,100000,0,0,0,0,0,-29491,956266957,29491,0,0,0,2.978021978,661267,61553,4819,32580,27761,1730,661267,61553,32580,4819,27761,29491,672.6291209,25.4514652,121.6501832,506102.1932,4622.93956,147.1794872,978595.7518,0.514007042,0.004683075,0.000149375,0.14791283,0.941338035,0.000400358,0.000192018,155,0
Base,0,3,0,100000,0,0,0,0,0,-25135,1827185371,25135,0,0,0,2.92032967,667763,69519,4194,27795,23601,1534,667763,69519,27795,4194,23601,25135,662.5970696,24.96978022,112.1098901,483599.381,4401.814103,137.1419414,981116.0476,0.490437267,0.004449766,0.00013887,0.150890448,0.938969564,0.000451217,0.000163276,152,0
Base,0,3,0,100000,0,0,0,0,0,-28340,1996870627,28340,0,0,0,2.92032967,734627,73398,3365,30279,26914,1426,734627,73398,30279,3365,26914,28340,870.2399267,19.56318681,120.271978,407907.7234,4027.267399,139.8928571,977742.2289,0.414395552,0.004075817,0.000141854,0.111133129,0.949682428,0.000477086,0.000184451,152,0
Base,0,3,0,100000,0,0,0,0,0,-28053,38112397,28053,0,0,0,2.93956044,661335,70849,4893,31249,26356,1697,661335,70849,31249,4893,26356,28053,826.290293,26.63278388,155.3653846,516332.3617,5073.641941,182.0677656,980130.6731,0.523677757,0.005135334,0.000184606,0.156581011,0.939507361,0.000460403,0.000182503,153,0
Base,0,3,0,100000,0,0,0,0,0,-31632,1950159003,31632,0,0,0,2.978021978,716979,73326,4295,34129,29834,1798,716979,73326,34129,4295,29834,31632,754.1263736,23.17582418,134.9478022,433030.8416,4987.744505,158.1913919,975671.5037,0.440606466,0.005056762,0.000160697,0.125846055,0.943158827,0.000477426,0.000206214,155,0
Base,0,3,0,100000,0,0,0,0,0,-32782,1052996097,32782,0,0,0,2.92032967,689961,69452,4256,35578,31322,1460,689961,69452,35578,4256,31322,32782,866.6126374,25.78754579,138.547619,466537.7885,4989.805861,164.4038462,975360.6639,0.474918207,0.005062211,0.00016711,0.119624487,0.955463364,0.000452471,0.000213826,152,0
Base,0,3,0,100000,0,0,0,0,0,-32608,1425001677,32608,0,0,0,2.92032967,680992,70912,3772,35035,31263,1345,680992,70912,35035,3772,31263,32608,827.275641,23.58241758,139.4423077,470139.9597,4219.051282,163.0934066,975270.8049,0.47874692,0.00427988,0.000165756,0.107663765,0.958752453,0.00046197,0.000212693,152,0
Base,0,3,0,100000,0,0,0,0,0,-29992,1960537251,29992,0,0,0,2.843406593,691044,75939,4436,32972,28536,1456,691044,75939,32972,4436,28536,29992,916.5521978,23.06684982,143.9304029,487189.5192,4564.653846,167.0631868,978383.0403,0.494487212,0.004623861,0.000169538,0.134538396,0.951453721,0.000493971,0.000195346,148,0
Base,0,3,0,100000,0,0,0,0,0,-25645,742485397,25645,0,0,0,2.93956044,664341,67475,3749,28129,24380,1265,664341,67475,28129,3749,24380,25645,682.7106227,25.87179487,147.4020147,491084.435,4553.841575,173.3452381,980959.5366,0.498043774,0.004603436,0.00017554,0.133278823,0.950672646,0.000437926,0.000166629,153,0
Base,0,3,0,100000,0,0,0,0,0,-26728,905423139,26728,0,0,0,2.978021978,681261,71276,3646,29115,25469,1259,681261,71276,29115,3646,25469,26728,850.2152015,25.07417582,157.1666667,468101.2573,5091.601648,182.3104396,979767.4148,0.475142707,0.005149242,0.000184731,0.125227546,0.95289584,0.000462829,0.000173772,155,0
Base,0,3,0,100000,0,0,0,0,0,-32789,551782434,32789,0,0,0,2.958791209,731024,74942,4250,35520,31270,1519,731024,74942,35520,4250,31270,32789,811.2051282,20.63644689,116.1254579,408482.6401,4349.39011,136.8287546,974097.8379,0.416146491,0.004412692,0.000139087,0.119650901,0.953673488,0.000488382,0.00021392,154,0
Base,0,3,0,100000,0,0,0,0,0,-31233,571247626,31233,0,0,0,2.958791209,695061,70376,3807,33679,29872,1361,695061,70376,33679,3807,29872,31233,814.1401099,22.92765568,132.1474359,451908.8031,4022.124542,155.1327839,976027.5769,0.459900166,0.004076852,0.000157542,0.113037798,0.956424295,0.000458096,0.000203571,154,0
Base,0,3,0,100000,0,0,0,0,0,-25587,1271857357,25587,0,0,0,2.958791209,654475,60376,4636,28623,23987,1600,654475,60376,28623,4636,23987,25587,622.5228938,25.90842491,106.7527473,517927.8141,4767.14652,132.7445055,981722.2152,0.524804161,0.004820466,0.00013447,0.161967648,0.937468246,0.000391963,0.000166245,154,0
