Scenario,Decision Rule,Time of starting social distancing,Duration of Social Distancing,WTP,R_t Switch threshold if social distancing is off,R_t Switch threshold if social distancing is on,% I Switch threshold if social distancing is off,% I Switch threshold if social distancing is on,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Number of Switches,Length of Epidemic,Total New: I,Total New: H,Total New: ICU,Total New: ICU-Queue,Total New: COVID Death | Waiting for ICU,Total New: COVID Death | Not Waiting for ICU,Total: Incident,Total: ICU-Queue,Total: ICU,Total: COVID Death | Waiting for ICU,Total: COVID-Death,Average Size: H,Average Size: ICU,Average Size: ICU-Queue,Averge size: S,Averge size: I,Averge size: Waiting for or in ICU,Averge size: Population size,Average ratio: % Susceptible,Average ratio: % Infectious,Average ratio: % Waiting for or in ICU,Average ratio: % served in ICU,Average ratio: % Death While Waiting for ICU,Average ratio: Case-fatality,Utilization (unit of time): Default,Utilization (unit of time): Social Distancing
Base,0,20,0,0,0,0,0,0,-566208325.9,1178568022,9357.977344,98309458.67,4915472.933,0,19.97802198,85112,3777,284,1735,1451,101,85112,1735,284,1451,1552,6.438598901,0.299587912,1.453571429,18882.99505,59.92362637,1.764972527,99509.96566,0.189773008,0.000604567,1.7936E-05,0.163688761,0.93492268,0.018234797,1039,0
Base,0,20,0,0,0,0,0,0,-653096404.1,1273124119,11082.45442,98973683.22,4948684.161,0,19.99725275,84479,3576,262,2016,1754,85,84479,2016,262,1754,1839,6.295879121,0.250549451,1.708653846,19473.71223,53.13392857,1.970604396,99238.1864,0.196216003,0.000536933,2.0039E-05,0.129960317,0.953779228,0.021768724,1040,0
Base,0,20,0,0,0,0,0,0,-669684528,1535857466,11395.99965,99884545.41,4994227.271,0,19.95879121,87014,3551,218,2037,1819,72,87014,2037,218,1819,1891,6.131868132,0.218956044,1.989972527,17086.22637,45.26881868,2.216758242,99168.4114,0.172237878,0.000457824,2.24875E-05,0.107020128,0.961924907,0.021732135,1038,0
Base,0,20,0,0,0,0,0,0,-586157756.6,1813046880,9666.723736,102821569.8,5141078.489,0,19.99725275,86165,3743,297,1816,1519,84,86165,1816,297,1519,1603,6.575549451,0.281593407,1.727884615,17795.2761,74.71277473,2.020879121,99486.14931,0.178890948,0.000753643,2.05185E-05,0.163546256,0.947598253,0.018603841,1040,0
Base,0,20,0,0,0,0,0,0,-678117580.4,1294424481,11451.3205,105551555.5,5277577.774,0,19.99725275,93964,3988,251,2064,1813,87,93964,2064,251,1813,1900,6.731730769,0.23021978,1.844505495,9743.487637,80.49052198,2.083379121,99181.0169,0.098206668,0.000812565,2.11495E-05,0.121608527,0.954210526,0.02022051,1040,0
Base,0,20,0,0,0,0,0,0,-611802219.8,1842424189,10353.1258,94145929.8,4707296.49,0,19.97802198,86022,3696,285,1897,1612,106,86022,1897,285,1612,1718,6.1625,0.259478022,1.411675824,18414.37376,83.71895604,1.681868132,99422.86236,0.185202854,0.000844998,1.71086E-05,0.150237217,0.938300349,0.019971635,1039,0
Base,0,20,0,0,0,0,0,0,-683966545.9,1170127713,11335.21296,117205898.2,5860294.909,0,19.99725275,100075,4448,192,2026,1834,46,100075,2026,192,1834,1880,7.697664835,0.167857143,1.943956044,2854.953434,65.41222527,2.119642857,99179.27541,0.028791432,0.000659551,2.14901E-05,0.094768016,0.975531915,0.018785911,1040,0
Base,0,20,0,0,0,0,0,0,-720924211.9,1819459251,12309.96361,105426031.6,5271301.581,0,19.99725275,96261,4054,192,2164,1972,71,96261,2164,192,1972,2043,6.739697802,0.162774725,1.897802198,6770.64478,47.24065934,2.066758242,99026.58874,0.068372293,0.00047754,2.09584E-05,0.088724584,0.965247186,0.021223548,1040,0
Base,0,20,0,0,0,0,0,0,-535675314.7,909791748,8922.70698,89539965.74,4476998.287,0,19.97802198,79520,3389,265,1675,1410,70,79520,1675,265,1410,1480,5.737087912,0.25467033,1.470604396,24588.22981,35.19230769,1.736401099,99597.38448,0.246917035,0.0003559,1.76394E-05,0.158208955,0.952702703,0.01861167,1039,0
Base,0,20,0,0,0,0,0,0,-727127651,1339092841,12448.26258,104714522.2,5235726.108,0,19.99725275,91470,3857,193,2195,2002,64,91470,2195,193,2002,2066,6.576098901,0.185989011,1.980494505,11860.37239,44.72733516,2.174313187,99048.95261,0.119746422,0.000452547,2.20766E-05,0.087927107,0.969022265,0.02258664,1040,0
