Replication,Simulation Period,To: COVID Death | Waiting for ICU,To: COVID Death | Not Waiting for ICU,Incident,COVID Death | Waiting for ICU,COVID-Death,Code of Next Action,Simulation Time,In: S,In: E,In: I,In: H,In: ICU,In: ICU-Queue,In: R,S,I,Waiting for or in ICU,Population size,% Susceptible,% Infectious,% Waiting for or in ICU,% Death While Waiting for ICU,Case-fatality,Replication,Observation Period,Obs: Incident,Obs: Cost of Next Action,Epidemic Time,Obs: % Susceptible,Obs: % Infectious,Obs: % Waiting for or in ICU
0,0,-1,-1,-1,-1,-1,"1,0",0,99999,0,1,0,0,0,0,99999,1,0,100000,0.99999,0.00001,0,-1,-1,0,-1,-1,"1,0",-1,0.99999,0.00001,0
0,1,0,0,0,0,0,"1,0",0.019230769,99996,3,1,0,0,0,0,99996,1,0,100000,0.99996,0.00001,0,-1,-1,0,-1,-1,"1,0",-1,0.99996,0.00001,0
0,2,0,0,3,0,0,"1,0",0.038461538,99992,4,1,0,0,0,3,99992,1,0,100000,0.99992,0.00001,0,-1,0,0,1,3,"1,0",0.019230769,0.99992,0.00001,0
0,3,0,0,5,0,0,"1,0",0.057692308,99989,2,3,1,0,0,5,99989,3,0,100000,0.99989,0.00003,0,-1,0,0,2,5,"1,0",0.038461538,0.99989,0.00003,0
0,4,0,0,3,0,0,"1,0",0.076923077,99983,5,3,1,0,0,8,99983,3,0,100000,0.99983,0.00003,0,-1,0,0,3,3,"1,0",0.057692308,0.99983,0.00003,0
0,5,0,0,7,0,0,"1,0",0.096153846,99976,5,7,0,0,0,12,99976,7,0,100000,0.99976,0.00007,0,-1,0,0,4,7,"1,0",0.076923077,0.99976,0.00007,0
0,6,0,0,8,0,0,"1,0",0.115384615,99966,7,6,0,0,0,21,99966,6,0,100000,0.99966,0.00006,0,-1,0,0,5,8,"1,0",0.096153846,0.99966,0.00006,0
0,7,0,0,11,0,0,"1,0",0.134615385,99953,9,7,1,0,0,30,99953,7,0,100000,0.99953,0.00007,0,-1,0,0,6,11,"1,0",0.115384615,0.99953,0.00007,0
0,8,0,0,17,0,0,"1,0",0.153846154,99927,18,13,1,0,0,41,99927,13,0,100000,0.99927,0.00013,0,-1,0,0,7,17,"1,0",0.134615385,0.99927,0.00013,0
0,9,0,1,39,0,1,"1,0",0.173076923,99866,40,31,0,0,0,62,99866,31,0,99999,0.998669987,0.000310003,0,0,0.010752688,0,8,39,"1,0",0.153846154,0.998669987,0.000310003,0
0,10,0,1,56,0,1,"1,0",0.192307692,99790,60,41,0,0,0,107,99790,41,0,99998,0.997919958,0.000410008,0,0,0.013422819,0,9,56,"1,0",0.173076923,0.997919958,0.000410008,0
0,11,0,3,110,0,3,"1,0",0.211538462,99611,129,73,5,0,1,176,99611,73,1,99995,0.996159808,0.000730037,1.00005E-05,0,0.019305019,0,10,110,"1,0",0.192307692,0.996159808,0.000730037,1.00005E-05
0,12,0,2,172,0,2,"1,0",0.230769231,99342,226,120,10,0,0,295,99342,120,0,99993,0.993489544,0.001200084,0,0,0.016241299,0,11,172,"1,0",0.211538462,0.993489544,0.001200084,0
0,13,0,1,295,0,1,"1,0",0.25,98916,357,213,7,1,1,497,98916,213,2,99992,0.989239139,0.00213017,2.00016E-05,0,0.011019284,0,12,295,"1,0",0.230769231,0.989239139,0.00213017,2.00016E-05
0,14,0,6,532,0,6,"1,0",0.269230769,98159,582,388,17,0,2,838,98159,388,2,99986,0.981727442,0.003880543,2.00028E-05,0,0.011128776,0,13,532,"1,0",0.25,0.981727442,0.003880543,2.00028E-05
0,15,0,18,857,0,18,"1,0",0.288461538,96905,979,572,28,2,4,1478,96905,572,6,99968,0.969360195,0.005721831,6.00192E-05,0,0.015130024,0,14,857,"1,0",0.269230769,0.969360195,0.005721831,6.00192E-05
0,16,0,21,1393,0,21,"1,0",0.307692308,94944,1547,968,52,3,4,2429,94944,968,7,99947,0.94994347,0.009685133,7.00371E-05,0,0.015108324,0,15,1393,"1,0",0.288461538,0.94994347,0.009685133,7.00371E-05
0,17,0,29,2274,0,29,"1,0",0.326923077,91722,2495,1561,87,9,7,4037,91722,1561,16,99918,0.917972738,0.015622811,0.000160131,0,0.014181944,0,16,2274,"1,0",0.307692308,0.917972738,0.015622811,0.000160131
0,18,0,47,3489,0,47,"1,0",0.346153846,86882,3846,2415,133,9,15,6571,86882,2415,24,99871,0.869942225,0.024181194,0.00024031,0,0.013914357,0,17,3489,"1,0",0.326923077,0.869942225,0.024181194,0.00024031
0,19,25,64,5321,25,89,"1,0",0.365384615,79799,5608,3721,212,10,22,10410,79799,3721,32,99782,0.799733419,0.037291295,0.000320699,0.114678899,0.014939693,0,18,5321,"1,0",0.346153846,0.799733419,0.037291295,0.000320699
0,20,58,68,7514,58,126,"1,0",0.384615385,70485,7408,5379,316,10,28,16030,70485,5379,38,99656,0.707283054,0.053975676,0.000381312,0.24127907,0.015561386,0,19,7514,"1,0",0.365384615,0.707283054,0.053975676,0.000381312
0,21,81,70,9472,81,151,"1,0",0.403846154,59377,9044,6659,462,10,31,23922,59377,6659,41,99505,0.596723783,0.06692126,0.00041204,0.331313131,0.01567547,0,20,9472,"1,0",0.384615385,0.596723783,0.06692126,0.00041204
0,22,138,70,10615,138,208,"1,0",0.423076923,48427,9379,7535,608,10,32,33306,48427,7535,42,99297,0.487698521,0.075883461,0.000422974,0.429587482,0.016661532,0,21,10615,"1,0",0.403846154,0.487698521,0.075883461,0.000422974
0,23,151,70,10519,151,221,"1,0",0.442307692,38930,8357,7506,753,10,39,43481,38930,7506,49,99076,0.392930679,0.075760023,0.00049457,0.49025974,0.017529215,0,22,10519,"1,0",0.423076923,0.392930679,0.075760023,0.00049457
0,24,164,70,8907,164,234,"1,0",0.461538462,31740,6640,6615,744,10,31,53062,31740,6615,41,98842,0.321118553,0.066924991,0.000414803,0.532815199,0.018792905,0,23,8907,"1,0",0.442307692,0.321118553,0.066924991,0.000414803
0,25,115,70,6783,115,185,"1,0",0.480769231,26787,4810,5235,667,10,18,61130,26787,5235,28,98657,0.271516466,0.053062631,0.000283812,0.545048399,0.019633929,0,24,6783,"1,0",0.461538462,0.271516466,0.053062631,0.000283812
0,26,70,70,4761,70,140,"1,0",0.5,23547,3289,3796,549,10,19,67307,23547,3796,29,98517,0.239014586,0.038531421,0.000294365,0.540795684,0.020269809,0,25,4761,"1,0",0.480769231,0.239014586,0.038531421,0.000294365
0,27,35,67,3226,35,102,"1,0",0.519230769,21484,2126,2568,427,10,18,71782,21484,2568,28,98415,0.218300056,0.026093583,0.000284509,0.52807571,0.020749061,0,26,3226,"1,0",0.5,0.218300056,0.026093583,0.000284509
0,28,8,64,2113,8,72,"1,0",0.538461538,20150,1347,1704,320,8,14,74800,20150,1704,22,98343,0.204895112,0.01732711,0.000223707,0.509957755,0.021107742,0,27,2113,"1,0",0.519230769,0.204895112,0.01732711,0.000223707
0,29,4,50,1323,4,54,"1,0",0.557692308,19335,839,1110,236,7,6,76756,19335,1110,13,98289,0.196715807,0.011293227,0.000132263,0.496201052,0.021434388,0,28,1323,"1,0",0.538461538,0.196715807,0.011293227,0.000132263
0,30,0,29,831,0,29,"1,0",0.576923077,18834,509,682,185,4,4,78042,18834,682,8,98260,0.191675148,0.006940769,8.14166E-05,0.487931034,0.021573101,0,29,831,"1,0",0.557692308,0.191675148,0.006940769,8.14166E-05
0,31,0,23,514,0,23,"1,0",0.596153846,18523,306,427,125,1,0,78855,18523,427,1,98237,0.188554211,0.004346631,1.01795E-05,0.481565513,0.021719847,0,30,514,"1,0",0.576923077,0.188554211,0.004346631,1.01795E-05
0,32,0,9,302,0,9,"1,0",0.615384615,18327,200,265,93,0,2,79341,18327,265,2,98228,0.186576129,0.002697805,2.03608E-05,0.479119639,0.021749804,0,31,302,"1,0",0.596153846,0.186576129,0.002697805,2.03608E-05
0,33,0,8,195,0,8,"1,0",0.634615385,18225,107,163,56,3,1,79665,18225,163,4,98220,0.185552841,0.00165954,4.07249E-05,0.476966292,0.021795829,0,32,195,"1,0",0.615384615,0.185552841,0.00165954,4.07249E-05
0,34,0,8,115,0,8,"1,0",0.653846154,18154,63,117,33,0,0,79845,18154,117,0,98212,0.184845029,0.0011913,0,0.474832215,0.021863002,0,33,115,"1,0",0.634615385,0.184845029,0.0011913,0
0,35,0,4,70,0,4,"1,0",0.673076923,18096,51,60,19,2,0,79980,18096,60,2,98208,0.184261975,0.000610948,2.03649E-05,0.473772321,0.021893173,0,34,70,"1,0",0.653846154,0.184261975,0.000610948,2.03649E-05
0,36,0,3,40,0,3,"1,0",0.692307692,18071,36,37,10,1,0,80050,18071,37,1,98205,0.184013034,0.000376763,1.01828E-05,0.472980501,0.021919113,0,35,40,"1,0",0.673076923,0.184013034,0.000376763,1.01828E-05
0,37,0,2,36,0,2,"1,0",0.711538462,18042,29,32,9,0,0,80091,18042,32,0,98203,0.183721475,0.000325856,0,0.47245409,0.021933893,0,36,36,"1,0",0.692307692,0.183721475,0.000325856,0
0,38,0,1,26,0,1,"1,0",0.730769231,18022,23,20,6,0,0,80131,18022,20,0,98202,0.183519684,0.000203662,0,0.472191324,0.021939137,0,37,26,"1,0",0.711538462,0.183519684,0.000203662,0
