Iteration,f,x0,x1,x2,Df0,Df1,Df2,Step_Df,Step_GH
0,7585728739.30616,5,-1E-05,0.3,4.68253241107556E-08,-0.999999999999999,0,1,1
1,0,4.99999995317468,-1.18584612615602E-20,0.3,0,1,0,0.840896415253715,0.909090909090909
2,-2080674460.70831,4.99999995317468,-9.0909090909091E-06,0.3,0,1,0,0.759835685651593,0.833333333333333
3,3701763508.61785,4.99999995317468,-1.74242424242424E-05,0.3,0,-0.999999635612963,0.000853682576080521,0.707106781186548,0.769230769230769
4,-1673611763.76135,4.99999995317468,-9.73193753491195E-06,0.299934332109532,0,1,0,0.668740304976422,0.714285714285714
5,2871563539.88217,4.99999995317468,-1.68747946777691E-05,0.299934332109532,0,1,0,0.638943104246272,0.666666666666667
6,2217626968.93514,4.99999995317468,-2.35414613444358E-05,0.299934332109532,0,-1,0,0.614788152951264,0.625
7,1563162366.7419,4.99999995317468,-1.72914613444358E-05,0.299934332109532,-1.78360366585772E-06,-0.999999999316425,-3.69319625429516E-05,0.594603557501361,0.588235294117647
8,9123466725.98204,5.0000010023533,-1.14091084072803E-05,0.299936504577917,7.90284035167246E-08,-0.999999999999997,0,0.577350269189626,0.555555555555556
9,-689783424.001479,5.00000095844863,-5.85355285172478E-06,0.299936504577917,0,1,0,0.562341325190349,0.526315789473684
10,1784699702.67219,5.00000095844863,-1.11167107464616E-05,0.299936504577917,1.10863859977633E-07,-0.999999999999994,0,0.549100486776112,0.5
11,2482321796.18011,5.0000009030167,-6.11671074646166E-06,0.299936504577917,-1.2969776580479E-06,-0.999999999727258,-2.33195466014674E-05,0.537284965911771,0.476190476190476
12,0,5.00000152062511,-1.35480598585566E-06,0.299937615032517,0,1,0,0.526640387847927,0.454545454545455
13,-1632610025.39583,5.00000152062511,-5.90026053131021E-06,0.299937615032517,6.63328498121326E-06,-0.999999999978,0,0.516973153957171,0.434782608695652
14,0,4.99999863658817,-1.55243444444934E-06,0.299937615032517,0,-1,0,0.508132748154615,0.416666666666667
15,1025138350.96201,4.99999863658817,2.61423222221733E-06,0.299937615032517,0,1,0,0.5,0.4
16,0,4.99999863658817,-1.38576777778267E-06,0.299937615032517,2.58943694521881E-07,0.999999999999967,0,0.492479060505452,0.384615384615385
