Replication,Simulation Period,To: I,To I,Action Code,Simulation Time,In: S,In: E,In: I,In: R,S,I,Population size,% Susceptible,% Infectious,Replication,Observation Period,Obs: To I,Obs: Action Code,Epidemic Time,Obs: % Susceptible,Obs: % Infectious
0,0,-1,-1,"1,0",0,99999,0,1,0,99999,1,100000,0.99999,0.00001,0,-1,-1,"1,0",-1,0.99999,0.00001
0,1,1,1,"1,0",0.019230769,99994,4,1,1,99994,1,100000,0.99994,0.00001,0,1,1,"1,0",0.019230769,0.99994,0.00001
0,2,3,3,"1,0",0.038461538,99986,9,2,3,99986,2,100000,0.99986,0.00002,0,2,3,"1,0",0.038461538,0.99986,0.00002
0,3,14,14,"1,0",0.057692308,99966,15,13,6,99966,13,100000,0.99966,0.00013,0,3,14,"1,0",0.057692308,0.99966,0.00013
0,4,33,33,"1,0",0.076923077,99916,32,23,29,99916,23,100000,0.99916,0.00023,0,4,33,"1,0",0.076923077,0.99916,0.00023
0,5,44,44,"1,0",0.096153846,99842,62,38,58,99842,38,100000,0.99842,0.00038,0,5,44,"1,0",0.096153846,0.99842,0.00038
0,6,93,93,"1,0",0.115384615,99710,101,60,129,99710,60,100000,0.9971,0.0006,0,6,93,"1,0",0.115384615,0.9971,0.0006
0,7,152,152,"1,0",0.134615385,99483,176,106,235,99483,106,100000,0.99483,0.00106,0,7,152,"1,0",0.134615385,0.99483,0.00106
0,8,240,240,"1,0",0.153846154,99075,344,162,419,99075,162,100000,0.99075,0.00162,0,8,240,"1,0",0.153846154,0.99075,0.00162
0,9,485,485,"1,0",0.173076923,98386,548,336,730,98386,336,100000,0.98386,0.00336,0,9,485,"1,0",0.173076923,0.98386,0.00336
0,10,841,841,"1,0",0.192307692,97150,943,594,1313,97150,594,100000,0.9715,0.00594,0,10,841,"1,0",0.192307692,0.9715,0.00594
0,11,1415,1415,"1,0",0.211538462,95112,1566,986,2336,95112,986,100000,0.95112,0.00986,0,11,1415,"1,0",0.211538462,0.95112,0.00986
0,12,2284,2284,"1,0",0.230769231,91759,2635,1685,3921,91759,1685,100000,0.91759,0.01685,0,12,2284,"1,0",0.230769231,0.91759,0.01685
0,13,3887,3887,"1,0",0.25,86301,4206,2698,6795,86301,2698,100000,0.86301,0.02698,0,13,3887,"1,0",0.25,0.86301,0.02698
0,14,5679,5679,"1,0",0.269230769,78757,6071,3989,11183,78757,3989,100000,0.78757,0.03989,0,14,5679,"1,0",0.269230769,0.78757,0.03989
0,15,7987,7987,"1,0",0.288461538,68799,8042,5677,17482,68799,5677,100000,0.68799,0.05677,0,15,7987,"1,0",0.288461538,0.68799,0.05677
0,16,10105,10105,"1,0",0.307692308,57543,9193,7085,26179,57543,7085,100000,0.57543,0.07085,0,16,10105,"1,0",0.307692308,0.57543,0.07085
0,17,10782,10782,"1,0",0.326923077,46596,9358,7736,36310,46596,7736,100000,0.46596,0.07736,0,17,10782,"1,0",0.326923077,0.46596,0.07736
0,18,10365,10365,"1,0",0.346153846,37394,8195,7500,46911,37394,7500,100000,0.37394,0.075,0,18,10365,"1,0",0.346153846,0.37394,0.075
0,19,8596,8596,"1,0",0.365384615,30689,6304,6538,56469,30689,6538,100000,0.30689,0.06538,0,19,8596,"1,0",0.365384615,0.30689,0.06538
0,20,6551,6551,"1,0",0.384615385,25948,4494,5028,64530,25948,5028,100000,0.25948,0.05028,0,20,6551,"1,0",0.384615385,0.25948,0.05028
0,21,4472,4472,"1,0",0.403846154,22915,3055,3544,70486,22915,3544,100000,0.22915,0.03544,0,21,4472,"1,0",0.403846154,0.22915,0.03544
0,22,3017,3017,"1,0",0.423076923,21031,1922,2432,74615,21031,2432,100000,0.21031,0.02432,0,22,3017,"1,0",0.423076923,0.21031,0.02432
0,23,1896,1896,"1,0",0.442307692,19895,1162,1589,77354,19895,1589,100000,0.19895,0.01589,0,23,1896,"1,0",0.442307692,0.19895,0.01589
0,24,1134,1134,"1,0",0.461538462,19176,747,999,79078,19176,999,100000,0.19176,0.00999,0,24,1134,"1,0",0.461538462,0.19176,0.00999
0,25,702,702,"1,0",0.480769231,18738,483,607,80172,18738,607,100000,0.18738,0.00607,0,25,702,"1,0",0.480769231,0.18738,0.00607
0,26,455,455,"1,0",0.5,18475,291,380,80854,18475,380,100000,0.18475,0.0038,0,26,455,"1,0",0.5,0.18475,0.0038
0,27,284,284,"1,0",0.519230769,18305,177,235,81283,18305,235,100000,0.18305,0.00235,0,27,284,"1,0",0.519230769,0.18305,0.00235
0,28,168,168,"1,0",0.538461538,18220,94,146,81540,18220,146,100000,0.1822,0.00146,0,28,168,"1,0",0.538461538,0.1822,0.00146
0,29,92,92,"1,0",0.557692308,18173,49,79,81699,18173,79,100000,0.18173,0.00079,0,29,92,"1,0",0.557692308,0.18173,0.00079
0,30,54,54,"1,0",0.576923077,18140,28,45,81787,18140,45,100000,0.1814,0.00045,0,30,54,"1,0",0.576923077,0.1814,0.00045
0,31,23,23,"1,0",0.596153846,18123,22,24,81831,18123,24,100000,0.18123,0.00024,0,31,23,"1,0",0.596153846,0.18123,0.00024
0,32,17,17,"1,0",0.615384615,18114,14,14,81858,18114,14,100000,0.18114,0.00014,0,32,17,"1,0",0.615384615,0.18114,0.00014
0,33,13,13,"1,0",0.634615385,18104,11,13,81872,18104,13,100000,0.18104,0.00013,0,33,13,"1,0",0.634615385,0.18104,0.00013
0,34,11,11,"1,0",0.653846154,18094,10,8,81888,18094,8,100000,0.18094,0.00008,0,34,11,"1,0",0.653846154,0.18094,0.00008
0,35,9,9,"1,0",0.673076923,18093,2,10,81895,18093,10,100000,0.18093,0.0001,0,35,9,"1,0",0.673076923,0.18093,0.0001
0,36,2,2,"1,0",0.692307692,18092,1,3,81904,18092,3,100000,0.18092,0.00003,0,36,2,"1,0",0.692307692,0.18092,0.00003
0,37,2,2,"1,0",0.706043956,18091,0,0,81909,18091,0,100000,0.18092,0.00003,0,36,2,"1,0",0.703296703,0.18092,0.00003
1,0,-1,-1,"1,0",0,99999,0,1,0,99999,1,100000,0.99999,0.00001,1,-1,-1,"1,0",-1,0.99999,0.00001
1,1,2,2,"1,0",0.019230769,99996,1,1,2,99996,1,100000,0.99996,0.00001,1,1,2,"1,0",0.019230769,0.99996,0.00001
1,2,4,4,"1,0",0.038461538,99990,3,2,5,99990,2,100000,0.9999,0.00002,1,2,4,"1,0",0.038461538,0.9999,0.00002
1,3,9,9,"1,0",0.057692308,99971,13,6,10,99971,6,100000,0.99971,0.00006,1,3,9,"1,0",0.057692308,0.99971,0.00006
1,4,21,21,"1,0",0.076923077,99938,25,9,28,99938,9,100000,0.99938,0.00009,1,4,21,"1,0",0.076923077,0.99938,0.00009
1,5,34,34,"1,0",0.096153846,99891,38,18,53,99891,18,100000,0.99891,0.00018,1,5,34,"1,0",0.096153846,0.99891,0.00018
1,6,71,71,"1,0",0.115384615,99786,72,37,105,99786,37,100000,0.99786,0.00037,1,6,71,"1,0",0.115384615,0.99786,0.00037
1,7,149,149,"1,0",0.134615385,99524,185,90,201,99524,90,100000,0.99524,0.0009,1,7,149,"1,0",0.134615385,0.99524,0.0009
1,8,333,333,"1,0",0.153846154,99017,359,176,448,99017,176,100000,0.99017,0.00176,1,8,333,"1,0",0.153846154,0.99017,0.00176
1,9,636,636,"1,0",0.173076923,98111,629,327,933,98111,327,100000,0.98111,0.00327,1,9,636,"1,0",0.173076923,0.98111,0.00327
1,10,1098,1098,"1,0",0.192307692,96497,1145,569,1789,96497,569,100000,0.96497,0.00569,1,10,1098,"1,0",0.192307692,0.96497,0.00569
1,11,2045,2045,"1,0",0.211538462,93616,1981,1106,3297,93616,1106,100000,0.93616,0.01106,1,11,2045,"1,0",0.211538462,0.93616,0.01106
1,12,3558,3558,"1,0",0.230769231,88585,3454,1854,6107,88585,1854,100000,0.88585,0.01854,1,12,3558,"1,0",0.230769231,0.88585,0.01854
1,13,5798,5798,"1,0",0.25,80841,5400,3027,10732,80841,3027,100000,0.80841,0.03027,1,13,5798,"1,0",0.25,0.80841,0.03027
1,14,8519,8519,"1,0",0.269230769,70265,7457,4342,17936,70265,4342,100000,0.70265,0.04342,1,14,8519,"1,0",0.269230769,0.70265,0.04342
1,15,11109,11109,"1,0",0.288461538,58095,8518,5555,27832,58095,5555,100000,0.58095,0.05555,1,15,11109,"1,0",0.288461538,0.58095,0.05555
1,16,11827,11827,"1,0",0.307692308,46491,8295,5923,39291,46491,5923,100000,0.46491,0.05923,1,16,11827,"1,0",0.307692308,0.46491,0.05923
1,17,10820,10820,"1,0",0.326923077,37161,6805,5266,50768,37161,5266,100000,0.37161,0.05266,1,17,10820,"1,0",0.326923077,0.37161,0.05266
1,18,8284,8284,"1,0",0.346153846,30936,4746,3972,60346,30936,3972,100000,0.30936,0.03972,1,18,8284,"1,0",0.346153846,0.30936,0.03972
1,19,5580,5580,"1,0",0.365384615,27053,3049,2712,67186,27053,2712,100000,0.27053,0.02712,1,19,5580,"1,0",0.365384615,0.27053,0.02712
1,20,3427,3427,"1,0",0.384615385,24758,1917,1683,71642,24758,1683,100000,0.24758,0.01683,1,20,3427,"1,0",0.384615385,0.24758,0.01683
1,21,2061,2061,"1,0",0.403846154,23477,1137,986,74400,23477,986,100000,0.23477,0.00986,1,21,2061,"1,0",0.403846154,0.23477,0.00986
1,22,1224,1224,"1,0",0.423076923,22752,638,561,76049,22752,561,100000,0.22752,0.00561,1,22,1224,"1,0",0.423076923,0.22752,0.00561
1,23,690,690,"1,0",0.442307692,22332,368,350,76950,22332,350,100000,0.22332,0.0035,1,23,690,"1,0",0.442307692,0.22332,0.0035
1,24,403,403,"1,0",0.461538462,22129,168,193,77510,22129,193,100000,0.22129,0.00193,1,24,403,"1,0",0.461538462,0.22129,0.00193
1,25,189,189,"1,0",0.480769231,22003,105,107,77785,22003,107,100000,0.22003,0.00107,1,25,189,"1,0",0.480769231,0.22003,0.00107
1,26,105,105,"1,0",0.5,21949,54,45,77952,21949,45,100000,0.21949,0.00045,1,26,105,"1,0",0.5,0.21949,0.00045
1,27,53,53,"1,0",0.519230769,21923,27,26,78024,21923,26,100000,0.21923,0.00026,1,27,53,"1,0",0.519230769,0.21923,0.00026
1,28,28,28,"1,0",0.538461538,21906,16,15,78063,21906,15,100000,0.21906,0.00015,1,28,28,"1,0",0.538461538,0.21906,0.00015
1,29,13,13,"1,0",0.557692308,21900,9,2,78089,21900,2,100000,0.219,0.00002,1,29,13,"1,0",0.557692308,0.219,0.00002
1,30,8,8,"1,0",0.576923077,21898,3,1,78098,21898,1,100000,0.21898,0.00001,1,30,8,"1,0",0.576923077,0.21898,0.00001
1,31,4,4,"1,0",0.596153846,21897,0,3,78100,21897,3,100000,0.21897,0.00003,1,31,4,"1,0",0.596153846,0.21897,0.00003
1,32,0,0,"1,0",0.607142857,21895,2,0,78103,21895,0,100000,0.21897,0.00003,1,31,0,"1,0",0.604395604,0.21897,0.00003
2,0,-1,-1,"1,0",0,99999,0,1,0,99999,1,100000,0.99999,0.00001,2,-1,-1,"1,0",-1,0.99999,0.00001
2,1,0,0,"1,0",0.019230769,99996,3,1,0,99996,1,100000,0.99996,0.00001,2,-1,-1,"1,0",-1,0.99996,0.00001
2,2,2,2,"1,0",0.038461538,99991,6,1,2,99991,1,100000,0.99991,0.00001,2,1,2,"1,0",0.019230769,0.99991,0.00001
2,3,7,7,"1,0",0.057692308,99983,7,2,8,99983,2,100000,0.99983,0.00002,2,2,7,"1,0",0.038461538,0.99983,0.00002
2,4,9,9,"1,0",0.076923077,99970,11,6,13,99970,6,100000,0.9997,0.00006,2,3,9,"1,0",0.057692308,0.9997,0.00006
2,5,17,17,"1,0",0.096153846,99934,30,16,20,99934,16,100000,0.99934,0.00016,2,4,17,"1,0",0.076923077,0.99934,0.00016
2,6,71,71,"1,0",0.115384615,99788,105,59,48,99788,59,100000,0.99788,0.00059,2,5,71,"1,0",0.096153846,0.99788,0.00059
2,7,202,202,"1,0",0.134615385,99372,319,162,147,99372,162,100000,0.99372,0.00162,2,6,202,"1,0",0.115384615,0.99372,0.00162
2,8,557,557,"1,0",0.153846154,98256,878,422,444,98256,422,100000,0.98256,0.00422,2,7,557,"1,0",0.134615385,0.98256,0.00422
2,9,1604,1604,"1,0",0.173076923,95191,2339,1230,1240,95191,1230,100000,0.95191,0.0123,2,8,1604,"1,0",0.153846154,0.95191,0.0123
2,10,4327,4327,"1,1",0.192307692,87129,6074,3312,3485,87129,3312,100000,0.87129,0.03312,2,9,4327,"1,1",0.173076923,0.87129,0.03312
2,11,6561,6561,"1,1",0.211538462,80856,5786,5064,8294,80856,5064,100000,0.80856,0.05064,2,10,6561,"1,1",0.192307692,0.80856,0.05064
2,12,6745,6745,"1,1",0.230769231,73523,6374,5691,14412,73523,5691,100000,0.73523,0.05691,2,11,6745,"1,1",0.211538462,0.73523,0.05691
2,13,7297,7297,"1,1",0.25,66385,6215,6267,21133,66385,6267,100000,0.66385,0.06267,2,12,7297,"1,1",0.230769231,0.66385,0.06267
2,14,6948,6948,"1,1",0.269230769,59583,6069,6227,28121,59583,6227,100000,0.59583,0.06227,2,13,6948,"1,1",0.25,0.59583,0.06227
2,15,6585,6585,"1,0",0.288461538,53686,5381,5987,34946,53686,5987,100000,0.53686,0.05987,2,14,6585,"1,0",0.269230769,0.53686,0.05987
2,16,9117,9117,"1,0",0.307692308,39975,9975,7872,42178,39975,7872,100000,0.39975,0.07872,2,15,9117,"1,0",0.288461538,0.39975,0.07872
