Replication,Simulation Period,To: I,To I,Simulation Time,In: S,In: E,In: I,In: R,S,I,Population size,% Susceptible,% Infectious,Action Code,Replication,Observation Period,Obs: To I,Epidemic Time,Obs: % Susceptible,Obs: % Infectious,Action Code
0,0,-1,-1,0,99999,0,1,0,99999,1,100000,0.99999,0.00001,"1,0",0,-1,-1,-1,0.99999,0.00001,"1,0"
0,1,1,1,0.019230769,99994,4,1,1,99994,1,100000,0.99994,0.00001,"1,0",0,1,1,0.019230769,0.99994,0.00001,"1,0"
0,2,3,3,0.038461538,99986,9,2,3,99986,2,100000,0.99986,0.00002,"1,0",0,2,3,0.038461538,0.99986,0.00002,"1,0"
0,3,14,14,0.057692308,99966,15,13,6,99966,13,100000,0.99966,0.00013,"1,0",0,3,14,0.057692308,0.99966,0.00013,"1,0"
0,4,33,33,0.076923077,99916,32,23,29,99916,23,100000,0.99916,0.00023,"1,0",0,4,33,0.076923077,0.99916,0.00023,"1,0"
0,5,44,44,0.096153846,99842,62,38,58,99842,38,100000,0.99842,0.00038,"1,0",0,5,44,0.096153846,0.99842,0.00038,"1,0"
0,6,93,93,0.115384615,99710,101,60,129,99710,60,100000,0.9971,0.0006,"1,0",0,6,93,0.115384615,0.9971,0.0006,"1,0"
0,7,152,152,0.134615385,99483,176,106,235,99483,106,100000,0.99483,0.00106,"1,0",0,7,152,0.134615385,0.99483,0.00106,"1,0"
0,8,240,240,0.153846154,99075,344,162,419,99075,162,100000,0.99075,0.00162,"1,0",0,8,240,0.153846154,0.99075,0.00162,"1,0"
0,9,485,485,0.173076923,98386,548,336,730,98386,336,100000,0.98386,0.00336,"1,1",0,9,485,0.173076923,0.98386,0.00336,"1,1"
0,10,508,508,0.192307692,98120,306,350,1224,98120,350,100000,0.9812,0.0035,"1,1",0,10,508,0.192307692,0.9812,0.0035,"1,1"
0,11,316,316,0.211538462,97908,202,246,1644,97908,246,100000,0.97908,0.00246,"1,1",0,11,316,0.211538462,0.97908,0.00246,"1,1"
0,12,206,206,0.230769231,97746,158,197,1899,97746,197,100000,0.97746,0.00197,"1,1",0,12,206,0.230769231,0.97746,0.00197,"1,1"
0,13,183,183,0.25,97602,119,138,2141,97602,138,100000,0.97602,0.00138,"1,1",0,13,183,0.25,0.97602,0.00138,"1,1"
0,14,108,108,0.269230769,97523,90,89,2298,97523,89,100000,0.97523,0.00089,"1,1",0,14,108,0.269230769,0.97523,0.00089,"1,1"
0,15,88,88,0.288461538,97463,62,72,2403,97463,72,100000,0.97463,0.00072,"1,1",0,15,88,0.288461538,0.97463,0.00072,"1,1"
0,16,62,62,0.307692308,97425,38,49,2488,97425,49,100000,0.97425,0.00049,"1,1",0,16,62,0.307692308,0.97425,0.00049,"1,1"
0,17,37,37,0.326923077,97402,24,34,2540,97402,34,100000,0.97402,0.00034,"1,1",0,17,37,0.326923077,0.97402,0.00034,"1,1"
0,18,23,23,0.346153846,97391,12,24,2573,97391,24,100000,0.97391,0.00024,"1,1",0,18,23,0.346153846,0.97391,0.00024,"1,1"
0,19,13,13,0.365384615,97376,14,9,2601,97376,9,100000,0.97376,0.00009,"1,1",0,19,13,0.365384615,0.97376,0.00009,"1,1"
