Name,E[Cost],E[Effect],E[dCost],E[dEffect],ICER
10.0%,"6,467,633 (5,969,395, 6,965,871)","18,207,137.11 (17,974,316.90, 18,439,957.32)",-,-,-
9.5%,"6,592,360 (6,088,199, 7,096,522)","18,176,045.60 (17,943,760.99, 18,408,330.22)","124,727 (68,843, 180,612)","31,091.51 (-42,995.89, -19,187.12)","4.0 (-6.1, -0.7)"
9.0%,"6,729,293 (6,218,228, 7,240,360)","18,173,176.27 (17,940,057.02, 18,406,295.52)",-,-,Dominated
8.5%,"6,980,969 (6,468,158, 7,493,780)","18,153,481.86 (17,920,067.92, 18,386,895.80)",-,-,Dominated
8.0%,"7,162,443 (6,642,281, 7,682,606)","18,136,967.41 (17,903,676.39, 18,370,258.44)",-,-,Dominated
7.5%,"7,390,462 (6,862,787, 7,918,138)","18,131,006.61 (17,898,195.37, 18,363,817.85)",-,-,Dominated
7.0%,"7,587,565 (7,052,393, 8,122,737)","18,115,229.01 (17,881,682.29, 18,348,775.73)",-,-,Dominated
6.5%,"7,859,783 (7,318,733, 8,400,834)","18,082,953.46 (17,848,747.06, 18,317,159.86)","1,267,423 (1,135,387, 1,399,458)","93,092.14 (-109,282.80, -76,901.48)","13.6 (-15.8, -10.7)"
6.0%,"8,152,251 (7,601,498, 8,703,005)","18,084,966.24 (17,851,053.86, 18,318,878.62)",-,-,Dominated
Base,"8,286,257 (7,740,733, 8,831,783)","18,107,869.92 (17,873,499.46, 18,342,240.38)",-,-,Dominated
5.5%,"8,511,581 (7,950,977, 9,072,187)","18,074,084.38 (17,838,100.62, 18,310,068.14)",-,-,Dominated
5.0%,"8,980,218 (8,414,152, 9,546,286)","18,055,165.99 (17,820,692.26, 18,289,639.72)",-,-,Dominated
4.5%,"9,480,089 (8,907,849, 10,052,330)","18,032,112.98 (17,796,190.10, 18,268,035.87)","1,620,306 (1,450,565, 1,790,047)","50,840.48 (-67,182.66, -34,498.29)","31.9 (-39.8, -16.4)"
4.0%,"9,983,138 (9,391,515, 10,574,762)","18,019,234.70 (17,784,726.50, 18,253,742.91)","503,049 (377,254, 628,844)","12,878.28 (-27,135.42, 1,378.85)","39.1 (-155.7, 196.1)"
3.5%,"10,559,728 (9,943,678, 11,175,779)","18,032,214.59 (17,797,733.18, 18,266,695.99)",-,-,Dominated
3.0%,"11,248,712 (10,630,083, 11,867,343)","18,009,343.62 (17,775,794.28, 18,242,892.95)","1,265,574 (1,073,686, 1,457,463)","9,891.08 (-24,800.91, 5,018.74)","128.0 (-1,206.4, 1,084.0)"
