Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,0,-189837493,368834566,16481788,25019613,500392.26,16481788,11303862,161164,157908,0,16321257,7832437,8593588,16426025,11699631.92,223783.399,5057.080824,217758.5336,2307.017363,2296.678846,0,0.01912761,0.022584243,0.008959973,0.010203072,0,0.685925148,0.008520832,0.009536212,0,0,0.476830944
Base,364,0.05,1,0,-228059058,1729709260,20742728,20631778,412635.56,20742728,14021741,320024,7701,0,20468874,20631478,150,20631628,11702935.05,287449.6758,8424.779615,277806.9363,5166.920275,125.4875824,0,0.024562153,0.02930663,0.017765079,0.000450431,0,0.675988691,0.015289574,0.000382982,0,0,0.99999273
Base,364,0.05,1,0,-155619061,166103379,13064289,24976171,499523.42,13064289,8985180,749595,216020,0,13004642,1102153,11937009,13039162,11700079.23,171530.4022,4669.352033,166093.905,9775.001484,2915.125659,0,0.014660777,0.027224139,0.056879993,0.013349801,0,0.687952271,0.057213499,0.01300545,0,0,0.084526368
Base,364,0.05,1,0,-233122522,497248093,21196406,21158462,423169.24,21196406,14292399,221241,118640,0,20924724,21024478,66992,21091470,11699238.92,291222.1848,7021.466319,282956.1043,3563.708791,1861.788901,0,0.024892176,0.024108804,0.012423313,0.006151975,0,0.674288405,0.010625172,0.005391978,0,0,0.99682374
Base,364,0.05,1,0,-225115666,935738848,19655340,28562266,571245.32,19655340,13701665,245850,458155,4119,19484993,10637200,8962533,19599733,11701897.32,258721.6007,10555.52527,247011.9719,3414.597033,6134.620879,56.53181319,0.022109439,0.040793047,0.012830605,0.023681105,0.000215765,0.697103432,0.012175305,0.02327228,0.000206707,0,0.542721679
Base,364,0.05,1,0,-179741095,751450586,15338988,26351215,527024.3,15338988,10193059,1199518,420282,3,15204313,4224623,11063296,15287919,11692245.14,201199.6999,2176.303352,198122.6595,15649.51544,5576.756099,0.00989011,0.017207177,0.010786294,0.078578399,0.026626059,4.13735E-08,0.664659731,0.078952082,0.026311473,1.53219E-07,0,0.276337348
Base,364,0.05,1,0,-243883139,1530287929,20558916,38293979,765879.58,20558916,14108330,126378,203096,0,20445453,2724861,17784559,20509420,11701648.02,265709.3309,1741.074725,262761.0581,1744.210769,2760.100824,0,0.022707061,0.006555206,0.006719588,0.010620859,0,0.686236465,0.0063061,0.010112412,0,0,0.132858998
Base,364,0.05,1,0,-222424169,811708213,20248729,19936879,398737.58,20248729,13434788,808738,9095,0,19454131,19936863,8,19936871,11709262.33,269881.1437,8473.565604,260218.6124,11398.30143,144.5377473,0.003076923,0.023048265,0.031396145,0.042110934,0.000552214,1.28748E-08,0.663487188,0.039821145,0.000467069,0,0,0.999999599
Base,364,0.05,1,0,-240329174,921003437,20390602,36423154,728463.08,20390602,13911090,197893,191879,0,20249621,4245466,16088844,20334310,11709294.14,278500.9815,5711.951813,271591.8425,2761.096593,2690.845879,0,0.023784395,0.020511206,0.01020277,0.009808537,0,0.682232157,0.009989621,0.009558889,0,0,0.208783381
Base,364,0.05,1,0,-197010200,1621184805,17484035,22169850,443397,17484035,12126841,215871,200563,0,17230081,12586104,4791873,17377977,11701385.73,236831.9214,3290.218242,232515.0318,3229.111264,2843.843187,0.003516484,0.020240094,0.013880006,0.012603978,0.012593098,1.47828E-08,0.693649787,0.011427987,0.012014399,0,0,0.724255994
Base,364,0.05,1,0,-209736515,312313552,17912395,30612565,612251.3,17912395,12493792,142810,225098,0,17732553,5065519,12773523,17839042,11702860.76,230843.7866,2230.730714,227561.2889,1866.955549,2925.403791,5.49451E-05,0.019725739,0.009655176,0.007145054,0.011876677,4.10246E-10,0.697508696,0.007049706,0.011785006,0,0,0.283956896
Base,364,0.05,1,0,-206371619,1021959067,17517014,31201479,624029.58,17517014,11779799,689664,183518,0,17380328,3736385,13732547,17468932,11695719.28,233743.6794,4190.697527,228524.2549,9225.789176,2589.833516,0,0.019985409,0.017927879,0.038693054,0.010422849,0,0.672517418,0.03862382,0.009878677,0,0,0.213887432
Base,364,0.05,1,0,-219080925,1665299151,18515142,33929505,678590.1,18515142,12415103,234649,182541,7,18390010,3005761,15461872,18467633,11701527.44,241601.2881,1935.44011,238578.7416,3212.964176,2666.035165,0.07021978,0.02064708,0.008007516,0.012837608,0.01064824,2.81713E-07,0.670563303,0.012283345,0.009561111,3.6677E-07,0,0.162758324
Base,364,0.05,1,0,-219692317,1316010029,19974309,19949227,398984.54,19974309,13951952,703586,557,2,19910571,19949021,103,19949124,11702312.16,277785.7842,1374.633626,275238.2141,9691.955604,8.917692308,0.026978022,0.023737664,0.004949672,0.034683932,3.34148E-05,9.88487E-08,0.698496612,0.035029823,2.87777E-05,9.82736E-08,0,0.999994837
Base,364,0.05,1,0,-199024177,586554547,16951905,29505127,590102.54,16951905,11504668,226620,188015,0,16811550,4277583,12613772,16891355,11703338.36,225513.0545,3423.294176,221094.3525,3090.987747,2590.827912,0.031813187,0.019269902,0.015154174,0.011932274,0.01059457,1.23792E-07,0.678726875,0.011650226,0.010230796,0,0,0.253240963
