Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
0,488475996,0,1,-1,1000,0.05,0.05,1,0.83837484,0.864720989,0.543169652,0.455560305,0.455560305,0.455560305,0.455560305,1.46981E-06,2.92968E-06,0.831440815,0.831440815,0,2.399352216,2.01155653,2.074770221,1.303255307,2.399352216,2.01155653,2.074770221,1.303255307,0.020916647,0.0050561,0.005247629,0.005247629,0.979083353,0.9949439,0.989504741,0.994752371,10000000,9790833.529,1046.467105,5.549717362,5.549717362,0,205924.7477,1092.078425,1092.078425,0,1.354016502,1.974356778,0.01542468,0.010352126,0.738543436,0.50649407,64.83116599,96.5985191
1,390574978,0,1,-1,1000,0.05,0.05,1,0.706503398,0.633842933,0.971312654,0.222777803,0.222777803,0.222777803,0.222777803,1.40699E-06,6.74268E-06,0.939599501,0.939599501,0,4.625773947,3.268125011,2.932014124,4.493072767,4.625773947,3.268125011,2.932014124,4.493072767,0.024608395,0.011500848,0.024572223,0.024572223,0.975391605,0.988499152,0.950855554,0.975427777,10000000,9753916.05,2691.08676,69.54366956,69.54366956,0,231299.2041,5977.286076,5977.286076,0,0.321230254,2.230105913,0.01575474,0.014154259,3.113031816,0.448409196,63.47296045,70.65011351
2,446051814,0,1,-1,1000,0.05,0.05,1,0.845038582,0.689854392,0.955663968,0.596124495,0.596124495,0.596124495,0.596124495,7.2376E-07,2.56583E-06,0.848315133,0.848315133,0,1.760337926,1.487553464,1.214376849,1.682291528,1.760337926,1.487553464,1.214376849,1.682291528,0.021560592,0.019133284,0.030382465,0.030382465,0.978439408,0.980866716,0.939235069,0.969617535,10000000,9784394.08,3874.578907,125.335247,125.335247,0,198630.0621,6425.304144,6425.304144,0,6.13322143,2.067165716,0.012702726,0.011848405,0.163046453,0.483754153,78.72326141,84.39954751
3,1917742184,0,1,-1,1000,0.05,0.05,1,0.580722327,0.599821998,0.812048973,0.625211618,0.625211618,0.625211618,0.625211618,8.08105E-07,7.43539E-06,0.969199715,0.969199715,0,1.695928916,0.984863787,1.017255471,1.377177334,1.695928916,0.984863787,1.017255471,1.377177334,0.022664873,0.013757899,2.42585E-05,2.42585E-05,0.977335127,0.986242101,0.999951483,0.999975742,10000000,9773351.273,3118.059064,0.075643001,0.075643001,0,223519.672,5.422507546,5.422507546,0,7.162138941,2.271798155,0.011047731,0.016783788,0.139623094,0.440179951,90.51632353,59.5813043
4,956970695,0,1,-1,1000,0.05,0.05,1,0.517055673,0.567415001,0.551270733,0.489351661,0.489351661,0.489351661,0.489351661,7.96793E-07,4.01276E-06,0.816646237,0.816646237,0,2.090358282,1.080831609,1.186100647,1.152353343,2.090358282,1.080831609,1.186100647,1.152353343,0.024867115,0.015722017,0.039280659,0.039280659,0.975132885,0.984277983,0.921438682,0.960719341,10000000,9751328.853,3602.467809,153.5721394,153.5721394,0,225532.7466,9614.394417,9614.394417,0,1.808276848,2.151993915,0.003710769,0.009076012,0.553012666,0.464685329,269.4859286,110.1805462
5,313569626,0,1,-1,1000,0.05,0.05,1,0.950033997,0.599364615,0.71645971,0.512183312,0.512183312,0.512183312,0.512183312,6.76324E-07,2.91982E-06,0.85218979,0.85218979,0,1.948647632,1.851281499,1.167950437,1.396127517,1.948647632,1.851281499,1.167950437,1.396127517,0.024968566,0.010754773,0.012908669,0.012908669,0.975031434,0.989245227,0.974182661,0.987091331,10000000,9750314.344,2615.985039,34.66381362,34.66381362,0,240623.4518,3188.445792,3188.445792,0,2.176801492,2.226910301,0.00481272,0.018004558,0.459389615,0.449052663,207.782692,55.54149162
6,893763089,0,1,-1,1000,0.05,0.05,1,0.690477474,0.75055924,0.949955115,0.611749981,0.611749981,0.611749981,0.611749981,8.05068E-07,4.95043E-06,0.849454904,0.849454904,0,1.765988409,1.219375216,1.325478919,1.677609722,1.765988409,1.219375216,1.325478919,1.677609722,0.023837312,0.016745066,0.039137103,0.039137103,0.976162688,0.983254934,0.921725794,0.960862897,10000000,9761626.883,3679.136331,156.2186255,156.2186255,0,216035.514,9173.014539,9173.014539,0,6.91057468,1.97463302,0.013928742,0.010325029,0.144705766,0.506423214,71.79399512,96.85202947
7,1269345808,0,1,-1,1000,0.05,0.05,1,0.713066755,0.830001096,0.847217692,0.48078165,0.48078165,0.48078165,0.48078165,1.3235E-06,5.20682E-06,0.852598175,0.852598175,0,2.145240712,1.529699833,1.780552142,1.817485884,2.145240712,1.529699833,1.780552142,1.817485884,0.021141706,0.016899596,0.002583572,0.002583572,0.978858294,0.983100404,0.994832856,0.997416428,10000000,9788582.936,3554.401467,9.230748107,9.230748107,0,206770.2404,536.9804236,536.9804236,0,1.87957939,1.914530858,0.015958707,0.009304168,0.532033925,0.522321171,62.66171768,107.4787095
8,286976008,0,1,-1,1000,0.05,0.05,1,0.759962427,0.894424876,0.805984187,0.593023014,0.593023014,0.593023014,0.593023014,5.88728E-07,5.81697E-06,0.86785463,0.86785463,0,1.89001879,1.436343266,1.690479821,1.523325258,1.89001879,1.436343266,1.690479821,1.523325258,0.022688486,0.004384664,0.026806952,0.026806952,0.977311514,0.995615336,0.946386096,0.973193048,10000000,9773115.136,941.4781031,26.66793028,26.66793028,0,213779.2027,6055.423758,6055.423758,0,4.288624711,2.088058928,0.006992545,0.011452925,0.233174984,0.478913687,143.0094454,87.31394275
9,1933449080,0,1,-1,1000,0.05,0.05,1,0.934686857,0.65311015,0.901295964,0.615965063,0.615965063,0.615965063,0.615965063,8.35063E-07,5.47351E-06,0.849318668,0.849318668,0,1.67547818,1.566047435,1.094271806,1.510101721,1.67547818,1.566047435,1.094271806,1.510101721,0.024702267,0.002390098,0.00675601,0.00675601,0.975297733,0.997609902,0.98648798,0.99324399,10000000,9752977.327,582.4308458,3.988805392,3.988805392,0,243102.467,1664.898826,1664.898826,0,5.558071588,2.384616507,0.009884966,0.006856448,0.179918517,0.419354641,101.1637292,145.8481106
