Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,tStar | G-A,tStar | G-B,b | G-A,b | G-B,min | G-A,min | G-B,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
0,1464650726,0,1,-1,1000,0.028571429,0.028571429,10.10291413,20.84815371,0.142412694,0.120450325,0.694929135,0.299316873,1,0.998963675,0.979679949,0.979679949,0.610684061,0.610684061,0.610684061,0.610684061,3.87449E-05,3.67828E-05,0.984984497,0.984984497,0,2.790836792,2.787944577,2.734126845,2.734126845,2.790836792,2.787944577,2.734126845,2.734126845,0.02143148,0.049720383,0.03350927,0.022454396,0.97856852,0.950279617,0.944036334,0.977545604,4878588,4774032.637,4907.603769,174.1990345,116.7299136,0,93796.45825,3329.37483,2230.997648,0,3.595188093,1.205612228,0.019822776,0.018455454,0.278149564,0.829454095,50.44702091,54.18452405
1,1094716604,0,1,-1,1000,0.028571429,0.028571429,19.79684974,28.81337409,0.08598999,0.01511695,0.92973577,0.917621632,1,0.995128152,0.965350149,0.965350149,0.619222423,0.619222423,0.619222423,0.619222423,9.05543E-05,9.04216E-05,0.85344133,0.85344133,0,2.88509907,2.871043304,2.785130818,2.785130818,2.88509907,2.871043304,2.785130818,2.785130818,0.023226897,0.254487136,0.033792209,0.00763794,0.976773103,0.745512864,0.958569851,0.99236206,4878588,4765273.538,27642.34865,974.4683836,220.2558424,0,80977.47842,2854.677564,645.2332597,0,3.395228367,1.18432435,0.036705313,0.01901368,0.294530998,0.844363286,27.24401246,52.59371129
2,1185791147,0,1,-1,1000,0.028571429,0.028571429,39.27986549,4.51021241,0.138208237,0.156604208,0.908487947,0.513585682,1,0.983048168,0.99960828,0.99960828,0.560498064,0.560498064,0.560498064,0.560498064,4.98121E-05,4.22965E-05,0.960448152,0.960448152,0,3.297402775,3.241505756,3.296111115,3.296111115,3.297402775,3.241505756,3.296111115,3.296111115,0.022086158,0.235883251,0.030993802,0.035871544,0.977913842,0.764116749,0.933134655,0.964128456,4878588,4770838.735,23716.78085,787.7461183,911.7200174,0,76827.79249,2551.813237,2953.41247,0,2.028794098,1.029852505,0.014695115,0.036618333,0.492903642,0.971012835,68.04982251,27.30872501
3,1047030383,0,1,-1,1000,0.028571429,0.028571429,11.58409541,14.0672302,0.131136524,0.032356454,0.50128242,0.54353126,1,0.996783795,0.89126871,0.89126871,0.60739261,0.60739261,0.60739261,0.60739261,3.59222E-05,7.01889E-05,0.933243922,0.933243922,0,2.710719339,2.702001109,2.415979328,2.415979328,2.710719339,2.702001109,2.415979328,2.415979328,0.02664625,0.192057896,0.013495717,0.030828438,0.97335375,0.807942104,0.955675844,0.969171562,4878588,4748591.923,23860.14183,336.944507,769.6866245,0,100373.9686,1417.445781,3237.889432,0,4.001365299,1.271219155,0.011953668,0.013519895,0.249914698,0.786646422,83.65633216,73.96507155
4,1626010375,0,1,-1,1000,0.028571429,0.028571429,35.32046551,0.152255094,0.061002771,0.127209383,0.936955966,0.741622521,1,0.98171646,0.999545288,0.999545288,0.615477801,0.615477801,0.615477801,0.615477801,2.72551E-05,8.4048E-05,0.864743314,0.864743314,0,2.510732545,2.464827465,2.509590885,2.509590885,2.510732545,2.464827465,2.509590885,2.509590885,0.021767588,0.068581362,0.028640201,0.003855537,0.978232412,0.931418638,0.967504262,0.996144463,4878588,4772392.907,7046.337527,208.586704,28.07989172,0,95697.86794,2832.862147,381.3592181,0,3.962651191,1.359369067,0.030773984,0.019979197,0.252356302,0.735635395,32.49498056,50.05206043
5,369151607,0,1,-1,1000,0.028571429,0.028571429,16.61744819,10.89006335,0.141987837,0.199193191,0.932044162,0.480079287,1,0.999411026,0.999784894,0.999784894,0.533972638,0.533972638,0.533972638,0.533972638,1.1352E-05,8.15197E-05,0.849701692,0.849701692,0,4.45010771,4.447486712,4.449150465,4.449150465,4.45010771,4.447486712,4.449150465,4.449150465,0.014808143,0.016018058,0.032088939,0.03435539,0.985191857,0.983981942,0.933555671,0.96564461,4878588,4806345.172,1080.301128,37.13299409,39.75570782,0,66362.40065,2281.062721,2442.174817,0,0.971064696,0.947679726,0.00625799,0.015282446,1.029797504,1.055208814,159.7957274,65.43455233
6,1224734061,0,1,-1,1000,0.028571429,0.028571429,29.42916423,39.97487242,0.1098876,0.080105435,0.874706568,0.03511532,1,0.988162884,0.701448453,0.701448453,0.642331477,0.642331477,0.642331477,0.642331477,5.74324E-05,9.21313E-05,0.884669956,0.884669956,0,3.66846482,3.625040777,2.573238972,2.573238972,3.66846482,3.625040777,2.573238972,2.573238972,0.016958214,0.163675033,0.034936195,0.025727911,0.983041786,0.836324967,0.939335894,0.974272089,4878588,4795855.86,12719.72186,473.0775027,348.3864206,0,64993.54698,2417.26865,1780.138705,0,3.937106513,0.907829035,0.021608367,0.023662768,0.253993636,1.10152899,46.27836985,42.26048264
7,1262635497,0,1,-1,1000,0.028571429,0.028571429,1.002536668,28.35720091,0.09654658,0.182475525,0.792292626,0.796436467,1,0.998183208,0.996149883,0.996149883,0.416495715,0.416495715,0.416495715,0.416495715,9.81809E-05,3.58027E-05,0.855748392,0.855748392,0,4.710057722,4.701500525,4.691923448,4.691923448,4.710057722,4.701500525,4.691923448,4.691923448,0.020414293,0.095779668,0.004300645,0.014430917,0.979585707,0.904220332,0.981268438,0.985569083,4878588,4778995.075,9360.297386,41.02375464,137.6561863,0,88367.09689,387.2900563,1299.561013,0,0.543436467,0.9958849,0.024001416,0.014084141,1.840141508,1.004132104,41.66420922,71.00184589
8,175408709,0,1,-1,1000,0.028571429,0.028571429,15.62857292,41.91709551,0.12307407,0.037368096,0.017117166,0.636890357,1,0.985900384,0.845648162,0.845648162,0.611695452,0.611695452,0.611695452,0.611695452,1.25693E-05,6.82451E-05,0.811264632,0.811264632,0,2.646893216,2.609573038,2.238340382,2.238340382,2.646893216,2.609573038,2.238340382,2.238340382,0.027182277,0.253407721,0.017872241,0.017119439,0.972817723,0.746592279,0.965008321,0.982880561,4878588,4745976.869,32428.80011,600.5910108,575.2933294,0,95542.04451,1769.467044,1694.934771,0,3.87434355,1.26603243,0.030642193,0.022845091,0.258108241,0.789869182,32.63474024,43.77308031
9,1470559124,0,1,-1,1000,0.028571429,0.028571429,12.57372136,28.60838996,0.126917247,0.025605001,0.73562243,0.372899264,1,0.997731612,0.770225871,0.770225871,0.62291699,0.62291699,0.62291699,0.62291699,7.04047E-05,5.64589E-05,0.918468742,0.918468742,0,2.69941363,2.693290312,2.079158215,2.079158215,2.69941363,2.693290312,2.079158215,2.079158215,0.021126741,0.145831102,0.026338858,0.010620154,0.978873259,0.854168898,0.963040988,0.989379846,4878588,4775519.335,14475.10017,395.8892881,159.6274627,0,84784.24852,2318.821659,934.9776034,0,4.890267892,1.256295394,0.008187315,0.00750868,0.204487775,0.795991138,122.1401677,133.1792089
