Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
0,1558962477,0,1,-1,1000,0.05,0.05,1,0.752396215,0.687425797,0.762195065,0.232987794,0.232987794,0.232987794,0.232987794,9.76513E-06,1.32143E-05,0.931785596,0.931785596,0,4.367463132,3.286062731,3.002306826,3.328858846,4.367463132,3.286062731,3.002306826,3.328858846,0.024491398,0.017804397,0.017863214,0.017863214,0.975508602,0.982195603,0.964273573,0.982136786,10000000,9755086.016,4204.759024,77.89336027,77.89336027,0,231959.3233,4297.057463,4297.057463,0,0.35496656,2.109494017,0.010607777,0.007802396,2.817166777,0.474047327,94.27045856,128.1657567
1,448149416,0,1,-1,1000,0.05,0.05,1,0.574490186,0.739436526,0.967398786,0.234018918,0.234018918,0.234018918,0.234018918,8.68234E-06,1.07163E-05,0.874947297,0.874947297,0,4.958866362,2.84882006,3.666766913,4.797201298,4.958866362,2.84882006,3.666766913,4.797201298,0.023247081,0.003791232,0.030417185,0.030417185,0.976752919,0.996208768,0.93916563,0.969582815,10000000,9767529.195,827.7344388,26.80821247,26.80821247,0,217500.8558,7044.299331,7044.299331,0,0.296997068,2.147733254,0.03812342,0.011036175,3.367036611,0.465607169,26.23059533,90.61110659
2,1336604821,0,1,-1,1000,0.05,0.05,1,0.570829385,0.562749228,0.905781108,0.182103311,0.182103311,0.182103311,0.182103311,8.14406E-06,7.40093E-06,0.953528239,0.953528239,0,5.800687997,3.311203162,3.264332695,5.254153603,5.800687997,3.311203162,3.264332695,5.254153603,0.024055278,0.017095032,0.023658384,0.023658384,0.975944722,0.982904968,0.952683232,0.976341616,10000000,9759447.217,3917.678827,97.28936944,97.28936944,0,225252.9235,5593.800783,5593.800783,0,0.238711676,2.234350407,0.002750709,0.015759406,4.189154118,0.447557374,363.5426465,63.45416658
3,1251956769,0,1,-1,1000,0.05,0.05,1,0.637708029,0.940460873,0.906662092,0.428508166,0.428508166,0.428508166,0.428508166,5.75733E-06,1.30198E-05,0.950956521,0.950956521,0,2.652511261,1.691527728,2.494583057,2.40493141,2.652511261,1.691527728,2.494583057,2.40493141,0.021791045,0.016614203,0.018174753,0.018174753,0.978208955,0.983385797,0.963650494,0.981825247,10000000,9782089.545,3488.808431,65.80003045,65.80003045,0,206500.709,3894.668684,3894.668684,0,0.995842563,2.154766653,0.017819297,0.035724942,1.004174793,0.464087375,56.11893566,27.99164808
4,752753372,0,1,-1,1000,0.05,0.05,1,0.522938587,0.913744626,0.64862603,0.416832032,0.416832032,0.416832032,0.416832032,5.61366E-06,1.11678E-05,0.918561215,0.918561215,0,2.590134263,1.354481152,2.366721263,1.680028504,2.590134263,1.354481152,2.366721263,1.680028504,0.022706879,0.014777813,0.000894889,0.000894889,0.977293121,0.985222187,0.998210221,0.999105111,10000000,9772931.207,3349.574321,3.002872542,3.002872542,0,223312.8159,200.1985503,200.1985503,0,0.952566832,2.221650916,0.036404282,0.022904665,1.049795108,0.450115719,27.46929621,43.65922745
5,2035125522,0,1,-1,1000,0.05,0.05,1,0.774666274,0.537128343,0.841307746,0.37459528,0.37459528,0.37459528,0.37459528,7.03113E-06,9.66627E-06,0.91986179,0.91986179,0,2.701182768,2.092515191,1.450881824,2.272525986,2.701182768,2.092515191,1.450881824,2.272525986,0.025226188,0.015426926,0.00709835,0.00709835,0.974773812,0.984573074,0.985803299,0.99290165,10000000,9747738.116,3836.377096,27.62412035,27.62412035,0,244844.22,1763.019128,1763.019128,0,0.822419016,2.151688061,0.036875412,0.010158387,1.215925192,0.464751382,27.11834096,98.44083012
6,1746146599,0,1,-1,1000,0.05,0.05,1,0.974792728,0.868466978,0.517202224,0.374246248,0.374246248,0.374246248,0.374246248,1.05022E-05,5.05394E-06,0.881089849,0.881089849,0,2.657193181,2.59021259,2.307684532,1.374306221,2.657193181,2.59021259,2.307684532,1.374306221,0.026110015,0.007474091,0.011632849,0.011632849,0.973889985,0.992525909,0.976734302,0.988367151,10000000,9738899.846,1906.08362,22.70134604,22.70134604,0,253119.3928,3014.637378,3014.637378,0,0.854905541,2.126700259,0.007599876,0.010695783,1.169719873,0.470212008,131.5810969,93.49479388
7,1008407690,0,1,-1,1000,0.05,0.05,1,0.594355395,0.904644315,0.506122682,0.159485768,0.159485768,0.159485768,0.159485768,1.39162E-05,9.91818E-06,0.822568987,0.822568987,0,6.965389592,4.139916883,6.301200098,3.525341662,6.965389592,4.139916883,6.301200098,3.525341662,0.026446055,0.01197127,0.024839865,0.024839865,0.973553945,0.98802873,0.950320269,0.975160135,10000000,9735539.452,3008.646162,78.64124168,78.64124168,0,248313.5729,6490.523194,6490.523194,0,0.184538548,2.185912602,0.020891418,0.010113509,5.418922003,0.457474832,47.86654462,98.87764843
8,790355322,0,1,-1,1000,0.05,0.05,1,0.720079033,0.87949885,0.93291375,0.360102512,0.360102512,0.360102512,0.360102512,8.2245E-06,1.04047E-05,0.875749503,0.875749503,0,2.795436154,2.012934962,2.458582881,2.607900827,2.795436154,2.012934962,2.458582881,2.607900827,0.022079414,0.00128713,0.015300954,0.015300954,0.977920586,0.99871287,0.969398093,0.984699046,10000000,9779205.856,275.4940064,4.348390068,4.348390068,0,213761.9282,3374.012588,3374.012588,0,0.816450494,2.143502786,0.006238684,0.022067268,1.224814005,0.466526102,160.2902235,45.31598609
9,331954395,0,1,-1,1000,0.05,0.05,1,0.639260183,0.662278696,0.761188895,0.193334998,0.193334998,0.193334998,0.193334998,9.9583E-06,1.37104E-05,0.972292114,0.972292114,0,6.903586439,4.413187929,4.572098223,5.254933334,6.903586439,4.413187929,4.572098223,5.254933334,0.021095187,0.007758163,0.02160453,0.02160453,0.978904813,0.992241837,0.956790941,0.97839547,10000000,9789048.128,1565.883089,35.3579516,35.3579516,0,200270.9566,4522.158033,4522.158033,0,0.192729146,2.047817187,0.033367193,0.032165155,5.188628812,0.48832484,29.96955704,31.0895443
