Simulation Replication,Random Seed,Dummy 0,Dummy 1,Dummy -1,Dummy Inf,Annual birth rate (per pop member),Annual death rate,Ratio infectivity | G-0,Ratio infectivity | G-A,Ratio infectivity | G-B,Ratio infectivity | G-AB,Prob sympt| infection with G-0,Prob sympt| infection with G-A,Prob sympt| infection with G-B,Prob sympt| infection with G-AB,Prob resistance | Drug A,Prob resistance | Drug B,Prob retreatment after failure | Symptomatic,Prob retreatment after resistance | Symptomatic,Prob retreatment | Asymptomatic,Infectivity of | I | Sym|G-0,Infectivity of | I | Sym|G-A,Infectivity of | I | Sym|G-B,Infectivity of | I | Sym|G-AB,Infectivity of | I | Asym|G-0,Infectivity of | I | Asym|G-A,Infectivity of | I | Asym|G-B,Infectivity of | I | Asym|G-AB,Initial gonorrhea prevalence,Initial gonorrhea symptomatic,Initial gonorrhea resistant to A,Initial gonorrhea resistant to B,1-Initial gonorrhea prevalence,1-Initial gonorrhea symptomatic,1-Initial gonorrhea resistant to A or B,1-Initial gonorrhea resistant to B,Initial N,Initial size of S,Initial size of I | Sym|G-0,Initial size of I | Sym|G-A,Initial size of I | Sym|G-B,Initial size of I | Sym|G-AB,Initial size of I | Asym|G-0,Initial size of I | Asym|G-A,Initial size of I | Asym|G-B,Initial size of I | Asym|G-AB,Time until recovery (without treatment) (years),Time until screened (years),Time until seeking treatment (symptomatic) (years),Time until retreatment (years),Natural recovery,Annual screening rate,Annual rate of seeking treatment (symptomatic),Annual rate of retreatment
0,583113094,0,1,-1,1000,0.05,0.05,1,0.958774158,0.893932969,0.932987911,0.59018143,0.59018143,0.59018143,0.59018143,1.4607E-06,4.62599E-06,0.861891101,0.861891101,0,2.120738586,2.033309352,1.89579814,1.978623464,2.120738586,2.033309352,1.89579814,1.978623464,0.02001168,0.007081031,0.008755012,0.008755012,0.97998832,0.992918969,0.982489977,0.991244988,10000000,9799883.2,1392.22103,12.40614315,12.40614315,0,195220.5292,1739.618766,1739.618766,0,5.250644497,1.416337321,0.015714579,0.01853269,0.19045281,0.706046494,63.6351773,53.958709
1,2111638033,0,1,-1,1000,0.05,0.05,1,0.997469448,0.856219176,0.997730845,0.488873428,0.488873428,0.488873428,0.488873428,8.03039E-07,5.61583E-06,0.82697344,0.82697344,0,2.456883958,2.450666686,2.103631157,2.451308907,2.456883958,2.450666686,2.103631157,2.451308907,0.020849086,0.00332122,0.009376341,0.009376341,0.979150914,0.99667878,0.981247318,0.990623659,10000000,9791509.136,679.4588559,6.492591551,6.492591551,0,203901.6422,1948.388881,1948.388881,0,1.56523785,1.69557204,0.013772293,0.012934441,0.638880538,0.589771461,72.60954865,77.31296772
2,456911363,0,1,-1,1000,0.05,0.05,1,0.937409649,0.899626121,0.979938669,0.575367087,0.575367087,0.575367087,0.575367087,1.00542E-06,4.02544E-06,0.877602706,0.877602706,0,2.007270295,1.881634543,1.805792789,1.96700178,2.007270295,1.881634543,1.805792789,1.96700178,0.019679139,0.002014369,0.010177348,0.010177348,0.980320861,0.997985631,0.979645304,0.989822652,10000000,9803208.609,388.3417048,4.034407728,4.034407728,0,192397.4202,1998.780016,1998.780016,0,7.150162134,1.395273782,0.005842428,0.013039804,0.139856968,0.716705218,171.1617209,76.68826967
3,707620401,0,1,-1,1000,0.05,0.05,1,0.959964743,0.902867665,0.800275052,0.477476812,0.477476812,0.477476812,0.477476812,1.23618E-06,5.92813E-06,0.94256098,0.94256098,0,2.306892262,2.214535237,2.082818429,1.846148324,2.306892262,2.214535237,2.082818429,1.846148324,0.019990848,0.019948394,0.011674187,0.011674187,0.980009152,0.980051606,0.976651627,0.988325813,10000000,9800091.516,3894.743333,46.55494286,46.55494286,0,191346.2023,2287.214009,2287.214009,0,1.701054235,1.678791926,0.006516182,0.017265155,0.587870733,0.595666434,153.4640875,57.92012985
4,1190780850,0,1,-1,1000,0.05,0.05,1,0.918891318,0.872075305,0.877817171,0.561193639,0.561193639,0.561193639,0.561193639,5.33828E-07,6.81347E-06,0.957750972,0.957750972,0,2.1963895,2.018243243,1.915417042,1.928028418,2.1963895,2.018243243,1.915417042,1.928028418,0.020916057,0.007826056,0.010539593,0.010539593,0.979083943,0.992173944,0.978920814,0.989460407,10000000,9790839.427,1602.397705,17.25228353,17.25228353,0,203149.2406,2187.215,2187.215,0,4.220729088,1.343244449,0.010309392,0.00529518,0.236925891,0.744466133,96.99893459,188.8510095
5,382687621,0,1,-1,1000,0.05,0.05,1,0.893256876,0.988766263,0.726601216,0.587140942,0.587140942,0.587140942,0.587140942,1.11705E-06,5.9822E-06,0.877755377,0.877755377,0,2.141571234,1.912973229,2.117513385,1.556068262,2.141571234,1.912973229,2.117513385,1.556068262,0.019369711,0.018105326,0.007864253,0.007864253,0.980630289,0.981894674,0.984271493,0.992135747,10000000,9806302.886,3451.790336,27.57953879,27.57953879,0,187198.7572,1495.703644,1495.703644,0,6.849760499,1.348934371,0.015402829,0.013363195,0.145990506,0.74132591,64.92313893,74.8324046
6,117278870,0,1,-1,1000,0.05,0.05,1,0.991491614,0.931855173,0.964091577,0.630003884,0.630003884,0.630003884,0.630003884,1.34181E-06,3.65021E-06,0.935863032,0.935863032,0,2.158956991,2.140587751,2.01183524,2.081432251,2.158956991,2.140587751,2.01183524,2.081432251,0.021138684,0.004090658,0.010119865,0.010119865,0.978861316,0.995909342,0.979760271,0.989880135,10000000,9788613.155,847.2098057,8.750761497,8.750761497,0,206261.2225,2130.45547,2130.45547,0,6.192127916,1.536077651,0.00929784,0.004575795,0.161495372,0.651008755,107.5518661,218.5412618
7,1256877017,0,1,-1,1000,0.05,0.05,1,0.971832889,0.990537321,0.876348686,0.595064267,0.595064267,0.595064267,0.595064267,1.43276E-06,4.30041E-06,0.984023075,0.984023075,0,1.941369064,1.886686307,1.922998512,1.701316229,1.941369064,1.886686307,1.922998512,1.701316229,0.023348998,0.00780294,0.013986295,0.013986295,0.976651002,0.99219706,0.972027411,0.986013705,10000000,9766510.017,1770.944859,25.48174688,25.48174688,0,225187.7186,3240.177929,3240.177929,0,5.226101755,1.713442761,0.003821469,0.008111868,0.191347212,0.583620313,261.6794431,123.2761748
8,1394744846,0,1,-1,1000,0.05,0.05,1,0.9560356,0.956422314,0.838303002,0.505659509,0.505659509,0.505659509,0.505659509,9.74194E-07,6.77586E-06,0.87738614,0.87738614,0,2.015017986,1.926428929,1.927208165,1.689195626,2.015017986,1.926428929,1.927208165,1.689195626,0.02307783,0.009030268,0.011148559,0.011148559,0.97692217,0.990969732,0.977702881,0.988851441,10000000,9769221.701,2037.522887,23.23348489,23.23348489,0,223595.0845,2549.612105,2549.612105,0,2.756388255,1.676683258,0.017778035,0.015551951,0.362793593,0.596415569,56.24918614,64.3006128
9,1347392138,0,1,-1,1000,0.05,0.05,1,0.997263175,0.941770589,0.859003482,0.443500816,0.443500816,0.443500816,0.443500816,1.49492E-06,6.11518E-06,0.989636395,0.989636395,0,2.066036828,2.060382448,1.945732721,1.77473283,2.066036828,2.060382448,1.945732721,1.77473283,0.022151122,0.005742936,0.008355399,0.008355399,0.977848878,0.994257064,0.983289201,0.991644601,10000000,9778488.777,1250.866505,10.62911009,10.62911009,0,216558.727,1840.185617,1840.185617,0,2.55243583,1.293812014,0.017788618,0.013241276,0.391782621,0.772909811,56.2157211,75.52142394
