Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-171476901,1796706742,17147643,471,9.42,17147643,12170469,209406,3440,13,17072338,471,11704144.32,225578.0869,1989.908846,222581.2605,2889.621703,54.97994505,0.218901099,0.01927382,0.008802154,0.011630933,0.000209767,9.37819E-07,0.709794943,0.011102923,0.000173421,7.10054E-07,0
Base,364,0.05,1,0,-174834355,20736168,17483411,245,4.9,17483411,11901720,187992,3448,0,17348717,245,11701784.26,226320.9712,4627.163846,220667.058,2534.464615,52.43027473,0.005824176,0.01934127,0.020440962,0.010288964,0.000189852,2.46531E-08,0.680821327,0.009882666,0.000163152,0,0
Base,364,0.05,1,0,-186457652,441821400,17608760,10370052,207401.04,17608760,12727951,186395,202606,0,17376362,10370052,11701316.6,233000.5383,8361.558571,223604.9437,2694.561538,2809.537088,0.000824176,0.019912398,0.035871334,0.010152703,0.011504247,3.78485E-09,0.722917024,0.009334644,0.011003291,0,0
Base,364,0.05,1,0,-194276739,1043302273,19427673,9,0.18,19427673,12827100,742992,209885,0,18683396,9,11700157.97,225190.1721,9984.650934,214064.8049,9774.629286,2428.338242,0.005,0.019246849,0.044344671,0.04356371,0.010612321,2.42513E-08,0.660252407,0.038385949,0.010631898,0,0
Base,364,0.05,1,0,-178313348,261067697,16741777,10895578,217911.56,16741777,11303419,342781,166648,0,16603909,10895578,11707447.62,215177.9976,7825.02533,206369.7718,4477.399835,2224.115934,0,0.018380116,0.036363772,0.019416048,0.010035435,0,0.675201417,0.019113588,0.009669267,0,0
Base,364,0.05,1,0,-189535389,1309746828,17643163,13103759,262075.18,17643163,13211775,160989,311163,0,17480043,13103759,11699683.74,240587.3871,1366.820769,238184.6114,2320.778077,4301.740385,0.003296703,0.020563553,0.005661032,0.008931447,0.017348027,1.32237E-08,0.748849419,0.008461224,0.017115345,0,0
Base,364,0.05,1,0,-173169743,1467119681,16507701,8092733,161854.66,16507701,11749041,212643,152071,0,16381663,8092733,11703060.68,189173.5521,6795.566703,181408.6471,2527.380604,1852.506374,0.002417582,0.016165133,0.035919878,0.011655307,0.009931809,1.17641E-08,0.711889984,0.011259514,0.009350643,0,0
Base,364,0.05,1,0,-161302019,1567830136,14796003,13341989,266839.78,14796003,9187166,99130,279583,0,14725066,13341989,11696537.15,220581.1838,5926.909835,213785.3883,1562.893901,4224.243242,0.000274725,0.018858771,0.026878408,0.005840629,0.017476564,1.17163E-09,0.621043778,0.005556095,0.017270215,0,0
Base,364,0.05,1,0,-167240780,80555586,16723650,4280,85.6,16723650,11612447,169089,13192,3,16619138,4280,11703394.89,240902.2007,6940.243132,232979.9658,2569.518242,205.8029121,0.012417582,0.020584047,0.028801354,0.010220915,0.000840274,5.13623E-08,0.694387772,0.009708551,0.000776962,1.75202E-07,0
Base,364,0.05,1,0,-189743197,60602794,17726970,12473497,249469.94,17726970,13042537,107277,195891,0,17543099,12473497,11705118.64,196816.2004,4591.092637,191184.1561,1254.213901,2249.595495,0.000384615,0.016815089,0.023293938,0.005230626,0.010299267,1.78712E-09,0.735820695,0.004989066,0.009982684,0,0
Base,364,0.05,1,0,-209158396,590028395,20052038,8638016,172760.32,20052038,15074696,193490,366726,0,19706329,8638016,11701069.84,248535.3611,7326.470385,240031.4152,2608.781264,5367.60511,0,0.021240421,0.02947849,0.010417494,0.021535342,2.21828E-10,0.751779117,0.009608706,0.01828227,0,0
Base,364,0.05,1,0,-206024105,188166107,19803944,7984665,159693.3,19803944,14380863,256392,281683,0,19591274,7984665,11697206.76,331417.3575,6394.699945,323859.7828,4508.618242,5004.178242,0.006043956,0.02833296,0.019293935,0.013546091,0.014892563,1.84782E-08,0.726167434,0.012899616,0.014040023,0,0
Base,364,0.05,1,0,-175797481,102995125,17579701,471,9.42,17579701,10945176,123045,15694,0,17497373,471,11708777.1,296626.8915,4015.244066,291579.2759,2059.85489,288.1329121,5.49451E-05,0.025333905,0.013535662,0.006757444,0.000919236,3.55702E-10,0.622605525,0.006807934,0.000848603,0,0
Base,364,0.05,1,0,-179659593,508492445,16583772,13821873,276437.46,16583772,12429652,572492,965819,0,16462237,13821873,11698130.08,244822.8655,1808.106758,242040.7791,8538.198242,14238.00478,0.000384615,0.020928213,0.007374435,0.032741038,0.059084194,1.6617E-09,0.749573902,0.032441215,0.059130912,0,0
Base,364,0.05,1,0,-188442106,1180810846,18448243,3959676,79193.52,18448243,12594922,203146,230177,0,18143412,3959676,11705576.26,302148.8758,6668.911813,294396.726,3439.679341,3847.528956,0,0.025811997,0.0220776,0.012000531,0.012365137,0,0.682732621,0.011612486,0.012107679,0,0
Base,364,0.05,1,0,-149931186,574104378,14424602,5685166,113703.32,14424602,9810456,182262,270991,10,14245939,5685166,11695606.81,233139.4908,3502.797143,228789.563,3129.202088,4360.547198,0.142252747,0.019933939,0.015015594,0.012682676,0.020236565,6.21475E-07,0.680194409,0.011935154,0.020269264,7.02742E-07,0
Base,364,0.05,1,0,-226359539,2131573053,20759320,18766339,375326.78,20759320,13398036,385747,159117,0,20667052,18766339,11701520.84,271684.1212,4104.019835,266361.1733,5125.681648,2287.116923,5.49451E-05,0.023217767,0.015107705,0.019123273,0.008518063,4.07104E-10,0.645395285,0.018857095,0.007777939,0,0
Base,364,0.05,1,0,-254576850,1833897973,25456840,8450,169,25456840,18347019,166848,24753,0,25345830,8450,11699568.23,285160.6216,10581.3911,273084.4905,1918.043297,298.0272527,0.00021978,0.024373244,0.037117437,0.007600204,0.001134491,1.32495E-09,0.720714759,0.007414375,0.001050219,0,0
Base,364,0.05,1,0,-229971107,1202025757,22990858,62527,1250.54,22990858,16654883,227957,110940,0,22776084,62527,11691239.7,268954.3615,5033.451813,262570.7386,2828.211374,1414.104945,5.49451E-05,0.023004731,0.018714977,0.010405996,0.005200786,5.99896E-10,0.724412955,0.009821118,0.004771608,0,0
Base,364,0.05,1,0,-136501945,1968047866,13514137,1360575,27211.5,13514137,9145807,236760,284821,0,13226071,1360575,11706816.84,196245.3264,3043.342692,192408.3112,3554.928681,4844.310604,0.000659341,0.016763991,0.015512259,0.016481639,0.025594358,3.35449E-09,0.67675642,0.015948224,0.021862465,0,0
Base,364,0.05,1,0,-203939193,1572536138,18833084,15608353,312167.06,18833084,13688299,851850,506356,22,18720007,15608353,11702177.59,212189.073,2698.064066,208385.0582,9623.938242,5761.757253,0.23989011,0.01813252,0.012713612,0.04446486,0.026552313,1.03458E-06,0.726848126,0.044360531,0.026301561,1.06209E-06,0
Base,364,0.05,1,0,-157943293,326728592,14556644,12376853,247537.06,14556644,9203441,706225,321947,0,14454852,12376853,11701099.9,214234.3822,4367.600659,209011.9587,10398.66857,4819.341264,0.000494505,0.018309071,0.020381917,0.047672357,0.021500575,2.3447E-09,0.632258602,0.047647603,0.021141625,0,0
Base,364,0.05,1,0,-151256820,1886551310,15124375,13070,261.4,15124375,11222991,227998,35808,0,14932250,13070,11699571.7,234994.2847,1021.626154,233084.4893,3647.360824,569.2261538,0.000604396,0.020085846,0.004341537,0.014712273,0.00242131,2.84808E-09,0.742072892,0.014286984,0.002376664,0,0
Base,364,0.05,1,0,-162497131,1429071814,14956746,12929671,258593.42,14956746,9662639,261334,492754,0,14866174,12929671,11706002.06,269829.3512,3518.501923,265432.5296,4909.629066,9058.51989,0,0.023051048,0.013030188,0.016733029,0.032614661,0,0.646105994,0.016108673,0.032031034,0,0
Base,364,0.05,1,0,-212089167,2102969800,19618296,15906207,318124.14,19618296,11696361,322424,928859,0,19515699,15906207,11705603.84,284215.6805,6163.05044,276900.6071,4734.194505,13479.79577,0.00043956,0.024280152,0.021687558,0.016735387,0.04690652,1.79162E-09,0.596195105,0.016511481,0.046829277,0,0
Base,364,0.05,1,0,-155918656,1617437679,14678519,9133466,182669.32,14678519,11276454,247250,578673,28,14445703,9133466,11694443.63,188808.087,7101.331923,180844.6807,3445.356209,7406.398077,0.324945055,0.016145107,0.037620689,0.015633977,0.039629246,1.68172E-06,0.768335741,0.014466761,0.039798346,1.84287E-06,0
Base,364,0.05,1,0,-168683684,1056559680,16868360,84,1.68,16868360,11516302,154870,1065,0,16781303,84,11711190.15,259494.2438,3704.32511,254799.3955,2362.748187,18.51285714,0.000604396,0.022157615,0.014277015,0.00907492,7.639E-05,2.54595E-09,0.682714797,0.009155168,6.71129E-05,0,0
Base,364,0.05,1,0,-204133210,2102213323,18852871,15604500,312090,18852871,13764937,162120,338802,3,18718749,15604500,11699161.17,344931.9613,7449.790165,336375.1325,2947.995934,6165.938846,0.049505495,0.029483503,0.021601718,0.008750166,0.017955738,1.54526E-07,0.730122137,0.008796099,0.018046974,1.6717E-07,0
Base,364,0.05,1,0,-164430497,1076769934,16442188,8617,172.34,16442188,9354118,157570,24563,38,16371583,8617,11704510.85,239176.5594,2113.52022,236097.5047,2309.987033,369.7850549,0.457802198,0.020434653,0.008836885,0.009379066,0.0015348,1.94465E-06,0.568907591,0.009316961,0.001481209,2.31991E-06,0
Base,364,0.05,1,0,-258332442,1434696475,23805185,20280592,405611.84,23805185,14500785,154416,224462,0,23675256,20280592,11704750.53,326216.1689,10981.15093,313837.2324,2193.943297,3218.007088,0,0.027869611,0.03367959,0.007943194,0.010983319,0,0.609150226,0.007671602,0.010511423,0,0
