Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,4000,-1269852.438,1621184805,8139431.958,1269852.438,49353.44288,15124996,10486575,175730,148500,0,14926388,4399241,10000639.16,204857.6822,2839.733462,201129.8081,2640.693022,2099.816044,0,0.020484624,0.013850904,0.011896015,0.010680928,0,0.693391982,0.010743425,0.010218337,0,0
Base,364,0.05,1,4000,-6899169.751,349946347,8167970.036,6899169.751,268139.6436,15508573,10775346,305238,217425,0,15433910,14162016,10001461.99,209760.4127,3922.62033,204927.0521,4217.370495,3037.413571,0,0.020973169,0.018692977,0.019156676,0.013779431,0,0.694813457,0.018763659,0.013347699,0,0
Base,364,0.05,1,4000,-79.08436913,1316010029,8787799.992,79.08436913,3.073653109,16962672,11851569,523346,536,0,16913960,165,10002041.83,235818.5586,1166.43978,233656.0269,7214.257033,8.117582418,0,0.023577126,0.004947422,0.030354628,3.53919E-05,2.31135E-10,0.698685447,0.03062494,3.21555E-05,0,0
Base,364,0.05,1,4000,0,1133763999,9017444.523,0,0,17475291,11464108,22745,7916,0,17451436,0,10001738.69,230717.8166,8203.229835,221488.4921,323.6211538,120.5820879,0,0.023067752,0.035555934,0.00141484,0.000521981,0,0.656012822,0.001326519,0.000461881,0,0
Base,364,0.05,1,4000,-5258012.183,497248093,9512976.193,5258012.183,204355.2433,18547585,12508103,187051,8631,854573,18340192,13235628,10005173.6,254777.6984,6133.678187,247554.8766,3005.440604,135.2543407,11764.69451,0.025464356,0.024072484,0.011687624,0.000579104,0.045256389,0.674382319,0.010029044,0.000508673,0.045153496,0
Base,364,0.05,1,4000,0,1356694999,9331505.933,0,0,18245722,12096998,267747,14664,0,17976654,0,10003634.88,234887.4882,6844.353022,226971.6647,3498.890549,201.3085714,0,0.023480056,0.029139491,0.014972386,0.000920235,0,0.662996862,0.014747758,0.000865648,0,0
Base,364,0.05,1,4000,-3358053.223,905214308,7692815.989,3358053.223,130512.3989,14113288,9486444,827261,174945,3,13970418,8616571,9992804.145,198194.7785,1407.750165,195958.1664,11566.80544,2571.835989,0.010604396,0.019833609,0.007090875,0.057116616,0.012257527,5.05123E-08,0.672236289,0.057334243,0.011716584,1.89974E-07,0
Base,364,0.05,1,4000,0,575455818,9529878.165,0,0,18814750,13128017,14651,14063,0,18798774,0,10000209.8,258480.2586,9008.924615,248366.5019,223.977033,198.196978,0.001538462,0.025847259,0.034853947,0.000959207,0.000852983,7.15364E-09,0.697739537,0.000862349,0.000831911,0,0
Base,364,0.05,1,4000,-4218749.787,751450586,7338949.485,4218749.787,163963.7964,13129981,8724344,1038003,304550,0,13021902,9477673,9998172.602,172273.4112,1861.422747,169640.8404,13568.44912,4038.834945,0.002637363,0.017230544,0.010779162,0.079700255,0.022403124,1.22888E-08,0.664586467,0.079939274,0.022151655,0,0
Base,364,0.05,1,4000,-4947652.897,908785228,8717906.866,4947652.897,192292.9762,16545616,11194501,239489,162545,0,16410150,12001308,10002578.53,209835.8003,8512.500934,200351.7084,3166.057802,2245.577473,0.022912088,0.020978295,0.04056553,0.014195403,0.010271388,1.0056E-07,0.676622217,0.013662593,0.009466503,0,0
Base,364,0.05,1,4000,-0.455746171,1703938237,8291962.361,0.455746171,0.0177128,15700906,11088626,53815,16002,0,15646016,1,10000698.89,219666.7784,2817.299835,215927.4092,799.5634615,234.5395604,5.49451E-05,0.021965516,0.0128268,0.003479012,0.0009707,5.02925E-10,0.706260964,0.003280023,0.000929432,0,0
