Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-5784.718362,983936911,8682211.833,5784.718362,224.8259394,16717580,11424730,182623,41222,7,16555224,20383,9997113.83,226623.3214,8190.223791,217451.5125,2783.516538,631.732033,0.066318681,0.022668881,0.036139663,0.012030277,0.002796922,2.92601E-07,0.683401517,0.01073436,0.002471001,4.11715E-07,0
Base,364,0.05,1,0,0,448149416,9611003.511,0,0,18841026,13059250,28531,18937,0,18811177,0,10009979.82,260979.0207,10197.38407,249675.2966,434.4289011,284.9589011,0,0.026071427,0.039072904,0.001814876,0.001195381,0,0.693116299,0.001660823,0.001110024,0,0
Base,364,0.05,1,0,0,331954395,9205362.103,0,0,17913401,12638051,19866,7356,0,17892301,0,10007321.36,227394.7453,8719.245879,217623.6811,281.5508242,106.7539011,0,0.022722629,0.038344777,0.001306956,0.000497303,0,0.705498409,0.001175818,0.000438897,0,0
Base,364,0.05,1,0,-1924.387461,2035125522,7959502.191,1924.387461,74.79227018,14765257,10036807,167280,13758,0,14685094,5508,10004943.11,212417.8574,7580.436978,203970.4364,2536.73956,225.8058242,5.49451E-05,0.021231471,0.035693614,0.010729508,0.001063518,4.42487E-10,0.679851561,0.01019682,0.000932956,0,0
Base,364,0.05,1,0,-0.868241435,1446141628,7799154.962,0.868241435,0.033744633,14651566,10260664,187266,118642,1,14463314,2,9998129.844,209613.8728,3425.607088,205327.8564,2966.363132,1752.432143,0.000769231,0.020965391,0.016338789,0.013454123,0.007670229,4.70535E-09,0.700362268,0.01217708,0.007455755,7.22603E-08,0
Base,364,0.05,1,0,-0.88415155,1008407690,8224550.098,0.88415155,0.034362987,15725206,10821890,13238,26490,0,15710801,1,10010515.35,222040.0007,4820.684945,216295.8957,192.3315385,383.8535714,0.00010989,0.022181089,0.021712024,0.000767949,0.001573866,7.07037E-10,0.688210768,0.000750536,0.00153955,0,0
Base,364,0.05,1,0,-1226.484702,156626826,9044833.848,1226.484702,47.66793436,17674857,12123984,193821,7719,0,17609014,4487,9995603.292,224090.1338,4109.327253,218942.9783,2581.109725,112.8804396,0,0.022418991,0.018340061,0.011544686,0.000495573,0,0.685945196,0.011001762,0.000429156,0,0
Base,364,0.05,1,0,-4818240.605,669465778,9078251.276,4818240.605,187263.3035,17381445,11378550,197120,446490,0,17251662,12081854,10005581.12,215855.9397,2449.709945,212385.5717,2527.116593,5577.175934,0,0.02157366,0.011345234,0.011303632,0.02551339,0,0.65464272,0.010970478,0.025374008,0,0
Base,364,0.05,1,0,-0.957497397,267246755,8942629.354,0.957497397,0.03721361,17350952,12496406,56979,24032,0,17292674,1,9998487.088,224945.1519,2749.152253,221177.0884,809.104011,334.3705495,0.000164835,0.022497887,0.012223558,0.003642464,0.001502532,9.90051E-10,0.720211646,0.003331334,0.001405471,0,0
Base,364,0.05,1,0,-3567121.871,2074189229,6390493.779,3567121.871,138637.9552,10937365,7604988,489094,161842,0,10836073,7691120,10000330.55,140466.8237,1322.676813,138501.8413,6241.615275,2139.902363,0.00021978,0.014047462,0.009397874,0.04308949,0.012122991,1.2378E-09,0.695543507,0.043231507,0.011756825,0,0
Base,364,0.05,1,0,-5863603.614,469827702,8953436.418,5863603.614,227891.8537,17566037,12609839,118934,167008,0,17443384,13936009,9996282.592,231422.1546,8883.057967,221507.5895,1709.90044,2354.186538,0,0.023150859,0.038383458,0.007759361,0.010517692,2.50237E-10,0.717828149,0.007139385,0.00985607,0,0
Base,364,0.05,1,0,-0.235423568,752753372,8109646.904,0.235423568,0.009149853,15425904,10830539,159132,2009,0,15265871,1,10004607.17,213666.2933,8115.557637,204644.9045,2513.01467,28.31478022,0,0.021357011,0.037990473,0.012155725,0.000126598,2.6666E-10,0.702100894,0.010675099,0.000124253,0,0
Base,364,0.05,1,0,-2812023.435,1544529357,8080552.009,2812023.435,109290.6812,15367345,10873413,193051,335762,0,15149769,8138217,10005709.14,219893.8339,7379.511099,211611.8876,2913.014451,4842.421099,0,0.021977341,0.033561257,0.012772009,0.02221616,0,0.707586437,0.012127391,0.022034338,0,0
Base,364,0.05,1,0,-297.7319081,1298055040,8241695.005,297.7319081,11.57149782,15458551,10996082,581949,3702,4,15412409,575,10005789.14,214459.3827,5434.542802,208117.0603,8083.873516,59.70851648,0.062307692,0.021434202,0.025335731,0.037300794,0.000248437,2.9392E-07,0.711351433,0.037243357,0.000214089,2.58623E-07,0
Base,364,0.05,1,0,-3635463.028,1510422449,7738228.163,3635463.028,141294.0681,14658473,10251124,106082,197933,0,14475669,9443474,10001615.13,190800.4332,3645.920165,186293.8884,1479.578187,2876.953077,0,0.019077167,0.019097862,0.007119998,0.014373998,2.69491E-10,0.69936525,0.006665303,0.012908199,0,0
Base,364,0.05,1,0,0,814331675,8956538.529,0,0,17362001,11841672,20773,25734,0,17340101,0,10005442.66,259636.1744,3015.848187,255600.8381,344.2921978,409.0832418,0,0.02594945,0.011617095,0.00134766,0.001603054,0,0.682046232,0.001215421,0.001507289,0,0
Base,364,0.05,1,0,-2922033.512,1871812238,7155826.773,2922033.512,113566.2772,12751546,8661540,133369,152037,0,12610317,7421183,9999826.201,172033.9291,3782.818736,167502.2462,1924.317747,2244.058187,0,0.017203133,0.021987941,0.008648859,0.011545285,4.54997E-10,0.679507428,0.008112242,0.010577649,0,0
Base,364,0.05,1,0,0,1730628168,9845203.998,0,0,19636328,13383655,14064,16931,0,19620921,0,10000704.75,269379.3945,7998.332198,260227.9184,212.9330769,249.1331868,0,0.026935492,0.029696897,0.000988178,0.001148224,0,0.681582501,0.000895816,0.001070556,0,0
Base,364,0.05,1,0,-7905.720144,1172530438,8930459.356,7905.720144,307.2597223,17639911,12618496,143498,40461,1,17540692,18868,10002983.26,240740.9827,3067.327692,236637.838,2135.904231,643.8493407,0.002032967,0.024066778,0.012747668,0.009451,0.00272098,9.74483E-09,0.71533195,0.008683208,0.002335087,5.92366E-08,0
Base,364,0.05,1,0,-6766947.872,1549578218,9044649.46,6766947.872,263000.7749,17974983,12936245,92322,158745,2,17873028,15410956,10001957.8,249547.4653,8243.102527,240248.842,1366.637967,2281.626099,0.017087912,0.024949198,0.03304625,0.006065108,0.009892458,7.76053E-08,0.719675421,0.00569457,0.009558342,1.2378E-07,0
Base,364,0.05,1,0,-6314704.209,407344773,9886103.566,6314704.209,245424.1013,19490769,13841765,269381,1180237,2,19363701,15221537,10009532.21,249377.6726,6345.37978,241887.8286,3602.499066,15048.69945,0.000769231,0.024913263,0.025452702,0.014972462,0.059160157,3.76543E-09,0.71017911,0.014328688,0.059370722,1.03428E-07,0
Base,364,0.05,1,0,-4574483.329,1468159526,7276984.209,4574483.329,177789.5564,12940367,9081518,599117,211510,0,12835597,9864704,10000633.59,168019.1923,5803.86522,161455.3976,7801.551374,2836.302253,5.49451E-05,0.01680158,0.034518998,0.043418398,0.014821997,5.04837E-10,0.70195328,0.043278102,0.014360402,0,0
Base,364,0.05,1,0,-6217513.522,995156257,8426062.617,6217513.522,241646.7372,15945708,11236759,151226,176680,0,15841711,13500385,10007599.97,216022.3913,2139.695934,212946.3655,2143.667857,2469.237033,0,0.021586334,0.009900984,0.009114439,0.010770519,0,0.70471933,0.008717255,0.010453301,0,0
Base,364,0.05,1,0,-3248368.302,1746146599,6050043.257,3248368.302,126249.4402,10091765,6827340,508630,206579,0,9989764,6873257,10003041.29,140941.2859,1248.713846,139099.8876,7085.222802,2945.509176,0,0.014089756,0.008838818,0.048092543,0.017574685,0,0.676911216,0.048080693,0.017187436,0,0
Base,364,0.05,1,0,-6448425.785,1251956769,9497827.879,6448425.785,250621.2565,18452037,13036536,153588,716528,0,18315217,14916175,10003758.7,240165.1929,5047.657308,234033.9398,2250.380055,9436.161154,0.000824176,0.024007406,0.021022899,0.009533228,0.039090437,4.21318E-09,0.706509572,0.0084969,0.038642043,0,0
Base,364,0.05,1,0,-2.897370228,1415497314,7237119.141,2.897370228,0.112607726,13305363,8973047,269087,255703,1,13035499,5,10001297.24,195652.5151,2535.526923,192335.6459,3942.239945,3764.195714,0.003516484,0.019563155,0.01295545,0.01945865,0.018546021,1.74762E-08,0.674446147,0.019540216,0.018532915,5.94135E-08,0
Base,364,0.05,1,0,-3063430.918,1508024011,8310740.248,3063430.918,119061.7573,15506162,10846943,140600,280073,0,15345766,8517691,9999537.516,211338.011,7512.601264,202914.773,1890.64522,3775.648681,0.00021978,0.021135073,0.035539688,0.008372641,0.018022465,1.21003E-09,0.699544252,0.008480875,0.018202354,0,0
Base,364,0.05,1,0,0,1640002990,9750858.479,0,0,19018141,12551889,35478,26759,0,18981288,0,9996864.036,241897.0128,5219.209945,235561.0859,460.2744505,353.2625275,0,0.024197339,0.021577404,0.002000538,0.001538947,0,0.659994334,0.001961947,0.001483425,0,0
Base,364,0.05,1,0,-4886215.574,1233016017,7858099.282,4886215.574,189905.1842,14416435,9303028,126850,1133951,3,14279704,10988585,10000545.64,177944.0421,4950.133846,172147.2959,1732.248352,13896.72516,0.059010989,0.017793885,0.027825433,0.008141192,0.080527522,2.71963E-07,0.645428032,0.007392828,0.080990943,1.69635E-07,0
Base,364,0.05,1,0,0,1598763997,9840118.789,0,0,19245328,13204268,4277,825,0,19239826,0,10004086.56,234627.5177,6919.038736,226578.3192,54.98857143,11.23,0,0.023452887,0.029490564,0.000255145,5.45869E-05,0,0.686109331,0.000241781,4.88652E-05,0,0
Base,364,0.05,1,0,-4812967.453,1411505674,7720077.199,4812967.453,187058.3598,14222148,10112911,123340,175916,5,14098657,10868614,10001537.52,174818.7831,3704.719286,170278.9114,1693.887143,2350.442088,0.035714286,0.017478993,0.021168554,0.008067931,0.012027249,1.74536E-07,0.711191826,0.007263766,0.011099767,2.96125E-07,0
Base,364,0.05,1,0,0,1694690071,8382038.602,0,0,15853079,10162595,14646,30577,0,15837419,0,10003206.78,194620.3372,6496.563132,187192.841,208.5335165,379.9219231,0,0.019456171,0.033383635,0.00099436,0.001848211,0,0.641074065,0.00085878,0.00182694,0,0
Base,364,0.05,1,0,-2139686.742,2023894713,6407865.801,2139686.742,83159.98318,11506534,8122030,636196,143649,0,11374136,5854205,10000576.4,164824.0124,3084.240714,161063.9825,9044.496484,2283.772527,0.007087912,0.016481384,0.018668611,0.054924296,0.012817858,3.85138E-08,0.70597164,0.055316898,0.01157456,0,0
Base,364,0.05,1,0,-4495855.831,1923603921,8646998.424,4495855.831,174733.6598,16849371,11212285,213908,142105,42,16729846,11616504,10006581.07,209409.2757,2513.691209,205906.201,2768.286099,1921.448242,0.497582418,0.020926956,0.012008125,0.013415673,0.009227134,2.44312E-06,0.66543318,0.012902581,0.008502945,2.53618E-06,0
Base,364,0.05,1,0,-6220552.405,34816932,7927745.709,6220552.405,241764.8449,15303638,9936538,132620,143013,0,15224164,13439137,9999918.822,205387.7255,901.9146703,203587.2627,1879.675055,2049.057692,0.00032967,0.020539024,0.004390567,0.008974879,0.009839749,2.07177E-09,0.649302004,0.008516777,0.00924006,0,0
Base,364,0.05,1,0,-4735988.43,1257465000,10184752.69,4735988.43,184066.532,20059938,13659337,140615,191250,293,19898645,12865373,10001056.7,259449.8958,1787.083846,256484.8545,1905.225275,2549.539505,3.75,0.025942144,0.006900376,0.007829041,0.009739408,1.45514E-05,0.680933467,0.007477135,0.009457189,1.45952E-05,0
Base,364,0.05,1,0,-65.60941655,1192226623,8383969.466,65.60941655,2.549942414,15878187,11448711,180814,4740,0,15729751,184,10007028.19,205878.6734,3463.855385,201482.4669,2491.535604,70.78373626,0.000384615,0.020573776,0.016811485,0.011526659,0.000307587,2.18049E-09,0.721053811,0.010872756,0.000269005,0,0
Base,364,0.05,1,0,-5040945.589,762166659,6363690.446,5040945.589,195918.8428,11086088,7885552,110698,285070,0,11014765,9684528,10002326.35,147894.0983,5308.702637,141934.389,1611.471374,3891.137912,0,0.014786852,0.035871981,0.007248502,0.021465814,0,0.71171362,0.006700197,0.021058552,0,0
Base,364,0.05,1,0,-2.527261307,1911349715,8095048.511,2.527261307,0.09822326,15126198,11011765,370009,2976,0,14766213,7,10003529,204795.429,6505.706758,197401.4674,5205.571484,49.59527473,0.000494505,0.020472876,0.031783676,0.026422229,0.000203178,3.20422E-09,0.728010631,0.02541221,0.000166729,0,0
Base,364,0.05,1,0,-2.774230168,1983193674,9353394.969,2.774230168,0.107821827,18547374,13438420,457665,19289,0,18088287,4,9995326.344,249568.6555,3721.812527,244757.8211,6800.421209,291.7523077,0.000494505,0.024968521,0.014916828,0.027416872,0.001357325,3.25231E-09,0.724557429,0.024827347,0.001205666,0,0
Base,364,0.05,1,0,-6397261.082,1275370674,8438824.362,6397261.082,248632.715,16280712,10494593,113649,1079073,153,16178440,14016490,10008043.27,229858.3569,8225.263132,220677.0512,1790.369286,15214.52533,2.428021978,0.022967408,0.035783564,0.007696596,0.066188504,1.035E-05,0.644602061,0.006927587,0.066258082,9.18391E-06,0
Base,364,0.05,1,0,-3089556.042,11383495,7474695.545,3089556.042,120077.1232,13399830,9742586,258322,194751,0,13252450,7863898,10004524.69,171864.1336,6578.493187,164498.6806,3436.481868,2633.722418,0.013351648,0.017179755,0.038238656,0.016864484,0.014368732,6.98117E-08,0.727242138,0.016280976,0.013641708,0,0
Base,364,0.05,1,0,-6493992.101,719965389,7947324.284,6493992.101,252392.2139,15172281,10156793,177868,1095775,1,15091128,13606391,9995542.831,198902.1616,7911.434011,190099.6415,2505.473352,14300.11181,0.018461538,0.019899088,0.039768399,0.012006063,0.072010564,8.64006E-08,0.669442149,0.011216773,0.072302314,6.12387E-08,0
Base,364,0.05,1,0,-5762888.474,958566215,8307731.877,5762888.474,223977.5099,16007646,10195084,131004,681263,0,15898394,13103807,10006817.44,231529.4058,7157.50022,223431.9133,2017.518846,9830.798077,5.49451E-05,0.023137241,0.030913892,0.008567288,0.042523711,4.64569E-10,0.636892331,0.008058097,0.042613987,0,0
Base,364,0.05,1,0,-4302.375494,1736803258,7622607.521,4302.375494,167.2139508,14065115,9268060,743930,21643,248,13986232,9036,10001358.88,216803.561,1660.687747,214316.8384,11383.65962,345.5785165,3.127032967,0.021677686,0.007657776,0.051834942,0.001561285,1.36946E-05,0.658954024,0.052143975,0.001515018,1.66399E-05,0
Base,364,0.05,1,0,-70927.72168,1293190657,7570220.349,70927.72168,2756.640973,14177038,9419794,142969,77564,0,14042300,307552,10005782.81,215081.2196,5042.385769,209206.317,2251.977473,1198.693901,0.004450549,0.021496261,0.023448972,0.009939112,0.005850922,2.13721E-08,0.664484939,0.009580613,0.005735558,0,0
Base,364,0.05,1,0,-6250663.237,871955920,7931903.94,6250663.237,242935.1173,15251742,10546498,229050,198021,0,15165477,13414519,10006884.07,200651.0034,1745.103846,198010.2698,3063.007582,2691.96011,0,0.020051442,0.008696697,0.015062179,0.013131281,0,0.691496727,0.014829207,0.012726281,0,0
Base,364,0.05,1,0,-3079478.835,882541744,5469327.2,3079478.835,119685.4675,9125420,6515235,545790,132305,0,9028103,6420534,9995607.075,131845.7398,4004.517692,127305.1957,7845.037418,2052.568681,0,0.013189486,0.030334857,0.059980346,0.010906716,0,0.714523861,0.060153375,0.010207881,0,0
Base,364,0.05,1,0,-2797749.042,246736015,10126405.39,2797749.042,108735.8998,20079277,14501727,158129,232790,660,19848236,8956003,10004627.58,264141.1331,7541.116319,255420.9331,2228.346429,3281.969725,8.953076923,0.026401174,0.028550063,0.009229505,0.012216851,3.35849E-05,0.722228365,0.008633268,0.011401291,3.23972E-05,0
Base,364,0.05,1,0,-3102624.057,574961802,9124695.455,3102624.057,120585.0181,17924609,11873183,135871,183593,0,17746349,9312184,10004205.68,213730.0209,7616.771923,205060.6884,1692.077582,2329.187143,0,0.021363879,0.035639429,0.008326458,0.010738268,0,0.662392444,0.00797562,0.010111473,0,0
Base,364,0.05,1,0,-453.2917167,235915788,9009147.642,453.2917167,17.6174067,17443484,12265005,95661,10488,0,17394521,622,10010679.49,260679.8128,3583.087582,256072.3756,1395.829451,173.569011,0,0.026040079,0.01374615,0.005410438,0.000668481,0,0.703129503,0.005537239,0.000605206,0,0
Base,364,0.05,1,0,0,1899256237,8228882.705,0,0,15701595,10821072,11757,21167,0,15688849,0,9997810.244,199657.5603,7321.828407,191413.5925,156.3922527,276.5775275,0,0.019970188,0.036674556,0.000648732,0.001188175,0,0.689201089,0.000630325,0.001168457,0,0
Base,364,0.05,1,0,-6474159.685,1045206602,8152576.619,6474159.685,251621.4172,14964188,10309937,109531,1210989,2,14874932,13158071,9996594.278,187156.5485,5893.376593,180384.5084,1542.70978,15064.61923,0.033571429,0.018722231,0.031476543,0.006796233,0.08098963,1.45279E-07,0.689115302,0.00607341,0.081361887,1.09565E-07,0
Base,364,0.05,1,0,-1.10294875,619067659,8599290.502,1.10294875,0.042866648,16824416,11794061,301934,112016,0,16521264,3,10008872.89,222784.5129,8944.023901,212852.5174,4374.837582,1484.186099,0.006538462,0.022258406,0.040147734,0.0195587,0.006751676,3.21629E-08,0.701013168,0.017872941,0.006744738,0,0
Base,364,0.05,1,0,-6309033.291,2079948955,8835584.971,6309033.291,245203.6983,17327373,12247187,175544,271296,0,17213639,14438664,10008429.18,263288.8942,5739.683077,256531.6837,2692.899121,4120.332802,0.00043956,0.026306305,0.021807682,0.010709816,0.015974578,2.24793E-09,0.706824613,0.010602646,0.015980516,0,0
Base,364,0.05,1,0,-890523.0871,28773026,7904446.604,890523.0871,34610.62009,14815693,10812802,256586,175500,0,14676178,3294938,9997797.481,215714.0151,2305.905549,212538.0541,3943.443297,2658.383407,0.004725275,0.02157623,0.010689931,0.017750986,0.013207741,2.11461E-08,0.729837592,0.016832632,0.012690557,0,0
Base,364,0.05,1,0,-3362700.428,47312131,6932702.597,3362700.428,130693.0148,12428431,8651226,125388,158262,0,12314882,8100081,9995365.606,177988.1879,3253.854505,174004.4671,1867.077802,2300.89489,0,0.017806954,0.018252267,0.008384748,0.011848205,0,0.696197086,0.008067272,0.011668363,0,0
Base,364,0.05,1,0,0,1240405229,8547969.652,0,0,16470722,12059746,10856,13408,0,16458691,0,9998156.209,212467.1467,9165.823077,202334.1614,156.0298901,184.2797253,0,0.021250606,0.04313989,0.000724057,0.000855846,0,0.732193912,0.000654958,0.000808777,0,0
Base,364,0.05,1,0,-2681676.598,1837554053,7337964.621,2681676.598,104224.6869,13354546,9538598,113418,175859,0,13179718,7267536,9996545.791,186623.6625,7098.359341,178741.002,1753.154066,2659.312637,0.009120879,0.01866909,0.038009763,0.007453051,0.013253469,3.81413E-08,0.714426059,0.006775066,0.01228084,0,0
Base,364,0.05,1,0,-158.6534461,987709756,9885415.289,158.6534461,6.166144627,19631903,13649385,207800,9709,0,19482313,466,9996061.263,295284.4759,1655.597143,292475.9982,3423.458516,164.2664286,5.49451E-05,0.029540545,0.005619587,0.012251021,0.000660989,5.99352E-10,0.695279635,0.011196203,0.00058447,0,0
Base,364,0.05,1,0,-0.986981626,855892371,8793928.673,0.986981626,0.038359529,16631068,11510651,7525,31038,0,16622414,1,10006117.98,223768.5351,7993.729835,214798.229,116.097967,428.7973077,0.000494505,0.022363572,0.035727052,0.000448258,0.001766968,2.03288E-09,0.692140014,0.00039383,0.001725628,0,0
Base,364,0.05,1,0,-1131.155871,1300109836,8059167.004,1131.155871,43.96293223,15059134,10821245,253495,8507,0,14993295,1739,10001868.76,223893.3176,8065.787088,214943.2029,3800.36022,144.1296703,0,0.022385323,0.036033004,0.015889516,0.000562977,0,0.718632533,0.015769735,0.000498774,0,0
