Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0,-4716804.29,312313552,8101184.07,4716804.29,183320.9309,15204617,10607589,114144,163862,0,15070063,11191908,9995925.785,195969.6186,1891.780659,193184.9162,1504.57522,2129.836484,0.014395604,0.019604805,0.009646348,0.006850255,0.010219859,6.49854E-08,0.697686008,0.00669331,0.010137464,0,0
Base,364,0.05,1,0,-4605514.152,1850831212,6441259.195,4605514.152,178995.5847,11314390,7495185,104957,189849,0,11237261,9313724,10009804.58,160877.2776,4201.696978,156011.1033,1581.478736,2758.034176,0,0.016073528,0.026090277,0.006881902,0.014156146,0,0.662749054,0.006530102,0.013888071,0,0
Base,364,0.05,1,0,-3263417.263,1473204640,9628088.198,3263417.263,126834.3255,18888867,13424926,154402,201564,0,18692846,9789419,10002595.16,235516.2048,1769.756593,232637.3103,2169.097308,2728.742637,0.000274725,0.02354537,0.007522494,0.009632487,0.011408626,1.5184E-09,0.710730902,0.008567942,0.010522013,0,0
Base,364,0.05,1,0,-5011866.472,308849058,6308266.887,5011866.472,194788.6685,10896568,7778127,183724,271908,3,10829234,9522398,10003572.28,140355.5378,3962.824396,135752.7486,2484.133187,3595.79,0.075824176,0.014031789,0.028213603,0.012720163,0.021257325,3.57995E-07,0.714185439,0.012177069,0.020750585,1.81363E-07,0
Base,364,0.05,1,0,-5238699.476,598655489,8270162.511,5238699.476,203604.6454,15428589,11222751,152544,352402,0,15294694,11928814,10003532.63,196447.5129,7464.947418,188076.5785,2027.96467,4497.105769,0,0.019638254,0.03798825,0.009092949,0.022136377,0,0.727444316,0.008725888,0.022090455,0,0
Base,364,0.05,1,0,-1822256.272,696108165,9008803.877,1822256.272,70822.89099,17672476,11680437,171150,224070,0,17481682,6229470,10007596.08,278017.8992,4528.762198,272451.3796,2977.304176,3673.701044,0.000274725,0.027780169,0.01628934,0.010805627,0.012750664,1.18951E-09,0.660944731,0.009789318,0.012238864,0,0
Base,364,0.05,1,0,-3113075.253,2010095345,6775344.882,3113075.253,120991.2089,12131078,8087361,719900,135822,0,12003902,7622268,9998461.091,174486.7939,1724.485714,172049.8334,10350.39495,2123.630989,0.000549451,0.017451494,0.009854656,0.057538928,0.010770224,2.84399E-09,0.666831799,0.057537084,0.009933722,0,0
Base,364,0.05,1,0,-5543887.328,309444972,7278747.718,5543887.328,215465.9222,13404959,9533722,142890,685769,0,13314295,11510261,10010192.85,167005.9512,5012.802143,161205.9401,1843.15467,8537.954011,0.000164835,0.016684787,0.029998918,0.009459074,0.050027152,1.09871E-09,0.711285152,0.009146271,0.050031184,0,0
Base,364,0.05,1,0,-3614712.044,261067697,7781712.475,3614712.044,140487.5709,14695094,9922133,289498,148251,2,14576297,9394171,9998075.934,188976.4776,6867.583022,181245.9565,3785.95033,1979.164011,0.003461538,0.018901227,0.036339827,0.018962271,0.010244239,1.83311E-08,0.675232342,0.018649256,0.00987894,1.28022E-07,0
Base,364,0.05,1,0,-2085161.627,1409394844,5019635.314,2085161.627,81040.83761,8112654,5520246,578315,125875,0,7999502,4624279,9999577.449,111606.947,4158.893681,106971.5707,7932.69456,1841.837308,0,0.0111614,0.037306879,0.069531964,0.012572066,2.83449E-10,0.681133844,0.069660433,0.011833087,0,0
