Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-108439595,580196182,10013364,8305955,166119.1,10013364,6829753,164684,163362,2,9930688,1672688,8305955,9978643,4880165.902,88073.19835,812.947033,86672.11143,1497.61033,1477.255549,0.001428571,0.018047605,0.00919391,0.014915718,0.014886455,1.50161E-08,0.682147335,0.014499968,0.014508443,1.60298E-07,0.041037019,0.167626801
Base,364,0.05,1,5000,-127167755,374487009,11720629,9961465,199229.3,11720629,7830716,438208,61524,0,11664763,1734473,9961465,11695938,4877206.715,90374.98143,870.8243407,88815.78132,3399.633681,541.0356593,0.000769231,0.018530135,0.0096227,0.03738577,0.005628308,8.40772E-09,0.668143218,0.037202017,0.004960472,0,0.048062929,0.148297041
Base,364,0.05,1,5000,-87802547,261534356,8267045,5132097,102641.94,8267045,5686546,148609,57881,0,8212585,3111372,5132097,8243469,4876317.11,64936.94742,3761.182527,60690.24236,1175.121319,468.6980769,0,0.013316471,0.057955057,0.016448837,0.006729621,0,0.688013424,0.016377562,0.006523133,0,0.033906007,0.377434791
Base,364,0.05,1,5000,-134256463,450446990,12340704,10849423,216988.46,12340704,8547956,343086,61705,0,12286747,1470473,10849423,12319896,4875861.084,81238.97104,5717.332857,74796.84082,2271.446648,458.7706593,0,0.016661491,0.070371365,0.027912248,0.005541748,0,0.692662753,0.027784821,0.004936901,0,0.050619786,0.119357582
Base,364,0.05,1,5000,-97098396,240117342,8882738,8271016,165420.32,8882738,6069089,695190,109746,0,8846906,599210,8271016,8870226,4881145.991,69467.15742,4637.607582,64307.79478,5395.778736,923.5296703,5.49451E-05,0.014231879,0.066745581,0.077519516,0.011591813,2.00472E-09,0.683327962,0.078122475,0.010837092,0,0.036395907,0.067552958
Base,364,0.05,1,5000,-130976473,418864200,12028982,10686653,213733.06,12028982,8148584,462416,64710,0,11977632,1320642,10686653,12007295,4879515.538,79865.77473,1787.361154,77371.98033,3067.013956,467.5306593,0,0.016367545,0.022387426,0.038750644,0.006051705,0,0.677404617,0.038789268,0.005589795,0,0.049304041,0.109986637
Base,364,0.05,1,5000,-129323649,1180366369,11841483,10908819,218176.38,11841483,8203838,755950,73571,720,11793964,915368,10908819,11824187,4879635.178,78585.94033,3355.78989,74534.84753,5015.060165,537.1136264,5.301318681,0.016104935,0.042703073,0.063748733,0.006796271,6.79599E-05,0.692801486,0.063787893,0.006218294,6.11759E-05,0.048534068,0.077414879
Base,364,0.05,1,5000,-113219229,1774440612,10424402,8975209,179504.18,10424402,7248297,1474084,68242,1,10357491,1425082,8975209,10400291,4875397.627,68058.24808,4010.924176,63435.10901,9532.041264,527.9958791,0.002692308,0.013959166,0.058890693,0.13934039,0.006637354,3.47645E-08,0.695393667,0.140703173,0.005653184,7.98722E-08,0.042762363,0.137023281
Base,364,0.05,1,5000,-93858428,87722740,9019795,3660478,73209.56,9019795,6193334,850591,122748,25,8928204,5326158,3660478,8986636,4882030.601,86604.07126,596.278022,85478.01978,8097.638242,1292.593462,0.283681319,0.017740598,0.006883626,0.095310868,0.015853341,3.34011E-06,0.686788793,0.096092859,0.014559081,2.79953E-06,0.036953031,0.59267539
Base,364,0.05,1,5000,-94006918,1704961822,8769147,6315448,126308.96,8769147,5950418,381261,131271,0,8712197,2433499,6315448,8748947,4877486.417,85002.64835,4097.167143,80390.51341,3713.664341,1316.171593,0,0.01742806,0.048219097,0.043836396,0.014094409,0,0.678756855,0.043698882,0.01365845,0,0.035958457,0.278147645
Base,364,0.05,1,5000,-123587891,213716015,11504643,8541461,170829.22,11504643,7627298,641526,78276,0,11449102,2940957,8541461,11482418,4875911.19,99708.59165,3502.782143,95530.22484,5531.468901,718.2512637,0,0.020449234,0.035131438,0.055373615,0.007081102,0,0.662976841,0.055653649,0.006697903,0,0.047189781,0.256126976
Base,364,0.05,1,5000,-106397068,1772477497,9815764,8239428,164788.56,9815764,6550906,705301,123268,0,9761216,1553040,8239428,9792468,4878005.878,93646.4883,993.8148352,92076.19341,6683.021044,1168.648956,0.000549451,0.019198137,0.010598091,0.071016074,0.011716034,5.53878E-09,0.667389982,0.07150602,0.011792257,0,0.040245678,0.158595361
Base,364,0.05,1,5000,-95441326,1671007562,8754385,7897476,157949.52,8754385,6023890,650141,163384,0,8706418,838193,7897476,8735669,4877249.004,79692.52429,935.2566484,78243.1378,5878.540714,1537.034505,0.00010989,0.016339484,0.011691744,0.073508307,0.017065018,1.66852E-09,0.688151727,0.074031417,0.016550387,0,0.035898191,0.095950636
Base,364,0.05,1,5000,-92627109,1435429692,8916359,3463519,69270.38,8916359,6153742,735802,168015,60660,8830855,5420356,3463519,8883875,4880083.326,85990.58571,3042.481978,82424.29621,7023.948352,1623.106044,634.4973626,0.017622535,0.035379042,0.085082,0.022027591,0.007623375,0.690330776,0.0858331,0.021960941,0.007040575,0.036544929,0.610134204
Base,364,0.05,1,5000,-87929935,63927149,8094127,6988665,139773.3,8094127,5509189,416131,568942,0,8035443,1084449,6988665,8073114,4880754.335,79654.80489,4103.191319,75076.17346,4092.655165,5575.277637,0,0.016321345,0.051494998,0.050770156,0.06847612,0,0.680876413,0.050865722,0.068771314,0,0.033169155,0.134328464
