Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Resistant to G_A,Total: Received 1st Tx & Resistant to G_B,Total: Received 1st Tx & Resistant to G_AB,Total: Success 1st,Total: Success A or B,Total: Success M,Total: Success All,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence | Sym,Averge size: Prevalence | G_A,Averge size: Prevalence | G_B,Averge size: Prevalence | G_AB,Average ratio: Prevalence,Average ratio: % infection symptomatic,Average ratio: % infection resistant to G_A,Average ratio: % infection resistant to G_B,Average ratio: % infection resistant to G_AB,Average ratio: % received 1st Tx & symptomatic ,Average ratio: % received 1st Tx & resistant to G_A,Average ratio: % received 1st Tx & resistant to G_B,Average ratio: % received 1st Tx & resistant to G_AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of A and B
Base,364,0.05,1,5000,-156893415,1971903165,15211885,4774565,95491.3,15211885,10540442,109602,295296,2,15110327,10401497,4774565,15176062,4883092.973,116941.6594,7622.995934,879.2915934,2323.120659,0.004395604,0.023947417,0.065212784,0.008278407,0.018847489,4.67408E-08,0.692970311,0.007894863,0.018457,1.49856E-07,0.062301021,0.697385722
Base,364,0.05,1,5000,-104945108,1984768660,9702541,7919698,158393.96,9702541,6717091,43492,71385,0,9645387,1757091,7919698,9676789,4882246.91,56290.74071,3704.60044,359.3800549,550.2423626,0.004505495,0.0115304,0.065816126,0.004628088,0.007661378,6.31343E-08,0.692615966,0.003296817,0.005847752,0,0.039747479,0.138475651
Base,364,0.05,1,5000,-144650781,684975303,13591818,8732601,174652.02,13591818,8992829,103597,115760,0,13483565,4801197,8732601,13533798,4874776.65,105181.612,4457.05011,1178.774615,1051.92,0,0.021576876,0.042375717,0.01106822,0.009779657,0,0.661612294,0.007619197,0.008343321,0,0.055764765,0.358531897
Base,364,0.05,1,5000,-117699360,369151607,10898943,8709930,174198.6,10898943,7566435,236733,86232,53,10835852,2160710,8709930,10870640,4880096.499,65210.49857,1620.697802,1445.039176,629.2147253,0.357802198,0.013362857,0.024844522,0.020959869,0.008780873,5.02403E-06,0.694311469,0.020608132,0.007257235,4.42219E-06,0.044667776,0.177855057
Base,364,0.05,1,5000,-86211867,600388397,7940909,6802777,136055.54,7940909,5468962,155897,523036,0,7877555,1113991,6802777,7916768,4878333.633,64404.21951,3066.783681,1337.43033,4286.564615,0.000164835,0.013201691,0.047603927,0.015508235,0.063952528,4.08691E-09,0.688685011,0.014684276,0.063406488,0,0.03255426,0.098026775
Base,364,0.05,1,5000,-154294412,242951675,14280984,11484572,229691.44,14280984,9791295,336728,86122,4,14204825,2763142,11484572,14247714,4877630.939,110560.3958,4171.206923,2708.905659,833.4994505,0.02978022,0.022666922,0.037769269,0.025840444,0.00809431,2.95813E-07,0.685654318,0.024937535,0.006497065,3.0352E-07,0.05855739,0.218461173
Base,364,0.05,1,5000,-107259111,486139739,9878238,8476731,169534.62,9878238,6856874,445764,104635,11,9807981,1375634,8476731,9852365,4877343.689,85151.3578,4644.760165,3971.664066,1109.092198,0.098241758,0.017458596,0.054545623,0.043784041,0.011249857,9.77298E-07,0.694299089,0.042553256,0.009242197,9.51269E-07,0.040506274,0.118208982
Base,364,0.05,1,5000,-157903651,114811354,15295046,4953191,99063.82,15295046,10191028,126155,128569,0,15161235,10270935,4953191,15224126,4880948.03,95463.16269,2405.780879,1169.331978,918.6793407,0.009835165,0.01955775,0.025203249,0.01260833,0.008896547,1.02489E-07,0.666300434,0.008423103,0.007791772,0,0.062668957,0.698526257
Base,364,0.05,1,5000,-90216096,1872428183,8627960,3936496,78729.92,8627960,6047683,93957,63893,0,8548811,4655588,3936496,8592084,4875159.41,51450.99209,2410.99022,699.061044,593.6636813,0.002087912,0.010552676,0.046820152,0.009374514,0.010433791,3.01312E-08,0.70134638,0.007591332,0.00679714,0,0.035392021,0.417775434
Base,364,0.05,1,5000,-103510813,1734646395,10132842,2182393,43647.86,10132842,6886693,65930,162846,2,10058929,7918940,2182393,10101333,4879474.934,74145.51648,4154.898681,578.0182418,1232.173462,0.001593407,0.015195418,0.05605042,0.00692103,0.017036026,2.24617E-08,0.679688517,0.005817232,0.01649284,1.77041E-07,0.041532208,0.778027505
Base,364,0.05,1,5000,-82055912,950703638,7761083,4445082,88901.64,7761083,5366141,93512,97597,0,7688474,3285060,4445082,7730142,4882188.871,54228.70011,2117.267912,760.1974176,869.9925824,0.000934066,0.011107825,0.038964302,0.009812824,0.013772398,1.65959E-08,0.691342006,0.008513433,0.010978162,0,0.03179339,0.317438588
Base,364,0.05,1,5000,-148126256,1235243694,14640936,1716896,34337.92,14640936,10218344,282145,95177,3,14568283,12898755,1716896,14615651,4880563.284,118117.1902,6737.919286,2366.335385,848.2801099,0.027197802,0.024200241,0.057078181,0.023068126,0.006271739,2.81979E-07,0.698018552,0.022185914,0.005666764,2.4472E-07,0.059993243,0.89849079
Base,364,0.05,1,5000,-84858440,1512604839,7773995,7118490,142369.8,7773995,5270821,483074,1150018,7,7714225,631409,7118490,7749899,4881816.208,46039.28148,2299.127198,2891.652253,6851.769615,0.030879121,0.009431713,0.049750472,0.057065383,0.149250207,4.55641E-07,0.677848798,0.056444223,0.148793419,6.02965E-07,0.031850968,0.057875753
Base,364,0.05,1,5000,-144672540,615898603,14279926,1873280,37465.6,14279926,10095261,159210,121056,79,14177650,12372253,1873280,14245533,4881069.949,138050.637,7002.81456,1621.771099,1322.487582,0.888406593,0.028282423,0.050740272,0.01218289,0.009022662,6.68591E-06,0.707013316,0.011563109,0.007994951,5.71391E-06,0.058510465,0.877160773
Base,364,0.05,1,5000,-148295140,894538234,13685742,11437720,228754.4,13685742,9596732,86007,593801,8,13603362,2219341,11437720,13657061,4881668.186,105831.0509,4877.129231,841.4553297,4779.183187,0.052912088,0.021679303,0.046102726,0.008482818,0.044883074,5.01197E-07,0.701205614,0.006741608,0.0432454,5.85549E-07,0.056069126,0.177641991
Base,364,0.05,1,5000,-89198459,485424797,8239905,6799409,135988.18,8239905,5795545,882202,55029,0,8186753,1419531,6799409,8218940,4880121.642,50754.61956,2110.346593,5435.734945,371.8067582,0.000494505,0.010400757,0.041521592,0.107720905,0.00520669,8.85407E-09,0.703299819,0.107722631,0.00475613,0,0.033770015,0.118274045
