Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-96687932,110161356,8874888,7939052,158781.04,8874888,6101761,116864,431826,132,8834112,919518,7939052,8858570,4876648.034,78397.2156,4392.443187,73483.48775,1095.566154,3804.168022,1.147582418,0.016075836,0.056010154,0.011676939,0.04740804,1.11901E-05,0.687644435,0.011075824,0.047558369,1.1368E-05,0.036396957,0.078995199
Base,364,0.05,1,5000,-65187432,454853911,6143523,3752202,75044.04,6143523,4228997,431472,90142,121,6078809,2364363,3752202,6116565,4879973.446,60184.77956,2606.508132,57217.36511,4192.247527,1135.364011,1.456538462,0.01233463,0.043377492,0.069372597,0.013711009,1.84634E-05,0.689146628,0.069945008,0.011008116,1.51931E-05,0.025181259,0.23698889
Base,364,0.05,1,5000,-103022204,1254111821,9689835,6123854,122477.08,9689835,6574524,159381,484098,123,9603383,3532266,6123854,9656120,4877591.393,98179.35005,2990.873681,94619.29181,1810.931538,4932.076868,1.299010989,0.020128124,0.030474432,0.017549229,0.051823297,1.20455E-05,0.678629108,0.015850489,0.051561289,1.15255E-05,0.039731061,0.317902125
Base,364,0.05,1,5000,-120192666,168559697,10988126,10311406,206228.12,10988126,7651043,601845,743150,10,10952237,664317,10311406,10975723,4879636.948,77105.32225,2620.391154,73839.67736,4215.564121,5216.023187,0.034065934,0.01580178,0.033988623,0.054505509,0.067204676,4.07709E-07,0.696335215,0.054619596,0.067255386,8.21202E-07,0.045036957,0.058651564
Base,364,0.05,1,5000,-120879486,1075712556,11154782,9331666,186633.32,11154782,7676324,540371,380301,0,11088116,1796989,9331666,11128655,4878084.818,107936.1034,3777.811923,103503.2093,5261.792912,3799.557253,0,0.02212684,0.035003391,0.048511079,0.034988088,0,0.688184311,0.048264967,0.033950431,0,0.045734221,0.158096212
Base,364,0.05,1,5000,-67444950,2099760828,6194130,5503650,110073,6194130,4342687,306705,91357,0,6162924,677543,5503650,6181193,4880885.928,53531.35407,1632.321868,51535.19066,2621.987802,900.8646154,0,0.01097005,0.030571039,0.047945586,0.01093608,0,0.701628431,0.048354249,0.009718692,0,0.025386204,0.059033906
Base,364,0.05,1,5000,-59056417,52325125,5537484,3681577,73631.54,5537484,3736635,212153,74288,0,5479267,1831910,3681577,5513487,4879327.714,56967.82808,2746.688516,53895.80341,2201.114945,946.1998901,0,0.011676645,0.048241593,0.031221345,0.010184522,0,0.675564032,0.031061272,0.008357155,0,0.022699604,0.177385998
Base,364,0.05,1,5000,-157609881,606760411,14437139,13238491,264769.82,14437139,10019011,317133,280824,1,14389995,1182106,13238491,14420597,4878938.653,130235.7639,1719.733516,127668.2334,2965.576484,2601.329066,0.000604396,0.026693203,0.013233349,0.024391862,0.020879511,6.32578E-09,0.694001891,0.023525905,0.020314106,8.03003E-08,0.059181278,0.098799421
Base,364,0.05,1,5000,-181273329,799543822,16623190,15041429,300828.58,16623190,11171521,317076,692401,3119,16561051,1558498,15041429,16599927,4879067.19,146970.1004,4797.421593,141196.5656,2898.872363,6218.53511,28.21021978,0.030121157,0.032677498,0.021484148,0.042504798,0.000206963,0.672028677,0.020772885,0.041731739,0.000201351,0.068136821,0.118465896
Base,364,0.05,1,5000,-106015934,539026087,9747767,8538264,170765.28,9747767,6854322,377600,301621,0,9683006,1184325,8538264,9722589,4881375.568,91156.23681,2980.906319,87602.75615,3605.712473,2920.917912,0,0.018675245,0.03268235,0.036219666,0.029069404,0,0.703287717,0.035538341,0.028135942,0,0.039939935,0.098257902
Base,364,0.05,1,5000,-132473573,593811077,12340410,9069473,181389.46,12340410,8668775,191255,1075306,3316,12228002,3229095,9069473,12298568,4879089.202,107226.3915,3044.388462,103457.2504,1807.969505,9272.823626,28.81818681,0.021976791,0.028387336,0.015814404,0.088978933,0.000288441,0.702544197,0.014642014,0.089530035,0.000286706,0.050584675,0.237610575
Base,364,0.05,1,5000,-74320182,918985232,6885164,5468542,109370.84,6885164,4803710,501006,111559,69,6830067,1395420,5468542,6863962,4880266.147,67348.12462,2329.327912,64614.355,4873.027308,1122.794011,0.715659341,0.013801178,0.034553468,0.071194842,0.014118488,8.26333E-06,0.697873876,0.071636283,0.013740399,7.7138E-06,0.028218318,0.138687683
Base,364,0.05,1,5000,-70115017,1560991929,6446137,5653647,113072.94,6446137,4341846,350194,210857,549,6410587,779206,5653647,6432853,4876909.333,43787.8428,3006.737253,40402.44632,2396.274835,1451.876209,3.745,0.008977327,0.068713874,0.048114084,0.027986109,5.96002E-05,0.673827848,0.047864216,0.027653282,5.92117E-05,0.02643166,0.079127167
Base,364,0.05,1,5000,-79198738,222098122,7318363,6015108,120302.16,7318363,4778709,250011,271394,52,7257665,1279553,6015108,7294661,4876731.838,74581.76451,2800.059835,71351.82687,2605.706813,2834.537692,0.465659341,0.015293657,0.037559757,0.029942445,0.033084217,4.25182E-06,0.653438408,0.029384541,0.032516484,4.86146E-06,0.030013803,0.117824118
Base,364,0.05,1,5000,-104638548,1570304225,9624337,8395178,167903.56,9624337,6852192,1116356,410409,0,9546379,1205114,8395178,9600292,4877634.543,77017.18659,1463.477418,74988.57819,8862.786484,3410.004505,0.015769231,0.015789665,0.018931938,0.116985152,0.03920744,1.56103E-07,0.712163005,0.117873388,0.037860479,0,0.039462658,0.0977403
Base,364,0.05,1,5000,-142280402,300236435,13088968,11390722,227814.44,13088968,8810866,656002,156347,220,13022708,1674157,11390722,13064879,4880692.816,142136.5162,3550.013571,137817.9139,7239.542967,1875.764176,2.718626374,0.029121661,0.025025067,0.052443787,0.014291372,2.12642E-05,0.673181631,0.051585353,0.01292905,1.86561E-05,0.053634239,0.15852783
Base,364,0.05,1,5000,-80092069,1652389693,7413302,5959049,119180.98,7413302,5309760,424515,281910,14,7355246,1431203,5959049,7390252,4881433.256,53649.65555,3825.861484,49388.29516,3055.329396,2054.267582,0.11021978,0.010991633,0.071332809,0.054455223,0.033641556,1.26854E-06,0.716420433,0.054811743,0.033394984,1.15676E-06,0.030375639,0.118871895
Base,364,0.05,1,5000,-184186662,1016844450,16981205,14374612,287492.24,16981205,10955410,368988,1391961,157,16881653,2562303,14374612,16936915,4877588.484,152386.0807,3845.724341,147543.1723,3512.297582,12383.99802,1.276428571,0.031242171,0.025253703,0.023844589,0.079332392,8.73351E-06,0.645165365,0.022428303,0.080032291,9.57389E-06,0.069630178,0.178571227
Base,364,0.05,1,5000,-120865952,1858532367,11093600,9929952,198599.04,11093600,7450380,126992,427611,0,11043179,1140668,9929952,11070620,4883071.899,125479.0232,2553.834615,122273.7339,1549.737253,4825.690275,0,0.025696422,0.020365172,0.013224878,0.038622434,0,0.671598555,0.012248155,0.038729346,0,0.045436181,0.118782726
Base,364,0.05,1,5000,-104154541,1155618339,9624528,7909261,158185.22,9624528,6608749,782517,108422,301,9563535,1692054,7909261,9601315,4877413.548,75999.27577,1549.607637,73884.32681,6125.553516,994.1899451,2.526043956,0.015581752,0.020395552,0.081697646,0.00986543,2.46775E-05,0.686995502,0.082382929,0.008625531,2.3183E-05,0.039464787,0.118153652
Base,364,0.05,1,5000,-73072068,792530338,6689584,6176228,123524.56,6689584,4359691,200301,334477,0,6662007,502022,6176228,6678250,4882198.302,65615.64896,3099.471374,62123.20016,2004.859011,3290.473297,0.019175824,0.013443238,0.047256637,0.023792588,0.046559776,1.5197E-07,0.652066815,0.023380658,0.046416697,0,0.027409964,0.03937565
Base,364,0.05,1,5000,-141862093,793488844,13071143,11150663,223013.26,13071143,9144162,208562,548746,203,12989491,1887723,11150663,13038386,4876969.89,151370.2109,1944.639231,148657.9512,2651.664231,6400.218022,2.311813187,0.031037048,0.012885335,0.01891529,0.042636848,1.70215E-05,0.699556626,0.017087893,0.042329469,1.72082E-05,0.05360183,0.178746591
Base,364,0.05,1,5000,-141862093,793488844,13071143,11150663,223013.26,13071143,9144162,208562,548746,203,12989491,1887723,11150663,13038386,4876969.89,151370.2109,1944.639231,148657.9512,2651.664231,6400.218022,2.311813187,0.031037048,0.012885335,0.01891529,0.042636848,1.70215E-05,0.699556626,0.017087893,0.042329469,1.72082E-05,0.05360183,0.178746591
Base,364,0.05,1,5000,-138438369,663790997,12662068,11817689,236353.78,12662068,8768415,903387,415198,152,12624049,829500,11817689,12647189,4881304.897,79030.62115,6638.826099,71648.27522,5584.73467,2613.105989,0.919615385,0.0161909,0.084025667,0.070596776,0.032162027,1.00704E-05,0.692550975,0.071271374,0.031947824,1.03427E-05,0.051880315,0.059028084
Base,364,0.05,1,5000,-75499922,1849550302,7019873,5301192,106023.84,7019873,4447861,358249,142093,59,6952294,1689347,5301192,6990539,4878666.786,55758.83527,1511.250165,53835.20346,2922.068022,1263.204725,0.53978022,0.011430374,0.027020701,0.04981399,0.016603954,6.08457E-06,0.634523106,0.04914835,0.015110022,5.39809E-06,0.028780233,0.138465278
Base,364,0.05,1,5000,-94061791,144862864,8651444,7547351,150947.02,8651444,5505225,209370,207011,3,8606937,1085929,7547351,8633280,4881872.265,83327.32736,1301.060604,81518.09511,2087.529396,2087.365549,0.082197802,0.017069633,0.015571606,0.023412736,0.0223464,7.59899E-07,0.636492472,0.022771539,0.021429609,2.71706E-07,0.035444213,0.098908282
