Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-106985832,1940682102,9892782,8058012,161160.24,9892782,6675942,1393255,76206,26,9810494,1801011,8058012,9859023,4876283.297,62414.0083,4187.384341,57645.56511,8713.07011,504.3742308,0.172747253,0.012799507,0.067021539,0.13904252,0.006436544,2.12625E-06,0.674954808,0.140319629,0.006152335,1.99876E-06,0.040575317,0.182676417
Base,364,0.05,1,5000,-103182291,2102260571,9698272,6199571,123991.42,9698272,6694041,673564,328196,1,9623250,3468108,6199571,9667679,4881436.558,80605.39852,3570.685934,76465.12742,5579.183681,2717.887967,0.003736264,0.016513163,0.0442559,0.069003288,0.035074679,4.66163E-08,0.690275449,0.0692934,0.035200872,8.67212E-08,0.039736335,0.358732225
Base,364,0.05,1,5000,-147600752,505153759,13790249,9698262,193965.24,13790249,9224670,274863,952601,0,13696492,4056308,9698262,13754570,4878896.254,106547.8051,2413.446154,103324.5776,2129.203242,7315.813352,0.000494505,0.021838373,0.022654567,0.019535936,0.066828572,5.9635E-09,0.668949196,0.019503474,0.067252245,0,0.05652971,0.294906202
Base,364,0.05,1,5000,-112532285,154474979,10442789,8104395,162087.9,10442789,7209878,654117,125032,825,10377798,2314820,8104395,10419215,4876704.892,67536.86852,830.7521978,66092.6617,4206.746044,881.8932418,6.013021978,0.013848999,0.012286535,0.062912204,0.011684717,7.82836E-05,0.690567835,0.063267952,0.010833296,6.92887E-05,0.042827516,0.222168369
Base,364,0.05,1,5000,-135900851,443771830,12913733,6763521,135270.42,12913733,8756180,1471220,532822,442,12804324,6109583,6763521,12873104,4879520.942,119543.2686,1141.217198,117643.7147,13524.28467,4960.044066,4.782527473,0.024498827,0.0095494,0.112961084,0.041350036,3.98571E-05,0.678063667,0.113793797,0.04113854,3.37897E-05,0.052930144,0.474600609
Base,364,0.05,1,5000,-84653366,612256973,7941357,5239796,104795.92,7941357,5529644,826446,57989,58,7871016,2678000,5239796,7917796,4877688.562,57916.20462,1101.311703,56348.41456,5991.549011,471.9158242,0.413516484,0.011873452,0.018933909,0.10577042,0.006942654,5.514E-06,0.696559496,0.10650065,0.006274823,5.62998E-06,0.032560572,0.338225435
Base,364,0.05,1,5000,-77930124,1157155901,7227365,5656474,113129.48,7227365,4937504,154186,123595,1,7172873,1548788,5656474,7205262,4880998.539,64218.90275,2641.538516,61152.81071,1388.220495,1143.232473,0.005164835,0.01315824,0.041087756,0.019385247,0.014280908,5.64001E-08,0.683418477,0.019245429,0.013799932,9.12771E-08,0.029616231,0.21495235
Base,364,0.05,1,5000,-87969209,450833968,8098175,6987459,139749.18,8098175,5627372,747417,644349,1,8051881,1095142,6987459,8082601,4879922.215,58476.65659,1917.271209,56083.70033,5365.186044,4603.11967,0.002582418,0.011984394,0.032699412,0.093251665,0.081064315,3.38145E-08,0.695064995,0.093815513,0.081877584,8.7644E-08,0.033192951,0.13549376
Base,364,0.05,1,5000,-141177942,1709259272,13069712,10480822,209616.44,13069712,9099122,548404,101685,0,12994778,2562038,10480822,13042860,4874995.078,94790.21038,1962.583901,92060.07885,3959.714121,850.2485165,0.001428571,0.01944468,0.020737886,0.042208068,0.00943126,1.72303E-08,0.696207961,0.042402839,0.008223275,0,0.053621336,0.196432224
Base,364,0.05,1,5000,-143444452,259737136,13206643,11378022,227560.44,13206643,8984249,1335115,202830,11464,13128678,1799931,11378022,13177953,4877289.675,101097.8469,2199.203462,98123.11302,10167.20714,1606.160385,92.47620879,0.02072868,0.021808695,0.100199831,0.016175834,0.000947878,0.680325452,0.100709334,0.01565582,0.000901517,0.054157061,0.13658654
