Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,# of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total: Received 1st Tx,Total: Received 1st Tx & Symptomatic,Total: Received 1st Tx & Rst to A,Total: Received 1st Tx & Rst to B,Total: Received 1st Tx & Rst to AB,Total: Sucessful 1st-line treatment,Total: Sucessful A or B,Total: Treated with M,"Total: All A, B, M",Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx & Symptomatic,Average ratio: % Received 1st Tx & Rst to A,Average ratio: % Received 1st Tx & Rst to B,Average ratio: % Received 1st Tx & Rst to AB,Average ratio: Annual rate of gonorrhea cases,Average ratio: Effective life of AB
Base,364,0.05,1,5000,-148128141,505153759,13794408,10184061,203681.22,13794408,9224750,165753,337085,0,13724951,3583362,10184061,13767423,4875250.234,106583.6326,2406.203516,103367.457,1291.347967,2598.170714,0,0.02186241,0.022580065,0.011920683,0.023929808,0,0.668751386,0.011833597,0.023994664,0,0.056590576,0.26027834
Base,364,0.05,1,5000,-110923820,154474979,10326246,7661360,153227.2,10326246,7124322,1200729,108712,0,10227103,2629288,7661360,10290648,4881097.534,66857.23791,825.7268681,65425.0428,7718.584341,795.7946703,5.49451E-05,0.013698251,0.012321373,0.114564143,0.009527109,1.21029E-09,0.690137713,0.115493714,0.008478425,0,0.042313716,0.255502666
Base,364,0.05,1,5000,-100345087,2102260571,9429811,6046977,120939.54,9429811,6506976,497569,76247,3,9354220,3350723,6046977,9397700,4880247.194,78406.65319,3468.75033,74384.11418,4128.654286,695.514011,0.027417582,0.016066488,0.04420551,0.051526087,0.008532413,3.27385E-07,0.690108096,0.05170406,0.007799139,2.90318E-07,0.03864525,0.356547134
Base,364,0.05,1,5000,-83565291,450833968,7678332,6781971,135639.42,7678332,5335213,600349,595663,0,7638483,882840,6781971,7664811,4880598.935,55386.30511,1816.617802,53118.76852,4314.131648,4256.971319,0.000714286,0.011348413,0.032710582,0.076926758,0.080059032,9.95843E-09,0.694993738,0.077277708,0.080756649,0,0.031464888,0.115180922
Base,364,0.05,1,5000,-76700838,1157155901,7118842,5512418,110248.36,7118842,4861186,286512,88455,2,7048921,1577945,5512418,7090363,4879364.482,63247.25165,2607.765769,60221.29264,2586.122912,829.3101648,0.024725275,0.012962589,0.041168454,0.035694115,0.009419135,2.58592E-07,0.683195492,0.035364438,0.008956905,1.78603E-07,0.029179337,0.222547844
Base,364,0.05,1,5000,-162562790,718875789,15044776,12115030,242300.6,15044776,10346377,2255966,94380,228,14952121,2895317,12115030,15010347,4879961.15,98954.0328,3330.52011,94739.95522,14706.36335,698.314011,1.754505495,0.02027725,0.033690181,0.147564519,0.00733532,1.82398E-05,0.687714869,0.148921286,0.006553765,1.55806E-05,0.061657812,0.192888079
Base,364,0.05,1,5000,-141140019,796034001,13814495,2995069,59901.38,13814495,9485906,392016,478130,2091,13715202,10777899,2995069,13772968,4878800.004,89782.12599,3192.669341,85778.24918,2523.136099,3054.886593,13.66379121,0.018402371,0.035562009,0.028009481,0.031686256,0.0001395,0.686657003,0.028287191,0.032241859,0.000138466,0.056630237,0.782540045
Base,364,0.05,1,5000,-143010182,1709259272,13272404,10286142,205722.84,13272404,9236322,1254917,111002,8,13164255,2948334,10286142,13234476,4880904.661,96358.75148,2005.992527,93573.35835,9077.015769,942.8698352,0.056318681,0.019741844,0.020845138,0.094074985,0.009963903,6.24795E-07,0.695914853,0.094456896,0.008581827,6.33833E-07,0.054384503,0.222776784
Base,364,0.05,1,5000,-119479739,421980485,11029222,9187519,183750.38,11029222,7547689,749282,61261,0,10979933,1822545,9187519,11010064,4879273.944,76479.8022,2278.395989,73553.66286,5145.981813,485.5706593,0.002197802,0.015674747,0.029759065,0.066936101,0.005468422,2.46651E-08,0.684379191,0.067608942,0.004808464,0,0.045208478,0.16553446
Base,364,0.05,1,5000,-80526016,52848114,7402391,6502106,130042.12,7402391,4995245,462497,63959,0,7367403,886088,6502106,7388194,4877149.194,66493.33242,489.7086813,65568.80929,4122.637308,601.4771978,0,0.013633343,0.007337678,0.062591708,0.006533031,0,0.67494947,0.063016919,0.006250639,0,0.030354464,0.119932963
Base,364,0.05,1,5000,-143750300,259737136,13207878,11671520,233430.4,13207878,8990151,1000114,157183,0,13140751,1511351,11671520,13182871,4876214.783,101122.0655,2195.19967,98151.25934,7635.316648,1267.11989,0.003351648,0.020738131,0.021769012,0.075883713,0.01359509,4.01033E-08,0.680694183,0.076058146,0.012945819,0,0.054173966,0.114645057
Base,364,0.05,1,5000,-127691727,316024335,12058031,7111417,142228.34,12058031,8322898,644193,111866,0,11986173,4919505,7111417,12030922,4881056.333,104743.2802,1972.769725,102062.251,5566.733352,1064.171648,0,0.021458961,0.018835272,0.052614448,0.009829333,0,0.69025837,0.05290637,0.009010989,0,0.049406589,0.40890507
