Scenario,Decision Period,% Resistant Threshold,Change in % Resistant Threshold,% of Cases Tested for Resistance,Objective Function,RNG Seed,DALY,Total Cost,Annual Cost,Total New: I | Sym|G-0,Total New: I | Sym|G-A,Total New: I | Sym|G-B,Total New: I | Sym|G-AB,Total New: I | Asym|G-0,Total New: I | Asym|G-A,Total New: I | Asym|G-B,Total New: I | Asym|G-AB,Total New: W to 1st Tx | Sym|G-0,Total New: W to 1st Tx | Sym|G-A,Total New: W to 1st Tx | Sym|G-B,Total New: W to 1st Tx | Sym|G-AB,Total New: W to 1st Tx | Asym|G-0,Total New: W to 1st Tx | Asym|G-A,Total New: W to 1st Tx | Asym|G-B,Total New: W to 1st Tx | Asym|G-AB,Total New: W to RTx | Sym|G-0,Total New: W to RTx | Sym|G-A,Total New: W to RTx | Sym|G-B,Total New: W to RTx | Sym|G-AB,Total New: W to RTx | Asym|G-0,Total New: W to RTx | Asym|G-A,Total New: W to RTx | Asym|G-B,Total New: W to RTx | Asym|G-AB,Total New: Prob Sympt | infection with | G-0,Total New: Prob Sympt | infection with | G-A,Total New: Prob Sympt | infection with | G-B,Total New: Prob Sympt | infection with | G-AB,Total New: If R | Tx-A --> I | Sym|G-0,Total New: If F | Tx-A --> I | Sym|G-A,Total New: If R | Tx-A --> I | Sym|G-B,Total New: If F | Tx-A --> I | Sym|G-AB,Total New: If R | Tx-A --> I | Asym|G-0,Total New: If F | Tx-A --> I | Asym|G-A,Total New: If R | Tx-A --> I | Asym|G-B,Total New: If F | Tx-A --> I | Asym|G-AB,Total New: If R | Tx-B  --> I | Sym|G-0,Total New: If R | Tx-B  --> I | Sym|G-A,Total New: If F | Tx-B  --> I | Sym|G-B,Total New: If F | Tx-B  --> I | Sym|G-AB,Total New: If R | Tx-B  --> I | Asym|G-0,Total New: If R | Tx-B  --> I | Asym|G-A,Total New: If F | Tx-B  --> I | Asym|G-B,Total New: If F | Tx-B  --> I | Asym|G-AB,Total New: If R | 2nd Tx-B  --> I | Sym|G-0,Total New: If R | 2nd Tx-B  --> I | Sym|G-A,Total New: If F | 2nd Tx-B  --> I | Sym|G-B,Total New: If F | 2nd Tx-B  --> I | Sym|G-AB,Total New: If R | 2nd Tx-B  --> I | Asym|G-0,Total New: If R | 2nd Tx-B  --> I | Asym|G-A,Total New: If F | 2nd Tx-B  --> I | Asym|G-B,Total New: If F | 2nd Tx-B  --> I | Asym|G-AB,Total New: If retreat after R | Tx-A --> I | Sym|G-0,Total New: If retreat after F | Tx-A --> I | Sym|G-A,Total New: If retreat after R | Tx-A --> I | Sym|G-B,Total New: If retreat after F | Tx-A --> I | Sym|G-AB,Total New: If retreat after R | Tx-A --> I | Asym|G-0,Total New: If retreat after F | Tx-A --> I | Asym|G-A,Total New: If retreat after R | Tx-A --> I | Asym|G-B,Total New: If retreat after F | Tx-A --> I | Asym|G-AB,Total New: If retreat after R | Tx-B --> I | Sym|G-0,Total New: If retreat after R | Tx-B --> I | Sym|G-A,Total New: If retreat after F | Tx-B --> I | Sym|G-B,Total New: If retreat after F | Tx-B --> I | Sym|G-AB,Total New: If retreat after R | Tx-B --> I | Asym|G-0,Total New: If retreat after R | Tx-B --> I | Asym|G-A,Total New: If retreat after F | Tx-B --> I | Asym|G-B,Total New: If retreat after F | Tx-B --> I | Asym|G-AB,Total New: Successfully treated with A or B,Total New: Treated with 1st-line M,Total New: Treated with 2nd-line M,Total New: Death,Total: Received 1st Tx,Total: Received 1st Tx | Rst to A,Total: Received 1st Tx | Rst to B,Total: Received 1st Tx | Rst to AB,Total: Sucessful 1st-line treatment,Total: Treated with M,Averge size: Population size,Averge size: Prevalence,Averge size: Prevalence - Symptomatic,Averge size: Prevalence - Assymptomatic,Averge size: Prevalence - A,Averge size: Prevalence - B,Averge size: Prevalence - AB,Average ratio: Prevalence G,Average ratio: % infection symptomatic,Average ratio: % infection resistant to A,Average ratio: % infection resistant to B,Average ratio: % infection resistant to AB,Average ratio: % Received 1st Tx | Rst to A,Average ratio: % Received 1st Tx | Rst to B,Average ratio: % Received 1st Tx | Rst to AB,Average ratio: Annual rate of gonorrhea cases
Base,364,0.05,1,0.001,-7981408,1382616222,11029347,7981408,319256.32,6561944,138340,255762,275,8522248,205316,349993,389,6492569,136926,252926,274,3892527,94756,159204,165,0,38621,31831,28,0,0,0,0,15084192,315072,584190,638,916438,40116,8754,0,548517,27088,5438,0,863613,56797,33068,29,518763,39688,20322,24,0,38621,0,0,0,0,0,0,1,40116,0,0,0,27088,0,0,5,0,33068,29,1,1,20322,24,2958000,7949549,31859,12495901,11029347,231682,412130,439,10907549,7981408,10000369.29,188431.8106,3270.995715,183865.9712,4266.272937,7188.481156,7.905724646,0.01884268,0.017352074,0.019919556,0.037513457,4.36774E-05,0.018556321,0.036765923,4.11916E-05,0
Base,364,0.05,1,0.001,-9443893,1318242002,13381636,9443893,377755.72,8946006,495729,358167,0,10909244,625289,455368,0,8855492,490704,354508,0,3350108,191538,139286,0,0,56189,54526,3,0,0,0,0,19855250,1098988,791974,0,1143428,56938,9217,0,432640,21281,3599,0,1481796,146187,55220,0,562188,57482,20857,0,0,56189,0,0,0,0,0,0,0,56938,0,0,0,21281,0,0,8,2,55220,0,2,0,20857,0,3836525,9389364,54529,12489720,13381636,682242,493794,0,13225889,9443893,10001303.06,213691.3519,3208.392045,208912.0878,11069.09219,8035.521921,0.000988902,0.021366618,0.014995995,0.050499999,0.036993358,4.30595E-09,0.049757654,0.036338062,0,0
Base,364,0.05,1,0.001,-12614990,629284147,17372382,12614990,504599.6,10930575,270441,289074,0,12808039,337257,358085,0,10793318,267192,285455,0,5712924,152374,161119,0,0,53768,52799,1,0,0,0,0,23738614,566875,607919,0,1232316,63059,8196,0,650829,31532,4755,0,1661201,116018,61751,0,878881,69310,30269,0,0,53768,0,0,0,0,0,0,0,63059,0,0,0,31532,0,0,11,1,61751,0,8,0,30269,0,4621486,12562190,52800,12489170,17372382,419566,446574,0,17183676,12614990,9998286.161,285459.3937,6148.313262,277271.6753,7195.700143,7581.705747,0.000769146,0.028550856,0.021540671,0.025147285,0.026295568,2.67029E-09,0.024142127,0.025495111,0,0
Base,364,0.05,1,0.001,-17883584,1940218770,21863186,17883584,715343.36,12979618,232894,1401275,0,14584118,281513,1597085,0,12747367,228871,1375380,0,6660473,131273,719822,0,0,45010,60398,0,0,0,0,0,27563736,480772,2957384,0,1152156,51916,11189,0,593945,26726,5870,0,1289019,84544,69521,0,670346,49867,31842,0,0,45010,0,0,0,0,0,0,1,51916,0,0,2,26726,0,0,10,0,69521,0,1,0,31842,0,3856922,17823186,60398,12490551,21863186,360144,2095202,0,21680108,17883584,9996955.162,346853.6254,10593.00319,333694.0081,6001.363147,32964.79585,0,0.034696139,0.030581287,0.020106343,0.090019604,0,0.019159357,0.090940451,0,0
Base,364,0.05,1,0.001,-11383367,701982876,17954766,11383367,455334.68,12268653,472818,231345,0,16403259,659748,342517,0,11936692,459911,225247,0,5023551,203148,106217,0,0,66674,74105,1,0,0,0,0,28671912,1101673,537623,0,1441544,67766,8888,0,607536,29800,4133,0,2858026,216388,75285,0,1203217,95843,35043,0,0,66674,0,0,0,0,0,0,0,67766,0,0,1,29800,0,0,8,1,75285,0,8,0,35043,0,6435557,11309261,74106,12492115,17954766,663059,331464,0,17744818,11383367,9996330.814,280949.3929,8626.168004,270215.3768,10622.20943,5529.67564,0.000439512,0.028105234,0.030701066,0.037063648,0.019292708,1.49724E-09,0.036253603,0.018136954,0,0
Base,364,0.05,1,0.001,-12164551,1203503846,16269744,12164551,486582.04,10141875,718459,153828,1,12451390,899484,201665,0,10070821,713284,152731,1,4899780,352508,80619,0,0,52132,34179,1,0,0,0,0,22593265,1584822,331779,0,1043820,59689,7930,0,503377,25564,4279,0,1477300,160066,39251,1,717608,79731,18627,0,0,52132,0,0,0,0,0,0,0,59689,0,0,0,25564,0,0,11,1,39251,1,4,0,18627,0,3994095,12130371,34180,12496306,16269744,1065792,233350,1,16124466,12164551,10001667.55,293097.4016,3536.046808,287651.2463,19294.67674,4407.794748,0.000988902,0.029304575,0.012086731,0.065957365,0.015171992,3.49837E-09,0.065739455,0.014487915,6.36231E-08,0
Base,364,0.05,1,0.001,-10212336,1054380660,14242900,10212336,408493.44,9526090,399844,576258,0,12117796,517313,763844,0,9468058,397241,572451,0,3444792,145150,215208,0,0,24984,90973,0,0,0,0,0,21643886,907517,1303506,0,813298,25636,7823,0,295006,8988,2981,0,1981348,98870,93237,0,722039,36431,34313,0,0,24984,0,0,0,0,0,0,0,25636,0,0,0,8988,0,0,14,0,93237,0,5,0,34313,0,3957777,10121363,90973,12500817,14242900,542391,787659,0,14079140,10212336,10009844.03,248288.8006,2425.908142,244190.6287,9433.021866,13989.6207,0,0.024804894,0.009764806,0.037853161,0.055673031,0,0.037951111,0.054695854,0,0
Base,364,0.05,1,0.001,-5718904,247550638,9518558,5718904,228756.16,6128881,183685,159703,1112,6006081,203199,177267,1287,6052660,181499,157701,1098,2939108,99372,86503,617,0,45585,41711,333,0,0,0,0,12134962,359780,312523,2209,961442,47392,6133,0,467374,25296,3392,0,1418450,99553,43327,345,690327,54888,22818,176,0,45585,0,0,0,0,0,0,1,47392,0,0,0,25296,0,0,11,0,43327,345,2,2,22818,176,3701543,5676860,42044,12494760,9518558,280871,244204,1715,9378403,5718904,10002064.74,146752.8391,3919.545874,141715.8288,4636.900231,4022.722778,28.5157675,0.014673306,0.026683011,0.026072395,0.025976763,0.000181656,0.024454207,0.024360619,0.000167711,0
Base,364,0.05,1,0.001,-21308336,1816778380,25723086,21308336,852333.44,15304209,333167,1244076,1,21749775,502898,1793144,1,15132953,329547,1229608,1,8172525,192640,665812,0,0,55570,56581,1,0,0,0,0,37053984,801343,3004992,1,1233993,58013,12091,0,651222,32275,6316,0,1446111,104880,59026,1,772409,61581,29767,0,0,55570,0,0,0,0,0,0,4,58013,0,0,0,32275,0,0,12,0,59026,1,4,1,29767,0,4288582,21251754,56582,12486699,25723086,522187,1895420,1,25540336,21308336,9995229.963,491074.913,7192.713328,480862.3716,10426.36743,35980.81892,0.052301945,0.049132237,0.014724209,0.024814962,0.068801021,1.20572E-07,0.023663033,0.069315813,4.5492E-08,0
Base,364,0.05,1,0.001,-6788147,779015625,10961342,6788147,271525.88,6940945,167482,254045,0,7258207,194565,283179,0,6861917,165598,251002,0,3457449,92319,133057,0,0,47056,48932,0,0,0,0,0,14199152,326380,502333,0,1220814,55199,8843,0,618320,27521,4886,0,1377398,79428,57211,0,698647,46477,26599,0,0,47056,0,0,0,0,0,0,2,55199,0,0,1,27521,0,0,8,0,57211,0,5,0,26599,0,4054797,6739215,48932,12499135,10961342,257917,384059,0,10794012,6788147,10001858.32,172690.5637,4008.742885,167394.8845,4305.136688,6211.968465,0,0.017266662,0.023163113,0.019263419,0.034559416,0,0.018205565,0.033603137,0,0
