Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9778405,3752,32,32,0,214178,1801,1801,0,0,0,0,0,0,0,0,0,10000001,221596,3816,217780,1833,1833,0,0.022159598,0.017220527,0.00827181,0.00827181,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,221041,1725,1244,0,104740,946,713,0,220367,1717,1243,0,104424,939,712,0,0,0,0,0,0,0,0,0,0,1549,0,0,0,0,0,0,326743,0,0,499807,330409,224010,2671,1957,0,326743,0,0.6779779,0.00808392,0.005922962,0,0.033043514,1,9773273,7955,69,31,0,213500,2037,1311,0,0,26,0,0,0,0,0,0,9999209,225936,8081,216848,2132,1342,0,0.022595387,0.035766766,0.009436301,0.005939735,0,"1,0,1,0,0,1,0,1",0,1,0.6779779,0.00808392,0.005922962,0,0.033043514,1,"1,0,1,0,0,1,0,1"
0,2,225865,1921,894,0,104102,1035,557,0,225911,1924,895,0,104124,1039,556,0,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,331484,0,0,499135,334374,228680,2956,1451,0,331484,0,0.683904849,0.0088404,0.004339452,0,0.033434685,2,9773137,7996,65,25,0,215460,2254,906,0,0,37,0,0,0,0,0,0,10000812,227675,8123,218620,2356,931,0,0.022765651,0.03567805,0.010348084,0.004089162,0,"1,0,1,0,0,1,0,1",0,2,0.683904849,0.0088404,0.004339452,0,0.033434685,2,"1,0,1,0,0,1,0,1"
0,3,227287,2149,623,0,105218,1169,368,0,227231,2146,622,0,105221,1167,367,0,0,0,0,0,0,0,0,0,0,1976,0,0,0,0,0,0,333440,0,0,501162,336814,230059,3318,991,0,333440,0,0.683044648,0.009851134,0.002942277,0,0.033682111,3,9771492,8282,95,23,0,215606,2559,692,0,0,48,0,0,0,0,0,0,9999789,228297,8448,218857,2702,715,0,0.022830182,0.037004428,0.01183546,0.003131885,0,"1,0,1,0,0,1,0,1",0,3,0.683044648,0.009851134,0.002942277,0,0.033682111,3,"1,0,1,0,0,1,0,1"
0,4,227591,2457,461,0,104509,1262,272,0,227602,2458,461,0,104492,1265,275,0,0,0,0,0,0,0,0,0,0,2277,0,0,0,0,0,0,332827,0,0,499637,336552,230509,3719,733,0,332827,0,0.684913475,0.011050298,0.00217797,0,0.033658472,4,9771636,7964,90,13,0,214908,2926,457,0,0,43,0,0,0,0,0,0,9999028,227392,8110,218291,3059,470,0,0.02274141,0.035665283,0.01345254,0.002066915,0,"1,0,1,0,0,1,0,1",0,4,0.684913475,0.011050298,0.00217797,0,0.033658472,4,"1,0,1,0,0,1,0,1"
0,5,225645,2809,321,0,103921,1563,188,0,225617,2810,321,0,103923,1558,188,0,0,0,0,0,0,0,0,0,0,2592,0,0,0,0,0,0,330045,0,0,500975,334447,228775,4372,509,0,330045,0,0.684039624,0.013072325,0.001521915,0,0.033450303,5,9770535,8114,97,7,0,214748,3439,315,0,0,49,0,0,0,0,0,0,9998325,227790,8267,218502,3585,322,0,0.022782816,0.036292199,0.01573818,0.001413583,0,"1,0,1,0,0,1,0,1",0,5,0.684039624,0.013072325,0.001521915,0,0.033450303,5,"1,0,1,0,0,1,0,1"
0,6,224618,3492,234,0,104561,1850,130,0,224663,3491,234,0,104561,1851,130,0,0,0,0,0,0,0,0,0,0,3196,0,0,0,0,0,0,329585,0,0,499297,334885,228344,5342,364,0,329585,0,0.681857951,0.015951745,0.00108694,0,0.033494653,6,9770413,8072,145,5,0,214161,4092,237,0,0,62,0,0,0,0,0,0,9998163,227750,8284,218490,4299,242,0,0.022779185,0.036373216,0.01887596,0.001062569,0,"1,0,1,0,0,1,0,1",0,6,0.681857951,0.015951745,0.00108694,0,0.033494653,6,"1,0,1,0,0,1,0,1"
0,7,224725,4047,170,0,104080,2166,113,0,224725,4038,171,0,104056,2167,113,0,0,0,0,0,0,0,0,0,0,3701,0,0,0,0,0,0,329062,0,1,500190,335301,228942,6213,283,0,329062,1,0.682795458,0.01852962,0.000844018,0,0.033537173,7,9769308,8116,178,5,0,214097,4906,189,0,0,85,0,0,0,0,0,0,9997891,228583,8384,219192,5169,194,0,0.022863122,0.036678143,0.02261323,0.000848707,0,"1,0,1,0,0,1,0,1",0,7,0.682795458,0.01852962,0.000844018,0,0.033537173,7,"1,0,1,0,0,1,0,1"
0,8,223777,4793,107,0,103718,2484,74,0,223792,4794,105,0,103717,2480,74,0,0,0,0,0,0,0,0,0,0,4431,0,0,0,0,0,0,327685,0,0,500008,334953,228677,7277,181,0,327685,0,0.682713694,0.021725436,0.000540374,0,0.033505047,8,9768645,8014,183,2,0,213615,5439,109,0,0,86,0,0,0,0,0,0,9997091,228446,8285,219163,5708,111,0,0.022851247,0.036266776,0.024986211,0.000485892,0,"1,0,1,0,0,1,0,1",0,8,0.682713694,0.021725436,0.000540374,0,0.033505047,8,"1,0,1,0,0,1,0,1"
0,9,226460,5256,83,0,104145,2847,43,0,226432,5260,85,0,104150,2845,42,0,0,0,0,0,0,0,0,0,0,4868,0,0,0,0,0,0,330706,0,0,498668,338834,231799,8103,126,0,330706,0,0.684107852,0.023914365,0.000371864,0,0.033889819,9,9767354,7967,193,3,0,215153,6210,106,0,0,102,0,0,0,0,0,0,9998106,230752,8265,221469,6505,109,0,0.023079571,0.035817674,0.028190438,0.000472369,0,"1,0,1,0,0,1,0,1",0,9,0.684107852,0.023914365,0.000371864,0,0.033889819,9,"1,0,1,0,0,1,0,1"
