Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: If retreat after R | Tx-A --> I | Sym|G-0,To: If retreat after F | Tx-A --> I | Sym|G-A,To: If retreat after R | Tx-A --> I | Sym|G-B,To: If retreat after F | Tx-A --> I | Sym|G-AB,To: If retreat after R | Tx-A --> I | Asym|G-0,To: If retreat after F | Tx-A --> I | Asym|G-A,To: If retreat after R | Tx-A --> I | Asym|G-B,To: If retreat after F | Tx-A --> I | Asym|G-AB,To: If retreat after R | Tx-B --> I | Sym|G-0,To: If retreat after R | Tx-B --> I | Sym|G-A,To: If retreat after F | Tx-B --> I | Sym|G-B,To: If retreat after F | Tx-B --> I | Sym|G-AB,To: If retreat after R | Tx-B --> I | Asym|G-0,To: If retreat after R | Tx-B --> I | Asym|G-A,To: If retreat after F | Tx-B --> I | Asym|G-B,To: If retreat after F | Tx-B --> I | Asym|G-AB,To: Success with 1st-A or 1st-B,To: Success with 2st-B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Sucessful A or B,Treated with M,"All A, B, M",% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Effective life of AB,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,4778527,6912,154,262,0,87455,1955,3320,0,0,0,0,0,0,0,0,0,4878585,100058,7328,92730,2109,3582,0,0.020509635,0.073237522,0.021077775,0.035799236,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,167137,3314,3711,0,75314,1989,2276,0,166677,3304,3704,0,75096,1981,2269,0,0,0,0,0,0,0,0,0,0,2825,0,0,0,0,0,0,2,3304,0,0,4,1981,0,0,0,0,0,0,0,0,0,0,247740,2825,0,0,139063,253741,174162,5303,5987,0,247740,250565,0,250565,0.686377054,0.020899263,0.023594926,0,0.052010516,1,1,4783890,1816,51,24,0,87566,2585,1996,0,0,10,0,0,0,0,0,0,4878648,94758,1901,92147,2646,2020,0,0.019423004,0.020061631,0.027923764,0.021317461,0,"1,0,1,0,0,1,0,1",0,1,0.679300251,0.019335777,0.019260067,0,0.052010516,1,"1,0,1,0,0,1,0,1"
0,2,161778,4091,2034,0,75896,2631,1297,0,161780,4087,2039,0,75906,2632,1301,0,0,0,0,0,0,0,0,0,0,3531,0,0,0,0,0,0,1,4087,1,0,1,2632,0,0,0,0,0,0,0,0,0,0,241023,3530,0,2,139031,247727,167903,6722,3331,0,241023,244553,2,244555,0.677774324,0.027134709,0.013446253,0,0.050772209,0.999991822,2,4784382,1807,47,16,0,87620,3405,1199,0,0,17,0,0,0,0,0,0,4879185,94803,1887,92224,3469,1215,0,0.019430089,0.019904433,0.036591669,0.01281605,0,"1,0,1,0,0,1,0,1",0,2,0.686851831,0.026596066,0.013880572,0,0.050772209,2,"1,0,1,0,0,1,0,1"
0,3,163011,5300,1160,1,75450,3413,786,0,162989,5296,1160,1,75420,3414,788,0,0,0,0,0,0,0,0,0,0,4579,0,0,0,0,0,0,2,5296,1,1,5,3414,0,0,0,0,0,0,0,0,0,0,240349,4577,0,3,139354,249121,169472,8713,1946,1,240349,244926,3,244929,0.680279864,0.034974972,0.007811465,4.01411E-06,0.05105199,0.999987752,3,4782856,1862,63,11,0,89014,4501,672,2,0,25,0,0,0,0,0,0,4879751,96895,1961,94189,4589,683,2,0.019856546,0.020238402,0.047360545,0.007048867,2.06409E-05,"1,0,1,0,0,1,0,1",0,3,0.695681364,0.033517247,0.009332072,1.74108E-05,0.05105199,3,"1,0,1,0,0,1,0,1"
0,4,164632,7062,732,5,76774,4517,476,4,164619,7053,734,5,76782,4505,476,4,0,0,0,0,0,0,0,0,0,6085,0,0,0,0,0,0,2,7053,0,5,2,4505,0,4,0,0,0,0,0,0,0,0,242607,6084,0,6,139704,254202,172431,11579,1208,9,242607,248691,6,248697,0.678322751,0.045550389,0.004752126,3.54049E-05,0.052097396,0.999975874,4,4781949,1765,110,4,0,88509,5807,404,3,0,41,0,0,0,0,0,0,4879361,97412,1920,94723,5958,408,3,0.01996409,0.019710097,0.061162896,0.004188396,3.0797E-05,"1,0,1,0,0,1,0,1",0,4,0.671380808,0.041367539,0.003034896,1.41486E-05,0.052097396,4,"1,0,1,0,0,1,0,1"
0,5,163741,9287,423,5,76184,5802,277,1,163743,9291,420,5,76191,5802,278,1,0,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,0,1,9291,0,5,3,5802,0,1,0,0,0,0,0,0,0,0,240628,8049,0,6,139869,255720,173456,15089,700,6,240628,248677,6,248683,0.678304395,0.059005944,0.002737369,2.34632E-05,0.052410231,0.999975873,5,4779061,1850,128,4,0,89191,7880,282,2,0,44,0,0,0,0,0,0,4879200,100139,2026,97355,8052,286,2,0.020523651,0.020231878,0.080408233,0.00285603,1.99722E-05,"1,0,1,0,0,1,0,1",0,5,0.682735896,0.06406511,0.003035359,0,0.052410231,5,"1,0,1,0,0,1,0,1"
0,6,163950,12591,286,5,77288,7780,206,1,163958,12572,288,5,77322,7769,205,1,0,0,0,0,0,0,0,0,0,10844,0,0,0,0,0,0,3,12572,0,5,2,7769,0,1,0,0,0,0,0,0,0,0,241768,10842,0,7,139981,262107,176832,20371,492,6,241768,252610,7,252617,0.67465577,0.077720168,0.001877096,2.28914E-05,0.05372266,0.99997229,6,4777239,1801,136,1,1,88581,10163,173,2,0,49,0,0,0,0,0,0,4878891,101652,1988,98919,10348,174,3,0.020835063,0.01955692,0.101798292,0.001711722,2.95125E-05,"1,0,1,0,0,1,0,1",0,6,0.675598586,0.074747302,0.002435225,6.33857E-05,0.05372266,6,"1,0,1,0,0,1,0,1"
0,7,163312,15743,181,4,76143,10034,126,1,163310,15737,182,4,76105,10037,127,1,0,0,0,0,0,0,0,0,0,13589,0,0,0,0,0,0,6,15737,0,4,2,10037,0,1,0,0,0,0,0,0,0,0,239716,13588,0,4,139662,265544,179240,25777,307,5,239716,253304,4,253308,0.674991715,0.097072425,0.001156117,1.88293E-05,0.054435022,0.999984209,7,4773491,1802,197,2,0,88640,13107,88,2,0,68,0,0,0,0,0,0,4878183,104692,2069,101837,13372,90,2,0.021461269,0.019762733,0.127727047,0.000859665,1.91037E-05,"1,0,1,0,0,1,0,1",0,7,0.666723092,0.094592144,0.001340526,4.17612E-05,0.054435022,7,"1,0,1,0,0,1,0,1"
0,8,164759,20949,90,0,76267,13023,67,0,164735,20923,90,0,76249,13008,67,0,0,0,0,0,0,0,0,0,0,18113,0,0,0,0,0,0,6,20923,0,0,4,13008,0,0,0,0,0,0,0,0,0,0,241131,18111,0,1,139196,275155,185798,33972,157,0,241131,259242,1,259243,0.675248496,0.123464956,0.000570587,0,0.056407374,0.999996143,8,4768706,1861,243,0,0,89007,17152,62,1,0,96,0,0,0,0,0,0,4877997,109291,2200,106222,17491,62,1,0.022404893,0.020129745,0.160040625,0.000567293,9.14988E-06,"1,0,0,1,0,1,0,1",0,8,0.667581344,0.125065494,0.000643075,0,0.056407374,8,"1,0,0,1,0,1,0,1"
0,9,163201,15913,125,6,76369,11124,82,2,0,0,0,0,0,0,0,0,163192,15953,125,6,76381,11137,82,2,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,125,6,8,1,82,2,266645,96,0,114,138911,266822,179245,27037,207,8,266645,266741,114,266855,0.67177744,0.101329725,0.000775798,2.99825E-05,0.054694751,0.999572802,9,4777289,1820,146,0,0,88683,9527,103,1,0,0,2,0,0,0,0,0,4878384,101095,1968,98314,9673,105,1,0.020723051,0.019466838,0.095682279,0.001038627,9.89169E-06,"1,0,0,1,0,1,0,1",0,9,0.665640077,0.098758488,0.000878077,0.000130571,0.054694751,9,"1,0,0,1,0,1,0,1"
