Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9783290,1051,46,46,0,198323,8622,8622,0,0,0,0,0,0,0,0,0,10000000,216710,1143,215567,8668,8668,0,0.021671,0.00527433,0.039998154,0.039998154,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,220114,13655,7908,0,103740,5999,3944,0,219502,13595,7893,0,103468,5977,3931,0,0,0,0,0,0,0,0,0,0,12690,0,0,0,0,0,0,334789,0,0,498247,355360,241677,19654,11852,0,334789,0,0.680090612,0.055307294,0.033352094,0,0.035532386,1,9805323,5606,472,183,0,169155,13391,5810,0,0,83,0,0,0,0,0,0,10001017,195694,6344,188356,13946,5993,0,0.01956741,0.032417959,0.071264321,0.030624342,0,"1,0,1,0,0,1,0,1",0,1,0.680090612,0.055307294,0.033352094,0,0.035532386,1,"1,0,1,0,0,1,0,1"
0,2,196036,21819,5252,0,88592,9518,2542,0,196118,21801,5257,0,88632,9511,2544,0,0,0,0,0,0,0,0,0,0,20468,0,0,0,0,0,0,292547,0,1,499321,323759,223107,31337,7794,0,292547,1,0.689114434,0.096791132,0.024073462,0,0.032373304,2,9823126,4563,710,113,0,146660,21033,3588,0,0,119,0,0,0,0,0,0,10000802,177676,5505,171281,21862,3701,0,0.017766175,0.030983363,0.123044193,0.02083005,0,"1,0,1,0,0,1,0,1",0,2,0.689114434,0.096791132,0.024073462,0,0.032373304,2,"1,0,1,0,0,1,0,1"
0,3,168948,34640,3453,0,77303,14939,1681,0,169003,34608,3449,0,77336,14907,1691,0,0,0,0,0,0,0,0,0,0,32427,0,0,0,0,0,0,251475,0,0,500325,300964,207041,49579,5134,0,251475,0,0.687926131,0.164733988,0.017058519,0,0.03009278,3,9832154,4256,1179,93,0,126954,32946,2559,0,0,202,0,0,0,0,0,0,10001203,169049,5730,162459,34327,2652,0,0.016902867,0.033895498,0.203059468,0.015687759,0,"1,0,0,1,0,1,0,1",0,3,0.687926131,0.164733988,0.017058519,0,0.03009278,3,"1,0,0,1,0,1,0,1"
0,4,146713,38576,3194,0,66730,17117,1569,0,0,0,0,0,0,0,0,0,146801,38575,3196,0,66741,17135,1568,0,0,202,0,0,0,0,0,0,269250,0,2989,500241,273899,188483,55693,4763,0,269250,2989,0.688147821,0.203334076,0.017389622,0,0.027385628,4,9854204,3603,926,88,0,110591,28468,2912,0,0,0,18,0,0,0,0,0,10001560,147349,4635,141971,29394,3018,0,0.014732602,0.031455931,0.199485575,0.020481985,0,"1,0,0,1,0,1,0,1",0,4,0.688147821,0.203334076,0.017389622,0,0.027385628,4,"1,0,0,1,0,1,0,1"
0,5,129043,33060,3615,0,59013,15043,1794,0,0,0,0,0,0,0,0,0,129075,33075,3615,0,59023,15055,1794,0,0,0,0,0,0,0,0,0,236227,0,3432,499788,241568,165718,48103,5409,0,236227,3432,0.686009736,0.199128196,0.022391211,0,0.024151236,5,9870993,3204,759,104,0,98112,24957,3458,0,0,0,22,0,0,0,0,0,10002304,131290,4089,126527,25716,3584,0,0.013125976,0.031144794,0.195871734,0.027298347,0,"1,0,0,1,0,1,0,1",0,5,0.686009736,0.199128196,0.022391211,0,0.024151236,5,"1,0,0,1,0,1,0,1"
0,6,115896,29245,4730,0,52129,13413,2186,0,0,0,0,0,0,0,0,0,115950,29268,4730,0,52165,13416,2185,0,0,0,0,0,0,0,0,0,210799,0,4411,499399,217599,149871,42658,6916,0,210799,4411,0.68874857,0.196039504,0.031783234,0,0.021752813,6,9886105,2687,725,128,0,86519,22157,4342,0,0,0,25,0,0,0,0,0,10003258,117142,3565,113018,22882,4495,0,0.011710385,0.03043315,0.195335576,0.038372232,0,"1,0,0,1,0,1,0,1",0,6,0.68874857,0.196039504,0.031783234,0,0.021752813,6,"1,0,0,1,0,1,0,1"
0,7,101150,26130,5665,0,45784,11739,2681,0,0,0,0,0,0,0,0,0,101150,26131,5658,0,45794,11740,2679,0,0,0,0,0,0,0,0,0,184812,0,5319,500968,193149,132945,37869,8346,0,184812,5319,0.688302813,0.196061072,0.043210164,0,0.019310912,7,9896373,2477,656,187,0,76255,20160,5346,0,0,0,35,0,0,0,0,0,10002065,105672,3355,101761,20816,5568,0,0.010565018,0.031749186,0.196986903,0.052691347,0,"1,0,0,1,0,1,0,1",0,7,0.688302813,0.196061072,0.043210164,0,0.019310912,7,"1,0,0,1,0,1,0,1"
0,8,90316,24071,7151,0,40588,10636,3373,0,0,0,0,0,0,0,0,0,90351,24065,7149,0,40609,10629,3371,0,0,0,0,0,0,0,0,0,165651,0,6707,500132,176135,121538,34707,10524,0,165651,6707,0.690027536,0.197047719,0.059749624,0,0.017610714,8,9905495,2154,578,207,0,67599,18206,6769,0,0,0,37,0,0,0,0,0,10001582,96067,2976,92574,18784,7013,0,0.00960518,0.03097838,0.195530203,0.073001135,0,"1,0,0,1,0,1,0,1",0,8,0.690027536,0.197047719,0.059749624,0,0.017610714,8,"1,0,0,1,0,1,0,1"
0,9,80626,21833,8835,0,36066,9898,4211,0,0,0,0,0,0,0,0,0,80675,21848,8820,0,36068,9899,4207,0,0,0,0,0,0,0,0,0,148487,0,8330,501002,161469,111294,31731,13046,0,148487,8330,0.689259239,0.196514501,0.080795695,0,0.016145934,9,9911004,1932,535,234,0,61451,16711,8188,0,0,0,49,0,0,0,0,0,10000598,89569,2750,86350,17246,8471,0,0.008956364,0.030702587,0.192544295,0.094575132,0,"1,0,0,1,0,1,0,1",0,9,0.689259239,0.196514501,0.080795695,0,0.016145934,9,"1,0,0,1,0,1,0,1"
