Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: If retreat after R | Tx-A --> I | Sym|G-0,To: If retreat after F | Tx-A --> I | Sym|G-A,To: If retreat after R | Tx-A --> I | Sym|G-B,To: If retreat after F | Tx-A --> I | Sym|G-AB,To: If retreat after R | Tx-A --> I | Asym|G-0,To: If retreat after F | Tx-A --> I | Asym|G-A,To: If retreat after R | Tx-A --> I | Asym|G-B,To: If retreat after F | Tx-A --> I | Asym|G-AB,To: If retreat after R | Tx-B --> I | Sym|G-0,To: If retreat after R | Tx-B --> I | Sym|G-A,To: If retreat after F | Tx-B --> I | Sym|G-B,To: If retreat after F | Tx-B --> I | Sym|G-AB,To: If retreat after R | Tx-B --> I | Asym|G-0,To: If retreat after R | Tx-B --> I | Asym|G-A,To: If retreat after F | Tx-B --> I | Asym|G-B,To: If retreat after F | Tx-B --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11480647,3813,96,96,0,204993,5177,5177,0,0,0,0,0,0,0,0,0,11699999,219352,4005,215347,5273,5273,0,0.018748036,0.018258325,0.024038988,0.024038988,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,228261,4750,5382,0,89691,2174,2110,0,227587,4739,5366,0,89462,2169,2104,0,0,0,0,0,0,0,0,0,0,4168,0,0,0,0,0,0,3,4739,0,0,4,2169,0,0,0,0,0,0,0,0,0,0,324512,0,0,584548,332368,238393,6924,7492,0,324512,0,0.717256174,0.02083233,0.02254128,0,0.028411883,1,11468278,8638,164,219,0,209985,4916,5045,0,0,18,0,0,0,0,0,0,11698204,229926,9039,219946,5098,5264,0,0.019654812,0.039312648,0.022172351,0.022894323,0,"1,0,1,0,0,1,0,1",0,1,0.717256174,0.02083233,0.02254128,0,0.028411883,1,"1,0,1,0,0,1,0,1"
0,2,239968,4702,5511,0,92236,2165,2164,0,239980,4696,5513,0,92192,2163,2166,0,0,0,0,0,0,0,0,0,0,4124,0,0,0,0,0,0,0,4696,0,0,0,2163,0,0,0,0,0,0,0,0,0,0,339851,0,0,584918,346746,250181,6867,7675,0,339851,0,0.721510847,0.019804122,0.022134358,0,0.029642909,2,11460753,8656,166,185,0,216747,4925,4997,0,0,29,0,0,0,0,0,0,11697435,236682,9036,226669,5120,5182,0,0.020233667,0.038177808,0.021632401,0.021894356,0,"1,0,1,0,0,1,0,1",0,2,0.721510847,0.019804122,0.022134358,0,0.029642909,2,"1,0,1,0,0,1,0,1"
0,3,245236,4638,5174,0,95265,2083,2064,0,245133,4640,5173,0,95247,2083,2063,0,0,0,0,0,0,0,0,0,0,4084,0,0,0,0,0,0,5,4640,0,0,4,2083,0,0,0,0,0,0,0,0,0,0,347607,0,0,584831,354460,255048,6721,7238,0,347607,0,0.719539581,0.018961237,0.020419793,0,0.030300411,3,11456753,8858,136,166,0,221835,4808,4513,0,0,24,0,0,0,0,0,0,11698191,241438,9184,231156,4968,4679,0,0.020638918,0.038038751,0.020576711,0.019379717,0,"1,0,1,0,0,1,0,1",0,3,0.719539581,0.018961237,0.020419793,0,0.030300411,3,"1,0,1,0,0,1,0,1"
0,4,251964,4627,4654,0,97269,2131,1868,0,252015,4625,4655,0,97246,2133,1868,0,0,0,0,0,0,0,0,0,0,4055,0,0,0,0,0,0,7,4625,0,0,1,2133,0,0,0,0,0,0,0,0,0,0,355776,0,0,586876,362513,261245,6758,6522,0,355776,0,0.720650018,0.01864209,0.017991079,0,0.030989023,4,11450446,9157,177,169,0,228040,4916,4115,0,0,21,0,0,0,0,0,0,11698110,247664,9524,237071,5114,4284,0,0.021171283,0.038455327,0.020648944,0.017297629,0,"1,0,1,0,0,1,0,1",0,4,0.720650018,0.01864209,0.017991079,0,0.030989023,4,"1,0,1,0,0,1,0,1"
0,5,259607,4764,4092,0,100570,2097,1688,0,259599,4764,4093,0,100573,2098,1689,0,0,0,0,0,0,0,0,0,0,4165,0,0,0,0,0,0,5,4764,0,0,1,2098,0,0,0,0,0,0,0,0,0,0,365948,0,0,584063,372818,268463,6861,5780,0,365948,0,0.720091305,0.018403081,0.015503543,0,0.031871,5,11444652,9351,151,146,0,233601,4987,3744,0,0,16,0,0,0,0,0,0,11697719,253067,9664,242332,5154,3890,0,0.021633876,0.038187516,0.020366148,0.015371423,0,"1,0,1,0,0,1,0,1",0,5,0.720091305,0.018403081,0.015503543,0,0.031871,5,"1,0,1,0,0,1,0,1"
0,6,263862,4746,3732,0,102667,2180,1549,0,263794,4750,3738,0,102663,2179,1548,0,0,0,0,0,0,0,0,0,0,4169,0,0,0,0,0,0,6,4750,0,0,3,2179,0,0,0,0,0,0,0,0,0,0,371734,0,0,583575,378736,272340,6926,5281,0,371734,0,0.719076085,0.018287145,0.01394375,0,0.032372604,6,11440725,9530,159,138,0,239154,4923,3485,0,0,26,0,0,0,0,0,0,11699275,258550,9853,247562,5108,3623,0,0.02209966,0.038108683,0.019756333,0.014012763,0,"1,0,1,0,0,1,0,1",0,6,0.719076085,0.018287145,0.01394375,0,0.032372604,6,"1,0,1,0,0,1,0,1"
0,7,271315,4685,3620,0,105327,2109,1455,0,271321,4687,3614,0,105328,2104,1456,0,0,0,0,0,0,0,0,0,0,4116,0,0,0,0,0,0,4,4687,0,0,0,2104,0,0,0,0,0,0,0,0,0,0,381715,0,0,585449,388511,279620,6794,5075,0,381715,0,0.719722222,0.017487278,0.013062693,0,0.033210318,7,11434601,9699,169,137,0,244479,4965,3288,0,0,29,0,0,0,0,0,0,11698503,263902,10034,252732,5163,3425,0,0.022558613,0.03802169,0.019564081,0.012978303,0,"1,0,1,0,0,1,0,1",0,7,0.719722222,0.017487278,0.013062693,0,0.033210318,7,"1,0,1,0,0,1,0,1"
0,8,275779,4593,3281,0,107049,2177,1383,0,275731,4594,3286,0,107050,2180,1382,0,0,0,0,0,0,0,0,0,0,4025,0,0,0,0,0,0,1,4594,0,0,1,2180,0,0,0,0,0,0,0,0,0,0,387447,0,0,584744,394262,283653,6770,4664,0,387447,0,0.719453054,0.017171323,0.011829697,0,0.033703578,8,11429732,10009,154,122,0,248824,4814,3081,0,0,16,0,0,0,0,0,0,11697927,268195,10301,256719,4984,3203,0,0.022926712,0.038408621,0.018583493,0.011942803,0,"1,0,1,0,0,1,0,1",0,8,0.719453054,0.017171323,0.011829697,0,0.033703578,8,"1,0,1,0,0,1,0,1"
0,9,281363,4517,3165,0,109550,1999,1327,0,281330,4517,3162,0,109516,1999,1329,0,0,0,0,0,0,0,0,0,0,3956,0,0,0,0,0,0,2,4517,0,0,0,1999,0,0,0,0,0,0,0,0,0,0,395335,0,0,584131,401921,289045,6516,4492,0,395335,0,0.71915874,0.016212141,0.011176326,0,0.034355849,9,11424965,9908,133,107,0,254861,4581,2946,0,0,21,0,0,0,0,0,0,11698765,273800,10169,262388,4735,3053,0,0.02340418,0.037140248,0.017293645,0.011150475,0,"1,0,1,0,0,1,0,1",0,9,0.71915874,0.016212141,0.011176326,0,0.034355849,9,"1,0,1,0,0,1,0,1"
