Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: If retreat after R | Tx-A --> I | Sym|G-0,To: If retreat after F | Tx-A --> I | Sym|G-A,To: If retreat after R | Tx-A --> I | Sym|G-B,To: If retreat after F | Tx-A --> I | Sym|G-AB,To: If retreat after R | Tx-A --> I | Asym|G-0,To: If retreat after F | Tx-A --> I | Asym|G-A,To: If retreat after R | Tx-A --> I | Asym|G-B,To: If retreat after F | Tx-A --> I | Asym|G-AB,To: If retreat after R | Tx-B --> I | Sym|G-0,To: If retreat after R | Tx-B --> I | Sym|G-A,To: If retreat after F | Tx-B --> I | Sym|G-B,To: If retreat after F | Tx-B --> I | Sym|G-AB,To: If retreat after R | Tx-B --> I | Asym|G-0,To: If retreat after R | Tx-B --> I | Asym|G-A,To: If retreat after F | Tx-B --> I | Asym|G-B,To: If retreat after F | Tx-B --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,11480647,3813,96,96,0,204993,5177,5177,0,0,0,0,0,0,0,0,0,11699999,219352,4005,215347,5273,5273,0,0.018748036,0.018258325,0.024038988,0.024038988,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,228261,4750,5382,0,89691,2174,2110,0,227587,4739,5366,0,89462,2169,2104,0,0,0,0,0,0,0,0,0,0,4168,0,0,0,0,0,0,3,4739,0,0,4,2169,0,0,0,0,0,0,0,0,0,0,324512,0,0,584548,332368,238393,6924,7492,0,324512,0,0.717256174,0.02083233,0.02254128,0,0.028411883,1,11468278,8638,164,219,0,209985,4916,5045,0,0,18,0,0,0,0,0,0,11698204,229926,9039,219946,5098,5264,0,0.019654812,0.039312648,0.022172351,0.022894323,0,"1,0,0,0,1,0,1,1",0,1,0.717256174,0.02083233,0.02254128,0,0.028411883,1,"1,0,0,0,1,0,1,1"
0,2,238219,3338,5360,0,91675,1656,2127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342218,18,585384,342375,246917,4994,7487,0,342218,342236,0.721188755,0.014586345,0.021867835,0,0.029268399,2,11465268,8748,94,170,0,214697,3077,4618,0,0,0,0,0,0,0,0,0,11697770,232502,9012,222392,3171,4788,0,0.019875754,0.038760957,0.013638592,0.020593371,0,"1,0,0,0,1,0,1,1",0,2,0.721188755,0.014586345,0.021867835,0,0.029268399,2,"1,0,0,0,1,0,1,1"
0,3,243696,2022,4660,0,94208,1048,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347656,0,584532,347593,250378,3070,6619,0,347656,347656,0.720319454,0.008832169,0.019042386,0,0.029711917,3,11460446,8762,53,165,0,222236,1897,4180,0,0,0,0,0,0,0,0,0,11698774,238328,8980,228313,1950,4345,0,0.020372049,0.037679165,0.008182001,0.018231177,0,"1,0,0,0,1,0,1,1",0,3,0.720319454,0.008832169,0.019042386,0,0.029711917,3,"1,0,0,0,1,0,1,1"
0,4,252511,1293,4357,0,98064,653,1851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358706,0,584111,358729,258161,1946,6208,0,358706,358706,0.71965467,0.005424708,0.017305543,0,0.030659943,4,11455597,9030,32,138,0,229215,1288,3892,0,0,0,0,0,0,0,0,0,11700250,244653,9200,234395,1320,4030,0,0.020910066,0.03760428,0.005395397,0.01647231,0,"1,0,0,0,1,0,1,1",0,4,0.71965467,0.005424708,0.017305543,0,0.030659943,4,"1,0,0,0,1,0,1,1"
0,5,259111,801,4050,0,100643,405,1618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366616,0,584740,366628,263962,1206,5668,0,366616,366616,0.719972288,0.003289438,0.015459812,0,0.031333801,5,11449769,9299,24,138,0,235795,797,3827,0,0,0,0,0,0,0,0,0,11700719,250950,9461,240419,821,3965,0,0.0214474,0.037700737,0.003271568,0.01579996,0,"1,0,0,0,1,0,1,1",0,5,0.719972288,0.003289438,0.015459812,0,0.031333801,5,"1,0,0,0,1,0,1,1"
0,6,266690,512,3898,0,103974,271,1601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376932,0,586142,376946,271100,783,5499,0,376932,376932,0.719201159,0.002077221,0.014588296,0,0.032221628,6,11443488,9580,15,137,0,240265,457,3514,0,0,0,0,0,0,0,0,0,11698540,255052,9732,244236,472,3651,0,0.021802037,0.038156925,0.001850603,0.014314728,0,"1,0,0,0,1,0,1,1",0,6,0.719201159,0.002077221,0.014588296,0,0.032221628,6,"1,0,0,0,1,0,1,1"
0,7,271332,313,3836,0,105587,145,1517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382690,0,584768,382730,275481,458,5353,0,382690,382690,0.719778956,0.001196666,0.013986361,0,0.032714653,7,11440078,9674,13,136,0,244235,291,3488,0,0,0,0,0,0,0,0,0,11699039,258961,9823,248014,304,3624,0,0.022135237,0.037932353,0.001173922,0.013994385,0,"1,0,0,0,1,0,1,1",0,7,0.719778956,0.001196666,0.013986361,0,0.032714653,7,"1,0,0,0,1,0,1,1"
0,8,275066,222,3597,0,106767,104,1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387151,0,585207,387230,278885,326,5071,0,387151,387151,0.720205046,0.000841877,0.013095576,0,0.033103026,8,11432806,10087,4,132,0,250014,188,3288,0,0,0,0,0,0,0,0,0,11697722,264916,10223,253490,192,3420,0,0.022646803,0.038589591,0.000724758,0.012909753,0,"1,0,0,0,1,0,1,1",0,8,0.720205046,0.000841877,0.013095576,0,0.033103026,8,"1,0,0,0,1,0,1,1"
0,9,282366,145,3326,0,110011,55,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397285,0,585085,397285,285837,200,4708,0,397285,397285,0.719475943,0.000503417,0.011850435,0,0.033959527,9,11428441,10102,2,102,0,255848,120,2961,0,0,0,0,0,0,0,0,0,11698779,270338,10206,258929,122,3063,0,0.023108224,0.037752739,0.000451287,0.011330261,0,"1,0,0,0,1,0,1,1",0,9,0.719475943,0.000503417,0.011850435,0,0.033959527,9,"1,0,0,0,1,0,1,1"
