Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9790834,1046,6,6,0,205925,1092,1092,0,0,0,0,0,0,0,0,0,10000001,209167,1058,208109,1098,1098,0,0.020916698,0.005058159,0.005249394,0.005249394,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,220259,1587,1051,0,105195,719,522,0,219600,1581,1049,0,104915,715,522,0,0,0,0,0,0,0,0,0,0,1275,0,0,0,0,0,0,326085,0,0,499276,329333,222897,2306,1573,0,326085,0,0.676813438,0.007002031,0.004776321,0,0.032935517,1,9783079,3791,35,19,0,208717,1709,1006,0,0,20,0,0,0,0,0,0,9999327,216248,3865,211432,1764,1025,0,0.021626255,0.017872998,0.008157301,0.004739928,0,"1,0,1,0,0,1,0,1",0,1,0.676813438,0.007002031,0.004776321,0,0.032935517,1,"1,0,1,0,0,1,0,1"
0,2,227020,2738,1054,0,106156,1078,501,0,227032,2734,1053,0,106140,1076,500,0,0,0,0,0,0,0,0,0,0,2248,0,0,0,0,0,0,334725,0,0,499078,338547,230812,3816,1555,0,334725,0,0.681772398,0.011271699,0.004593158,0,0.033856613,2,9779071,3834,61,19,0,211717,2680,1056,0,0,34,0,0,0,0,0,0,9999435,220364,3948,215453,2775,1075,0,0.022037645,0.017915812,0.012592801,0.004878292,0,"1,0,1,0,0,1,0,1",0,2,0.681772398,0.011271699,0.004593158,0,0.033856613,2,"1,0,1,0,0,1,0,1"
0,3,229503,4142,1079,0,107605,1737,556,0,229506,4133,1079,0,107547,1736,556,0,0,0,0,0,0,0,0,0,0,3466,0,0,0,0,0,0,338686,0,0,501112,344622,234724,5879,1635,0,338686,0,0.681105675,0.017059271,0.004744329,0,0.034464016,3,9775292,3869,96,18,0,213830,4351,946,0,0,43,0,0,0,0,0,0,9999473,224181,4026,219127,4490,964,0,0.022419281,0.017958703,0.020028459,0.004300097,0,"1,0,1,0,0,1,0,1",0,3,0.681105675,0.017059271,0.004744329,0,0.034464016,3,"1,0,1,0,0,1,0,1"
0,4,232374,6730,934,0,108656,2862,454,0,232328,6727,933,0,108694,2857,452,0,0,0,0,0,0,0,0,0,0,5542,0,0,0,0,0,0,342407,0,0,499819,352010,240038,9592,1388,0,342407,0,0.681906764,0.027249226,0.00394307,0,0.035204021,4,9769147,4072,134,15,0,216840,6916,872,0,0,99,0,0,0,0,0,0,9999142,229995,4320,224628,7149,887,0,0.023001474,0.018783017,0.031083284,0.003856606,0,"1,0,1,0,0,1,0,1",0,4,0.681906764,0.027249226,0.00394307,0,0.035204021,4,"1,0,1,0,0,1,0,1"
0,5,234900,10723,902,0,110332,4408,426,0,234853,10703,903,0,110330,4408,429,0,0,0,0,0,0,0,0,0,0,8883,0,0,0,0,0,0,346515,0,0,499767,361691,246525,15131,1328,0,346515,0,0.681590087,0.041834052,0.003671642,0,0.036169002,5,9763396,3988,235,13,0,219240,11050,854,0,0,139,0,0,0,0,0,0,10000027,236631,4375,231144,11424,867,0,0.023663036,0.018488702,0.048277698,0.003663932,0,"1,0,1,0,0,1,0,1",0,5,0.681590087,0.041834052,0.003671642,0,0.036169002,5,"1,0,1,0,0,1,0,1"
0,6,237373,17793,909,0,111284,7270,429,0,237433,17782,912,0,111274,7256,427,0,0,0,0,0,0,0,0,0,0,14740,0,0,0,0,0,0,350046,0,0,499843,375058,256075,25063,1338,0,350046,0,0.682761066,0.066824331,0.003567448,0,0.037505069,6,9753730,4011,367,14,0,221986,17914,877,0,0,210,0,0,0,0,0,0,10000195,246465,4602,240777,18491,891,0,0.024646019,0.018672022,0.075024851,0.003615118,0,"1,0,1,0,0,1,0,1",0,6,0.682761066,0.066824331,0.003567448,0,0.037505069,6,"1,0,1,0,0,1,0,1"
0,7,240374,28797,830,0,112988,11745,420,0,240337,28750,828,0,112966,11727,422,0,0,0,0,0,0,0,0,0,0,23734,0,0,0,0,0,0,354552,0,0,499843,395154,270001,40542,1250,0,354552,0,0.683280443,0.102597974,0.003163324,0,0.039518048,7,9739308,4053,612,16,0,223898,29129,751,0,0,353,0,0,0,0,0,0,9999330,260022,5034,253778,30094,767,0,0.026003942,0.0193599,0.115736361,0.00294975,0,"1,0,1,0,0,1,0,1",0,7,0.683280443,0.102597974,0.003163324,0,0.039518048,7,"1,0,1,0,0,1,0,1"
0,8,241888,46589,737,0,113526,18956,358,0,241901,46512,736,0,113530,18936,358,0,0,0,0,0,0,0,0,0,0,38334,0,0,0,0,0,0,356525,0,0,499775,422054,289214,65545,1095,0,356525,0,0.685253546,0.155300033,0.002594455,0,0.042209494,8,9717567,4072,1003,18,0,226304,47423,759,0,0,593,0,0,0,0,0,0,9999030,281463,5686,274486,49019,777,0,0.02814903,0.02020159,0.174157882,0.002760576,0,"1,0,1,0,0,1,0,1",0,8,0.685253546,0.155300033,0.002594455,0,0.042209494,8,"1,0,1,0,0,1,0,1"
0,9,242605,74215,812,0,114124,30572,396,0,242640,74121,813,0,114162,30521,395,0,0,0,0,0,0,0,0,0,0,61306,0,0,0,0,0,0,358010,0,0,499244,462724,317632,104787,1208,0,358010,0,0.686439433,0.226456808,0.002610628,0,0.046276551,9,9688397,4044,1533,9,0,226471,75617,771,0,0,898,0,0,0,0,0,0,9999103,310706,6484,302859,78048,780,0,0.031073387,0.020868602,0.251195664,0.002510412,0,"1,0,0,1,0,1,0,1",0,9,0.686439433,0.226456808,0.002610628,0,0.046276551,9,"1,0,0,1,0,1,0,1"
