Replication,Simulation Period,To: W to 1st Tx | Sym|G-0,To: W to 1st Tx | Sym|G-A,To: W to 1st Tx | Sym|G-B,To: W to 1st Tx | Sym|G-AB,To: W to 1st Tx | Asym|G-0,To: W to 1st Tx | Asym|G-A,To: W to 1st Tx | Asym|G-B,To: W to 1st Tx | Asym|G-AB,To: If R | Tx-A --> I | Sym|G-0,To: If F | Tx-A --> I | Sym|G-A,To: If R | Tx-A --> I | Sym|G-B,To: If F | Tx-A --> I | Sym|G-AB,To: If R | Tx-A --> I | Asym|G-0,To: If F | Tx-A --> I | Asym|G-A,To: If R | Tx-A --> I | Asym|G-B,To: If F | Tx-A --> I | Asym|G-AB,To: If R | Tx-B  --> I | Sym|G-0,To: If R | Tx-B  --> I | Sym|G-A,To: If F | Tx-B  --> I | Sym|G-B,To: If F | Tx-B  --> I | Sym|G-AB,To: If R | Tx-B  --> I | Asym|G-0,To: If R | Tx-B  --> I | Asym|G-A,To: If F | Tx-B  --> I | Asym|G-B,To: If F | Tx-B  --> I | Asym|G-AB,To: If R | 2nd Tx-B  --> I | Sym|G-0,To: If R | 2nd Tx-B  --> I | Sym|G-A,To: If F | 2nd Tx-B  --> I | Sym|G-B,To: If F | 2nd Tx-B  --> I | Sym|G-AB,To: If R | 2nd Tx-B  --> I | Asym|G-0,To: If R | 2nd Tx-B  --> I | Asym|G-A,To: If F | 2nd Tx-B  --> I | Asym|G-B,To: If F | 2nd Tx-B  --> I | Asym|G-AB,To: Successfully treated with A or B,To: Treated with 1st-line M,To: Treated with 2nd-line M,To: Death,Received 1st Tx,Received 1st Tx & Symptomatic,Received 1st Tx & Rst to A,Received 1st Tx & Rst to B,Received 1st Tx & Rst to AB,Sucessful 1st-line treatment,Treated with M,% Received 1st Tx & Symptomatic,% Received 1st Tx & Rst to A,% Received 1st Tx & Rst to B,% Received 1st Tx & Rst to AB,Annual rate of gonorrhea cases,Simulation Time,In: S,In: I | Sym|G-0,In: I | Sym|G-A,In: I | Sym|G-B,In: I | Sym|G-AB,In: I | Asym|G-0,In: I | Asym|G-A,In: I | Asym|G-B,In: I | Asym|G-AB,In: W to RTx | Sym|G-0,In: W to RTx | Sym|G-A,In: W to RTx | Sym|G-B,In: W to RTx | Sym|G-AB,In: W to RTx | Asym|G-0,In: W to RTx | Asym|G-A,In: W to RTx | Asym|G-B,In: W to RTx | Asym|G-AB,Population size,Prevalence,Prevalence - Symptomatic,Prevalence - Assymptomatic,Prevalence - A,Prevalence - B,Prevalence - AB,Prevalence G,% infection symptomatic,% infection resistant to A,% infection resistant to B,% infection resistant to AB,Action Code,Replication,Observation Period,Obs: % Received 1st Tx & Symptomatic,Obs: % Received 1st Tx & Rst to A,Obs: % Received 1st Tx & Rst to B,Obs: % Received 1st Tx & Rst to AB,Obs: Annual rate of gonorrhea cases,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,9799883,1392,12,12,0,195221,1740,1740,0,0,0,0,0,0,0,0,0,10000000,200117,1416,198701,1752,1752,0,0.0200117,0.007075861,0.008754878,0.008754878,0,"1,0,1,0,0,1,0,1",0,0,-1,-1,-1,-1,-1,0,"1,0,1,0,0,1,0,1"
0,1,234766,3333,1816,0,133465,1677,1133,0,234124,3320,1812,0,133078,1667,1132,0,0,0,0,0,0,0,0,0,0,2792,0,0,0,0,0,0,370146,0,0,499447,376190,239915,5010,2949,0,370146,0,0.637749541,0.013317738,0.007839124,0,0.037617785,1,9808117,3917,77,28,0,182352,3209,1481,0,0,85,0,0,0,0,0,0,10000323,192206,4107,187042,3371,1509,0,0.019219979,0.021367699,0.017538474,0.007850952,0,"1,0,1,0,0,1,0,1",0,1,0.637749541,0.013317738,0.007839124,0,0.037617785,1,"1,0,1,0,0,1,0,1"
0,2,220539,6490,1537,0,124192,3138,942,0,220534,6477,1535,0,124231,3132,943,0,0,0,0,0,0,0,0,0,0,5494,0,0,0,0,0,0,347243,0,0,499322,356838,228566,9628,2479,0,347243,0,0.640531558,0.026981431,0.00694713,0,0.035680096,2,9818800,3637,143,18,0,169898,6083,1289,0,0,127,0,0,0,0,0,0,10001038,182238,3925,177270,6353,1307,0,0.018221909,0.021537769,0.034861006,0.00717194,0,"1,0,1,0,0,1,0,1",0,2,0.640531558,0.026981431,0.00694713,0,0.035680096,2,"1,0,1,0,0,1,0,1"
0,3,206424,11976,1243,0,115936,5920,814,0,206524,11972,1246,0,115945,5911,811,0,0,0,0,0,0,0,0,0,0,10190,0,0,0,0,0,0,324526,0,0,499762,342313,219643,17896,2057,0,324526,0,0.641643759,0.052279639,0.00600912,0,0.034226724,3,9825637,3359,276,15,0,158458,11334,1051,0,0,260,0,0,0,0,0,0,10001337,175700,3910,170843,11870,1066,0,0.017567651,0.022253842,0.067558338,0.00606716,0,"1,0,1,0,0,1,0,1",0,3,0.641643759,0.052279639,0.00600912,0,0.034226724,3,"1,0,1,0,0,1,0,1"
0,4,193246,22595,1069,0,108063,11181,689,0,193197,22536,1068,0,108096,11154,690,0,0,0,0,0,0,0,0,0,0,19103,0,0,0,0,0,0,303051,0,0,499805,336843,216910,33776,1758,0,303051,0,0.643949852,0.100272234,0.005219049,0,0.033680454,4,9826141,3133,506,20,0,147396,21430,922,0,0,545,0,0,0,0,0,0,10001142,175001,4204,169748,22481,942,0,0.017498102,0.02402272,0.128462123,0.005382826,0,"1,0,1,0,0,1,0,1",0,4,0.643949852,0.100272234,0.005219049,0,0.033680454,4,"1,0,1,0,0,1,0,1"
0,5,178899,41955,916,0,99928,20751,618,0,179016,41887,916,0,99940,20712,618,0,0,0,0,0,0,0,0,0,0,35670,0,0,0,0,0,0,280490,0,0,499199,343067,221770,62706,1534,0,280490,0,0.646433495,0.182780623,0.00447143,0,0.034301592,5,9818095,2931,963,12,0,136993,39823,691,0,0,954,0,0,0,0,0,0,10001489,183394,4860,177507,41740,703,0,0.01833667,0.026500322,0.227597413,0.003833277,0,"1,0,1,0,0,1,0,1",0,5,0.646433495,0.182780623,0.00447143,0,0.034301592,5,"1,0,1,0,0,1,0,1"
0,6,165955,78246,705,0,93562,38759,452,0,165950,78109,708,0,93593,38716,453,0,0,0,0,0,0,0,0,0,0,66500,0,0,0,0,0,0,260704,0,0,501336,377679,244906,117005,1157,0,260704,0,0.648450139,0.309800121,0.003063448,0,0.037766639,6,9791453,2651,1780,13,0,127158,73714,568,0,0,1820,0,0,0,0,0,0,10000334,208881,6264,201440,77314,581,0,0.020887402,0.029988367,0.370134191,0.002781488,0,"1,0,0,1,0,1,0,1",0,6,0.648450139,0.309800121,0.003063448,0,0.037766639,6,"1,0,0,1,0,1,0,1"
0,7,153980,83784,952,0,87045,49192,551,0,0,0,0,0,0,0,0,0,154017,83838,950,0,87081,49179,550,0,0,1820,0,0,0,0,0,0,374114,0,793,500327,375504,238716,132976,1503,0,374114,793,0.63572159,0.35412672,0.00400262,0,0.037553618,7,9809203,2447,1322,29,0,118615,65423,1009,0,0,0,25,0,0,0,0,0,9999143,189936,3823,185047,66745,1063,0,0.018995228,0.020127833,0.351407843,0.005596622,0,"1,0,0,1,0,1,0,1",0,7,0.63572159,0.35412672,0.00400262,0,0.037553618,7,"1,0,0,1,0,1,0,1"
0,8,144786,75099,1902,0,80837,43627,964,0,0,0,0,0,0,0,0,0,144819,75101,1896,0,80816,43678,961,0,0,0,0,0,0,0,0,0,344410,0,1616,500036,347215,221787,118726,2866,0,344410,1616,0.638759846,0.341937992,0.008254252,0,0.034721924,8,9823307,2376,1236,50,0,110993,59034,1836,1,0,0,31,0,0,0,0,0,9999878,176567,3693,171864,60270,1917,1,0.017656915,0.020915573,0.341343513,0.010857068,5.66357E-06,"1,0,0,1,0,1,0,1",0,8,0.638759846,0.341937992,0.008254252,0,0.034721924,8,"1,0,0,1,0,1,0,1"
0,9,135210,67587,3191,1,75371,39643,1654,0,0,0,0,0,0,0,0,0,135268,67635,3183,1,75399,39625,1655,0,0,0,0,0,0,0,0,0,317925,0,2716,498812,322657,205989,107230,4845,1,317925,2716,0.638414787,0.332334336,0.015015946,3.09927E-06,0.032259097,9,9837733,2265,1152,78,0,103890,52808,3144,2,0,0,61,0,0,0,0,0,10002047,164301,3556,159844,53960,3283,2,0.016426737,0.021643204,0.328421616,0.019981619,1.21728E-05,"1,0,0,1,0,1,0,1",0,9,0.638414787,0.332334336,0.015015946,3.09927E-06,0.032259097,9,"1,0,0,1,0,1,0,1"
