Iteration,f,x0,x1,x2,x3,Df0,Df1,Df2,Df3,Step_Df,Step_GH
0,0,0.05,0,0.5,0,0.0581079101165855,0.998217355234093,0,0.013622866487501,0.02,0.05
1,-6370693,0.0470946044941707,-0.0499108677617046,0.5,-0.000681143324375048,1,0,0,0,0.0168179283050743,0.0416666666666667
2,14319217,0.00542793782750407,-0.0499108677617046,0.5,-0.000681143324375048,-1,0,0,0,0.0151967137130319,0.0357142857142857
3,-16462546,0.0411422235417898,-0.0499108677617046,0.5,-0.000681143324375048,0.0121591962964912,0,0,-0.999926074240203,0.014142135623731,0.03125
4,111422720.08109,0.0407622486575244,-0.0499108677617046,0.5,0.0305665464956313,-0.0262123687754271,-0.00744273991444361,0.0285491693617257,0.999220927660396,0.0133748060995284,0.0277777777777778
5,-2822379,0.0414903700123974,-0.0497041249863034,0.49920696751773,0.00281040961617585,0.992157291013271,0,0,0.124995639480772,0.0127788620849254,0.025
6,2029840,0.0166864377370656,-0.0497041249863034,0.49920696751773,-0.000314481370843456,-0.677884515351848,0,0,-0.735168405092459,0.0122957630590253,0.0227272727272727
7,-10470044,0.0320929039950622,-0.0497041249863034,0.49920696751773,0.016393891472167,-0.315105991732449,-0.493709068295746,0,0.81053042500381,0.0118920711500272,0.0208333333333333
8,-3857895,0.0386576121561549,-0.0394185193968087,0.49920696751773,-0.000492159048745729,0.533631417563748,0.845717157322059,0,0,0.0115470053837925,0.0192307692307692
9,29588624,0.0283954695106982,-0.0556823108837714,0.49920696751773,-0.000492159048745729,0.64107904972998,-0.698670292776023,0,-0.317612143957961,0.011246826503807,0.0178571428571429
10,4109104,0.0169476293369485,-0.0432060556556281,0.49920696751773,0.00517948637907499,-0.506352020398169,0,0,0.862326870414399,0.0109820097355222,0.0166666666666667
11,-2736572.25059065,0.025386829676918,-0.0432060556556281,0.49920696751773,-0.00919262812783166,-0.0777549805624907,-0.0777549805624907,-0.00825868482671331,-0.993901463989457,0.0107456993182354,0.015625
12,-17624381.7334007,0.0266017512482069,-0.0419911340843392,0.499336009468147,0.00633708224700361,0.186007431964421,0,0.00422335145696057,0.982539260567471,0.0105328077569585,0.0147058823529412
13,4129094,0.0238663478369654,-0.0419911340843392,0.499273901358486,-0.00811202452604743,0.0805529422413593,-0.996750331575696,0,0,0.0103394630791434,0.0138888888888889
