Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_GH
0,250374000,0.1,0.05,0,0,0.01,0.1
1,220736025,0.1,0.05,0,0,0.00840896415253715,0.0952380952380952
2,151824669,0.1,0.05,1,0,0.00759835685651593,0.0909090909090909
3,426698606.900826,0.00909090909090909,0.00909090909090909,-0.903446435732691,0.428700988757779,0.00707106781186548,0.0869565217391304
4,224342660.73382,0.0876514687198387,0,0,-1,0.00668740304976422,0.0833333333333333
5,223292231,0.0876514687198387,0.0833333333333333,0.791438689957556,0.611248558311812,0.00638943104246272,0.08
6,304572439.648689,0.0243363735232343,0.0243363735232343,-0.834363211249385,0.551215050333002,0.00614788152951264,0.0769230769230769
7,197096421.800068,0.0885181590039562,0,0,-1,0.00594603557501361,0.0740740740740741
8,150448005,0.0885181590039562,0.0740740740740741,1,0,0.00577350269189626,0.0714285714285714
9,485206629.15193,0.0170895875753848,0.0170895875753848,-0.873545759133693,0.486742033010854,0.00562341325190349,0.0689655172413793
