Iteration,f,x0,x1,Df0,Df1
0,73719864.6155291,0.05,0.02,-0.985438150475311,-0.170034265922484
1,82567890.094194,0.296359537618828,0.062508566480621,0.314330172518138,0.949313721930068
2,1000298579.4918,0.243971175532472,0,0,-1
3,87353192.6471356,0.243971175532472,0.125,1,0
4,75571333.6728144,0.143971175532472,0.125,1,0
5,489859496.648851,0.0606378421991382,0.0606378421991382,-0.719562555542635,0.694427626654464
6,69608357.9973392,0.112035167595041,0.0110358688666765,0.00151094563581471,-0.999998858520991
7,83570031.4577345,0.111940733492802,0.0735357975242384,1,0
8,107357549.627781,0.0563851779372467,0.0563851779372467,-0.71571675323734,0.698390670853642
9,80363372.0675507,0.0921710155991138,0.0214656443945646,-0.534329353204641,-0.845276370368834
10,76487224.9296608,0.116458713472052,0.059887297593148,-1,0
11,77112069.2695317,0.158125380138719,0.059887297593148,0.995775063679686,0.0918260450728293
12,80068703.1404777,0.119826339227962,0.0563555266288084,1,0
13,75092822.7968852,0.0841120535136758,0.0563555266288084,1,0
14,80716305.3109988,0.0507787201803425,0.0507787201803425,-0.72207751195335,0.691812161450824
15,79465868.6995709,0.0733436424288846,0.0291595901350042,-0.867096838924766,-0.498139610878996
16,82339362.3709257,0.0988464906325542,0.043810755160857,0.930988648136804,0.365048129758813
17,82532883.1293172,0.0729856948509764,0.0336705293342234,-0.998961142078744,0.0455701285573258
18,78315186.235117,0.0992741459583117,0.03247131542482,0.138147282679294,0.990411696360825
19,82711884.8298808,0.0958204638913294,0.00771102301579942,0,-1
20,75549656.3738039,0.0958204638913294,0.0315205468253232,0.317541601179363,0.948244341675945
21,81779288.738069,0.0886036093190711,0.00996953905996084,0.00140910114376173,-0.999999007216491
22,76822555.0356884,0.0885729766855111,0.0317086479124932,-0.838337044748004,0.545152271758252
23,74592374.6695896,0.106038331784428,0.0203513089175297,-0.130761152065292,-0.991413899998662
24,73343078.519693,0.108653554825734,0.0401795869175029,0.259262621615426,0.96580686114414
25,76598625.659031,0.103667735179283,0.0216063780493464,-0.993231544456248,-0.116151190682906
26,84463589.8255412,0.122060911928473,0.0237573260249557,-0.181291049142481,-0.983429486796495
27,77594611.7306834,0.125298252091732,0.0413185668606074,0.112775476480291,0.993620496922564
28,69149361.0896248,0.12335384732483,0.0241871789826322,-0.223796469636509,0.974635901338667
29,77018405.1526268,0.127083788485438,0.00794324729365439,0,-1
30,72943611.2699503,0.127083788485438,0.0240722795517189,-0.0307491866485273,0.999527131958134
31,76545935.5870753,0.127564244526822,0.00845466811487306,0,-1
32,80147383.2924092,0.127564244526822,0.0236061832663882,0.22082821796091,-0.975312718133117
33,79569430.9149533,0.124316770733279,0.0379490173565811,-0.387021921792399,0.92207051360084
34,79389193.5369587,0.129845655330313,0.0247765814479977,0.500046601140107,0.865998496931852
35,75679700.6346671,0.122900563647812,0.0127488245461664,-0.00161942227649037,-0.999998688734886
36,77795746.121443,0.122922447732629,0.0262623203398811,0.154600172246671,0.987977118531244
37,80356641.3795439,0.12088823493991,0.0132626214118384,-0.00234294864538241,-0.999997255292056
38,73522532.4005551,0.120918272743056,0.0260830990437878,0.0740414696700885,0.997255163320348
39,74622226.8873073,0.11999275437218,0.0136174095022835,0.00587405695216612,-0.999982747578638
40,79583346.5721697,0.119921119531299,0.0258123210581205,0.147636687228095,0.989041661703041
41,79766899.7547951,0.118163539921441,0.0140380155616557,-0.02114746579012,-0.999776367339545
42,76724684.950649,0.118409440686443,0.0256633221586272,0.2223443687006,0.974968195228507
43,86337327.102954,0.115882800133027,0.0145841381219396,-0.00724593719471253,-0.999973747852497
44,76981003.9418751,0.115963310546301,0.0256949575425229,-0.469560848217131,0.882900113162077
45,77477374.5054404,0.121067232809531,0.0160982171820656,-0.0741967981232392,-0.997243618755347
46,78976666.1857784,0.12185656044914,0.0267071918496756,0.117706952911293,0.993048374066611
47,78357923.3176125,0.120630446356314,0.0163629379531484,-0.00814836592992133,-0.999966801515266
48,84261268.2168432,0.120713592947436,0.0265666808257532,-0.115326385267973,0.993327652318722
49,80690374.8450848,0.121866856800115,0.016633404302566,0.00994838335887966,-0.999950513609821
50,82971064.9478706,0.12176932362993,0.0264368407105054,0.569609349097348,0.821915561004228
51,80290939.7110293,0.11629231065784,0.0185338064700801,0.0230133479901927,-0.999735157836455
52,83245622.0757429,0.116075203601329,0.0279652702232542,-0.229769449658616,0.973245087325683
53,77749434.1745186,0.118202698505575,0.0189537416369053,-0.0953519284067381,-0.995443624596148
54,78257351.028612,0.119069534218364,0.0280032291332339,0.226577017670462,0.973993252062641
55,81320212.7998332,0.117046525132021,0.0193068608112461,-0.047835064792175,-0.998855248059662
56,79898990.455816,0.117466130963531,0.0280687489521203,-0.306073646990449,0.952007837477174
57,73379088.7857964,0.120104696885862,0.0198617848359378,0.0914009879611469,-0.995814169109742
58,77919612.9128855,0.119330112242124,0.0283008879639864,-0.0379102295216286,0.999281148875339
59,73662527.2467306,0.119646030821471,0.0199735450566919,0.407599132788023,-0.913160964425468
60,79989033.4706595,0.116305054323208,0.0274584709946056,0.00450219296217923,0.999989865077907
61,80539387.3594294,0.116268746315449,0.019394036598816,0.0690080191174999,-0.997616105171462
62,76014180.2208162,0.11572106362404,0.0273116247350975,-0.208947363049752,0.977926888614152
63,81921576.4550742,0.117353464897866,0.0196715709177994,0.222425373423038,-0.974949718322757
