Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,400823485.937359,0.0348135416759138,0.00526072809109238,0.809034303525246,0.587761427553238,0.01,0.75
1,52080465256.0765,0,0,-1,0,0.00840896415253715,0.375
2,420405272.687717,0.375,0,0,-1,0.00759835685651593,0.25
3,429261111.871201,0.375,0.25,1,0,0.00707106781186548,0.1875
4,773602186.957742,0.1875,0.1875,-0.613169509503595,0.789951360917317,0.00668740304976422,0.15
5,415461223.95776,0.279475426425539,0.0690072958624025,0.304286543205343,0.952580547578074,0.00638943104246272,0.125
6,668337206.089001,0.241439608524871,0,0,-1,0.00614788152951264,0.107142857142857
7,404568957.837786,0.241439608524871,0.107142857142857,1,0,0.00594603557501361,0.09375
8,396266698.65635,0.147689608524871,0.107142857142857,1,0,0.00577350269189626,0.0833333333333333
9,568991283.924678,0.064356275191538,0.064356275191538,-0.609581080843437,0.792723726072171,0.00562341325190349,0.075
10,423394496.503125,0.110074856254796,0.00490199573612519,0,-1,0.00549100486776113,0.0681818181818182
11,416842841.51613,0.110074856254796,0.0730838139179434,1,0,0.00537284965911771,0.0625
12,469436684.453453,0.0475748562547958,0.0475748562547958,-0.563205233703972,0.826317048552463,0.00526640387847927,0.0576923076923077
13,400240643.286489,0.0800674658915634,0,0,-1,0.00516973153957171,0.0535714285714286
14,413133912.093517,0.0800674658915634,0.0535714285714286,1,0,0.00508132748154615,0.05
15,447255357.216931,0.0300674658915634,0.0300674658915634,-0.651416064896806,0.758720706448928,0.005,0.046875
16,368366714.901373,0.0606025939336012,0,0,-1,0.00492479060505452,0.0441176470588235
17,415438188.979389,0.0606025939336012,0.0441176470588235,-1,0,0.00485491771707323,0.0416666666666667
18,385263643.12247,0.102269260600268,0.0441176470588235,1,0,0.00478973625443575,0.0394736842105263
19,399644495.239251,0.0627955763897416,0.0441176470588235,1,0,0.00472870804501588,0.0375
20,406665287.675732,0.0252955763897416,0.0252955763897416,-0.894795637193378,0.446475942979794,0.004671379777282,0.0357142857142857
21,395093915.931471,0.0572525634323622,0.00935000699760605,-0.67594860899001,0.736948762129682,0.00461736630944103,0.0340909090909091
22,434697789.27634,0.0802962660115671,0,0,-1,0.00456633785496731,0.0326086956521739
23,395879417.615744,0.0802962660115671,0.0326086956521739,1,0,0.00451801001804922,0.03125
