Iteration,f,x0,x1,Df0,Df1,Step_Df,Step_a
0,412276540.424275,0.034555595461808,0.00890312949414697,-0.0635406877987667,-0.997979248779282,0.02,1.25
1,85517794749.3685,0.113981455210266,0.113981455210266,-0.645702609431077,0.763588986414745,0.0168179283050743,0.625
2,13617850538.5647,0.51754558610469,0,0,-1,0.0151967137130319,0.416666666666667
3,472284745.878305,0.51754558610469,0.416666666666667,1,0,0.014142135623731,0.3125
4,4919208728.63335,0.20504558610469,0.20504558610469,-0.658648821544511,0.75245048333962,0.0133748060995284,0.25
5,425550035.302772,0.369707791490817,0.0169329652697847,0,1,0.0127788620849254,0.208333333333333
6,4087949768.76472,0.369707791490817,0,0,-1,0.0122957630590253,0.178571428571429
7,465484403.894518,0.369707791490817,0.178571428571429,1,0,0.0118920711500272,0.15625
8,438142986.675849,0.213457791490817,0.178571428571429,1,0,0.0115470053837925,0.138888888888889
9,1502293048.28666,0.0745689026019283,0.0745689026019283,-0.649293829864042,0.76053765357179,0.011246826503807,0.125
10,472008412.224591,0.155730631334934,0,0,-1,0.0109820097355222,0.113636363636364
11,404881218.422183,0.155730631334934,0.113636363636364,1,0,0.0107456993182354,0.104166666666667
12,812187592.095791,0.0515639646682669,0.0515639646682669,-0.685181348000761,0.728372514824564,0.0105328077569585,0.0961538461538462
13,452029633.430325,0.117446786591417,0,0,-1,0.0103394630791434,0.0892857142857143
14,397688825.449542,0.117446786591417,0.0892857142857143,1,0,0.0101626549630923,0.0833333333333333
15,705530258.372208,0.0341134532580838,0.0341134532580838,-0.69602477542577,0.718017765792398,0.01,0.078125
16,466571150.194907,0.088490388838222,0,0,-1,0.00984958121010905,0.0735294117647059
17,428281987.331738,0.088490388838222,0.0735294117647059,1,0,0.00970983543414647,0.0694444444444444
18,726208499.743396,0.0190459443937776,0.0190459443937776,-0.755675672918341,0.654946011026415,0.00957947250887149,0.0657894736842105
19,472937406.03642,0.0687614491910368,0,0,-1,0.00945741609003176,0.0625
20,441268666.222651,0.0687614491910368,0.0625,0.26767772538358,0.96350850298971,0.009342759554564,0.0595238095238095
21,410065463.967208,0.052828251251538,0.00514830339346962,-0.0489682984280343,-0.998800333274405,0.00923473261888205,0.0568181818181818
22,420050622.773525,0.0556105409349491,0.0556105409349491,-0.640910157628431,0.767615899945214,0.00913267570993462,0.0543478260869565
23,414649627.673842,0.0904426147191029,0.013892285503144,0.068267657053759,0.99766704215404,0.00903602003609845,0.0520833333333333
24,562542225.288263,0.0868870075808863,0,0,-1,0.00894427190999916,0.05
25,415459326.095956,0.0868870075808863,0.05,1,0,0.00885700028538295,0.0480769230769231
26,421976089.63648,0.0388100845039632,0.0388100845039632,-0.648522029002011,0.76119588668037,0.00877382675301662,0.0462962962962963
27,416505484.961707,0.0688342525133156,0.00356953419468684,0,-1,0.00869441743889983,0.0446428571428571
28,410077288.164786,0.0688342525133156,0.048212391337544,1,0,0.00861847638917812,0.0431034482758621
29,471012723.789447,0.0257308042374535,0.0257308042374535,-0.783291984765885,0.621653976583051,0.00854574012792468,0.0416666666666667
30,432723995.740107,0.0583679702693654,0,0.0268793702287534,-0.999638684453591,0.00847597314830043,0.0403225806451613
31,398042172.67768,0.0572841246956253,0.0403080114699028,1,0,0.00840896415253715,0.0390625
32,470988214.403603,0.0182216246956253,0.0182216246956253,-0.733831248838904,0.679331802749978,0.00834452289722301,0.0378787878787879
33,433092127.63916,0.0460182629092202,0,0.0494428330623773,-0.998776955210104,0.00828247753133104,0.0367647058823529
34,409608145.859954,0.0442005116936916,0.0367197410003715,0.997757680981442,0.066929889007338,0.00822267233801039,0.0357142857142857
35,486768666.072267,0.00856630880149725,0.00856630880149725,-0.780857673895114,0.624708966735,0.00816496580927726,0.0347222222222222
36,454913672.589299,0.0356794224784109,0,0.0410041639124942,-0.999158975609906,0.0081092289967754,0.0337837837837838
37,392726565.511307,0.0342941466705564,0.033755370797632,-0.678317433104836,0.734768984066466,0.00805534409273155,0.0328947368421053
38,433177712.126351,0.0566072201279523,0.00958533842702455,0.0360561549624183,0.999349765442173,0.008003203203845,0.032051282051282
39,467642163.597593,0.0554515741355671,0,0.00512542121848119,-0.999986864942402,0.00795270728767051,0.03125
40,399964625.602362,0.0552914047224896,0.0312495895294501,1,0,0.0079037652264881,0.0304878048780488
41,414662307.15695,0.0248035998444408,0.0248035998444408,-0.596112944529655,0.802900589963779,0.00785629301801026,0.0297619047619048
42,411599647.428061,0.042545056526871,0.000907748952661675,0.0885627870705844,-0.996070596266294,0.00781021306579032,0.0290697674418605
43,410744992.112254,0.0399705569027261,0.0298632895417981,1,0,0.00776545355504446,0.0284090909090909
44,477456766.606626,0.0115614659936352,0.0115614659936352,-0.806523054763191,0.591202640501081,0.00772194790192179,0.0277777777777778
45,409439565.928574,0.0339648841815016,0,0.0862351196498919,-0.996274813562487,0.0076796342661587,0.0271739130434783
46,397941360.280073,0.0316215385388415,0.0270726851511545,0.565605364565644,0.824676040378623,0.00763845511861907,0.0265957446808511
47,392372911.229323,0.016578842672734,0.00513981173682946,-0.435768647168038,-0.900058712610093,0.00759835685651593,0.0260416666666667
48,414037298.259689,0.0279269845260683,0.0279269845260683,-0.704679815196308,0.709525445671187,0.00755928946018455,0.0255102040816327
49,416916330.355041,0.0459035104239333,0.00982684560588495,0.194691732632169,0.980864480570422,0.00752120618617279,0.025
50,434440260.133307,0.0410362171081291,0,0.0263788091165128,-0.999652018669294,0.00748406329216425,0.0245098039215686
51,442136595.762575,0.0403896776689988,0.0245012749673847,1,0,0.00744781978987965,0.0240384615384615
52,433407736.151309,0.0163512161305373,0.0163512161305373,-0.785355515239863,0.619045002146313,0.00741243722263303,0.0235849056603774
53,414508993.452135,0.0348737518673265,0.00175109815538842,0.117596527394346,-0.993061456680699,0.00737787946466881,0.0231481481481481
54,428557206.28344,0.0321516100294945,0.024738631874849,-1,0,0.00734411253978718,0.0227272727272727
55,430841175.889271,0.0548788827567672,0.024738631874849,0.998928729430305,0.0462751933410968,0.00731110445709025,0.0223214285714286
56,410121669.424823,0.0325813664748407,0.0237057034520567,-1,0,0.00727882506195895,0.0219298245614035
57,415569248.783695,0.0545111910362442,0.0237057034520567,0.992155823139713,0.125007290227245,0.00724724590060866,0.021551724137931
58,409526372.380862,0.0331285224340953,0.0210115808178488,-1,0,0.00721634009677548,0.0211864406779661
59,404383083.338721,0.0543149631120614,0.0210115808178488,0.741131997748303,0.671359338889099,0.00718608223926168,0.0208333333333333
60,416461033.340383,0.0388747131589717,0.00702492792432592,0.258466332837867,-0.966020266241524,0.00715644827922052,0.0204918032786885
61,406737889.722059,0.0335782719122941,0.0268204251833735,0.999847083225685,0.0174874287730137,0.00712741543619258,0.0201612903225806
62,466509304.805426,0.0134200645891956,0.0134200645891956,-0.77759133964154,0.628769996512616,0.00709896211202011,0.0198412698412698
63,401123088.942418,0.0288484641852579,0.000944469420294504,-0.214607487515522,-0.97670037693362,0.00707106781186548,0.01953125
64,411039790.636883,0.0330400166757954,0.0200206486572793,-1,0,0.00704371307164647,0.0192307692307692
65,421352893.774814,0.0522707859065647,0.0200206486572793,0.802708271926502,0.596371889160421,0.00701687939127737,0.0189393939393939
66,415933007.41122,0.0370679777261385,0.00872572651408948,-0.572058127879174,-0.820213081051122,0.00699054917317102,0.0186567164179104
67,409482139.219395,0.047740703992541,0.0240282093695209,0.990125816314847,0.14018155323315,0.00696470566551571,0.0183823529411765
68,415927272.529081,0.029539861780871,0.0214513425821468,-1,0,0.00693933290989182,0.0181159420289855
69,429145081.397967,0.0476558038098565,0.0214513425821468,0.999950464291871,-0.00995333926240684,0.00691441569283882,0.0178571428571429
70,426508160.409902,0.0297995455189303,0.0216290807832612,1,0,0.00688993950102279,0.0176056338028169
71,411273091.555246,0.0121939117161134,0.0121939117161134,-0.684295232568496,0.729205070391058,0.00686589047969039,0.0173611111111111
72,421182436.580998,0.0240740372815386,0,0.0882416559057019,-0.996099096557677,0.00684225539412643,0.0171232876712329
73,417837426.025746,0.0225630500228794,0.0170564913794123,-0.992885172482664,0.119075750109209,0.00681902159385991,0.0168918918918919
74,405245325.344718,0.0393347590175189,0.0150450766816216,0.36907250418129,0.929400606120607,0.00679617697938849,0.0166666666666667
75,428605775.974144,0.0331835506144974,0,-0.0877187730755932,-0.996145278988016,0.00677370997121314,0.0164473684210526
76,414487936.937405,0.0346262935927144,0.0163839684044082,0.972040800250892,-0.234812015552029,0.00675160948099453,0.0162337662337662
77,409692275.697754,0.0188464104717584,0.0188464104717584,-0.773846590006183,0.633373077368941,0.0067298648846603,0.016025641025641
78,411574081.669836,0.0312477981321139,0.00869620089853819,0.797332244330232,0.60354063007499,0.00670846599730825,0.0158227848101266
79,403240752.182201,0.0186317816079014,0,-0.0378828125050435,-0.999282188631774,0.00668740304976422,0.015625
80,406822509.958184,0.0192237005532927,0.0156137841973715,-0.868442075645052,0.495790642559249,0.00666666666666667,0.0154320987654321
81,397269945.587421,0.032625584436704,0.00796269403442009,0.0498264599135908,0.99875789052827,0.0066462478459608,0.0152439024390244
82,425945832.469976,0.0318660347428992,0,0.0195844423079251,-0.999808206417355,0.0066261379396958,0.0150602409638554
83,414196999.842541,0.0315710883225992,0.0150573525062855,0.946161709557361,0.323694330144185,0.00660632863602761,0.0148809523809524
84,416152403.667703,0.0174913009779956,0.0102404725934256,-0.997663977239339,-0.0683124331215321,0.00658681194233836,0.0147058823529412
85,409590409.098347,0.0321628300550447,0.011245067198154,-0.418221585740696,0.908345036437442,0.00656758016939081,0.0145348837209302
86,416913958.675226,0.0382416321733688,0,0.112257374899181,-0.993679164409089,0.00654862591644322,0.014367816091954
87,408676895.040361,0.0366287388558518,0.0142769994886363,-0.9271582150379,-0.374670047225203,0.0065299420572561,0.0142045454545455
88,416686230.184337,0.0497985998649129,0.0195990172049034,0.759843413538941,0.650106135105254,0.00651152172692792,0.0140449438202247
89,400788339.286931,0.0391266418095907,0.0104683130601667,0.348313558260777,0.937378080142541,0.00649335830950198,0.0138888888888889
90,431343569.482761,0.0342889535004132,0,0.105665512389084,-0.994401729429083,0.00647544542629129,0.0137362637362637
91,429405743.466992,0.0328375041544093,0.0136593644152347,0.699521177625042,0.714611868117284,0.00645777692487244,0.0135869565217391
92,396948083.582226,0.0233331403279821,0.00394996403320635,-0.22398712012122,-0.974592104431286,0.00644034686870335,0.0134408602150538
93,410319569.298895,0.0263437198995039,0.0170493202755623,-0.99504755867077,0.0993999797954763,0.00642314952732316,0.0132978723404255
94,412138567.611492,0.0395757353073599,0.0157275120336012,0.940509525678033,0.339767320542869,0.00640617936709597,0.0131578947368421
95,413985175.710768,0.027200609969491,0.0112568893948793,0.758044030010152,0.652203379756627,0.00638943104246272,0.0130208333333333
96,430253715.44839,0.0173302449954005,0.00276465788763151,-0.310467935382168,-0.950583852745003,0.00637289938766844,0.0128865979381443
97,409697309.377722,0.0213311204513562,0.0150144498044486,-0.99999999531846,9.67630151912898E-05,0.00635657940893437,0.0127551020408163
98,421067496.688887,0.034086222432459,0.015013215582316,0.964985301199935,-0.262303961975548,0.00634046627704686,0.0126262626262626
99,426884588.377468,0.0219020645890255,0.0183251342941285,-0.958738172895833,0.2842905482642,0.00632455532033676,0.0125
100,405881720.528316,0.0338862917502234,0.014771502440826,0.899274990799669,0.437383688450146,0.00630884201802514,0.0123762376237624
101,411226754.255253,0.02275665077498,0.00935833797980934,-0.953077954159215,0.302724979636113,0.00629332199391283,0.0122549019607843
102,399718456.569978,0.0344365276641861,0.00564847303328834,0.292084903891822,-0.95639239275441,0.00627799101039271,0.0121359223300971
103,403985480.003359,0.0308918079567611,0.0172551768288516,-1,0,0.00626284496276547,0.0120192307692308
104,414705376.969389,0.0429110387259918,0.0172551768288516,0.682055748649524,0.73130018168611,0.00624787987384051,0.0119047619047619
105,409625618.79049,0.0347913274325451,0.00854922228496931,0.812859965401083,0.582459163073387,0.00623309188880531,0.0117924528301887
106,407866489.4082,0.025205714633004,0.00168060007891522,-0.344551808721569,-0.938767304025175,0.00621847727034734,0.0116822429906542
107,426901823.966338,0.0292308525853588,0.0126475078362187,0.854586604278941,0.519308902087177,0.006204032394014,0.0115740740740741
108,420500546.072417,0.0193398039247229,0.0066369881361356,-0.994482036801508,0.104906999190354,0.00618975374379676,0.0114678899082569
109,414945445.679006,0.0307444144385017,0.00543392621881503,-0.703761378329308,-0.710436430915555,0.0061756379079269,0.0113636363636364
110,409586940.544347,0.0387417028286074,0.0135070674792191,0.971651050255486,0.236419619611847,0.00616168157487061,0.0112612612612613
111,409737632.737943,0.0277996864969015,0.0108446843754821,0.291362076711327,0.956612847631926,0.00614788152951264,0.0111607142857143
112,415242266.906441,0.024547877605034,0.000168201701018597,-0.10618573536293,-0.994346312712746,0.00613423464951773,0.0110619469026549
113,400025998.468336,0.0257224985714381,0.0111676078150976,0.969817726113352,-0.243831044201363,0.00612073790186018,0.0109649122807018
114,410826405.726926,0.0150885322763356,0.0138411938260775,-0.792304913358414,0.610125334884658,0.00610738833951244,0.0108695652173913
115,425460405.068232,0.0237005422041444,0.007209396707766,-0.746866997986851,0.664973448581302,0.006094183098284,0.0107758620689655
116,430860113.412016,0.0317486779583131,4.37345463295503E-05,-0.0689629681174265,-0.997619220458605,0.00608111939380259,0.0106837606837607
117,402727560.58061,0.0324854618057215,0.0107020595512292,0.831458250032646,0.555587237481792,0.00606819451863014,0.0105932203389831
