Parameter,Coefficient,P-Value
Simulation Replication,0.1579,0.2128
Random Seed,-0.0548,0.6674
Dummy 0,nan,nan
Dummy 1,nan,nan
"Ratio of TB infectivity, experienced to naive ",0.0142,0.9111
"Ratio of TB infectivity, children to naive ",-0.0701,0.5823
"Infectivity of TB, Naive Adults",-0.0555,0.6632
"Infectivity of TB, Experienced Adults",-0.0555,0.6632
"Infectivity of TB, Children",-0.1183,0.3520
"Ratio of HIV infectivity, HIV+IC to HIV+ nIC",nan,nan
"Ratio of HIV infectivity, ART to HIV+ nIC",nan,nan
Infectivity of HIV+ nIC,-0.0588,0.6442
Infectivity of HIV+ IC,-0.0588,0.6442
Infectivity of HIV+ ART,-0.0588,0.6442
Prob: If Tc+ after Tc | HIV -,nan,nan
Prob: If Tc+ after Tc | HIV+nIC,nan,nan
Prob: If Tc+ after Tc | HIV+IC,nan,nan
Prob: If Tc+ after Tc | HIV+ART,nan,nan
Rate of follow-up | Tc+ >1 | HIV-,nan,nan
Rate of follow-up | Tc+ >1 | HIV+nIC,nan,nan
Rate of follow-up | Tc+ >1 | HIV+IC,nan,nan
Rate of follow-up | Tc+ >1 | HIV+ART,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV -,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+nIC,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+IC,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+ART,nan,nan
Cost of clinic visit for initial diagnosis (excluding tests),nan,nan
Cost of follow-up clinic visit (excluding tests),nan,nan
Cost of Xpert,nan,nan
Cost of culture,nan,nan
Cost of DST,nan,nan
Cost of smear microscopy,nan,nan
Cost of X-ray,-0.0737,0.5627
Cost of DS-TB treatment (full course),0.0413,0.7456
Cost of MDR-TB treatment (full course),-0.1342,0.2906
Cost of IPT (per year),0.1665,0.1886
Cost of monitoring visit (per year),nan,nan
Cost of ART (per year),0.0929,0.4651
"Cost of + | No IPT, No ART (per year)",nan,nan
"Cost of + |IPT, No ART (per year)",0.1665,0.1886
"Cost of +|No IPT, ART (per year)",0.0929,0.4651
"Cost of +|IPT, ART (per year)",0.1088,0.3920
Cost of diagnosing | Tn,-0.0737,0.5627
Cost of diagnosting | Ti ,-0.0737,0.5627
Cost of diagnosing | Tc,-0.0737,0.5627
Cost of diagnosing | Tc+,nan,nan
Disutility | HIV+nIC,0.0657,0.6060
Disutility | HIV+IC,0.0757,0.5520
Disutility | HIV+ART,-0.0714,0.5751
Disutility | I | HIV-,0.2417,0.0544
Disutility | T | HIV-,nan,nan
Disutility | I | HIV+nIC,0.2469,0.0492
Disutility | T | HIV+nIC,0.0657,0.6060
Disutility | I | HIV+IC,0.2154,0.0874
Disutility | T | HIV+IC,0.0757,0.5520
Disutility | I | HIV+ART,0.2189,0.0822
Disutility | T | HIV+ART,-0.0714,0.5751
Life-years lost | TB cause of death,-0.1320,0.2984
Life-years lost | HIV cause of death,0.1551,0.2210
Prob DILI,-0.1031,0.4175
Prob Hospitalization if DILI,0.0671,0.5984
Prob Death if Hospitalized,0.0253,0.8426
Prob Hospitalization,-0.0862,0.4984
Prob Death,-0.0482,0.7055
Cost of managing DILI,-0.0698,0.5835
Cost of Hospitalization,0.0421,0.7413
E[Cost of managing DILI],-0.1473,0.2453
E[Cost of DILI-related hospitalization],-0.0813,0.5230
E[Additional cost due to DILI],-0.1310,0.3022
Duration of DILI,nan,nan
Duration of DILI-related hospitalization,nan,nan
Disutility of DILI,-0.2741,0.0284
Disutility of DILI-related hospitalization,0.1521,0.2302
E[DALY of DILI],-0.1682,0.1839
E[DALY of DILI-related hospitalization,0.0602,0.6365
E[DALY of DILI-death,-0.0509,0.6895
E[Additional DALY due to DILI],-0.0753,0.5544
Sensitivity of diagnosis for | I | Tn | HIV-,-0.0323,0.8001
Sensitivity of diagnosis for | I | Ti | HIV-,-0.0323,0.8001
Sensitivity of diagnosis for | I | Tc | HIV-,-0.0323,0.8001
Sensitivity of diagnosis for | I | Tc+ | HIV-,nan,nan
Sensitivity of diagnosis for | I | Tn | HIV+,0.0066,0.9585
Sensitivity of diagnosis for | I | Ti | HIV+,0.0066,0.9585
Sensitivity of diagnosis for | I | Tc | HIV+,0.0066,0.9585
Sensitivity of diagnosis for | I | Tc+ | HIV+,nan,nan
Rate: Dropout | L | Tc+ >1| HIV -,nan,nan
Rate: Dropout | I | Tc+ >1| HIV -,nan,nan
IPT effectiveness | relative reduction in prob fast progression | L | comp,-0.0536,0.6742
IPT effectiveness | relative reduction in activation rate | L | comp,-0.1297,0.3070
Multiplier | IPT effectiveness | reduction in prob fast progression | L | comp,0.0536,0.6742
Multiplier | IPT effectiveness | reduction in activation rate | L | comp,0.1297,0.3070
ART Effectiveness Factor,-0.1333,0.2937
Birth rate,-0.2059,0.1027
Aging rate | S | children,0.2220,0.0779
Aging rate | L | children,0.1559,0.2186
Aging rate | I | children,0.0210,0.8691
Aging rate | R| children,-0.3202,0.0099
Rate: Progression to HIV-IC from HIV-nIC,-0.0667,0.6004
Ratio of death rate:  adults |experienced to adults | naive ,0.0062,0.9611
Natural death rate | children,0.0774,0.5433
Natural death rate | adults | naive ,-0.0246,0.8468
Natural death rate | adults | experienced ,-0.0305,0.8107
Excess mortality | HIV if nIC,-0.1255,0.3233
Excess mortality | HIV if IC,-0.1750,0.1667
Excess mortality | HIV on ART,-0.1341,0.2909
1 - partial immunity from prior infection | HIV -,-0.2426,0.0534
1 - partial immunity from prior treatment | HIV -,-0.1838,0.1459
1 - partial immunity from prior infection | HIV+ nIC,-0.0418,0.7429
1 - partial immunity from prior treatment | HIV+ nIC,-0.0032,0.9802
1 - partial immunity from prior infection | HIV+ IC,0.0744,0.5592
1 - partial immunity from prior treatment | HIV+ IC,-0.1044,0.4117
1 - partial immunity from prior infection | HIV+ ART,0.0194,0.8790
1 - partial immunity from prior treatment | HIV+ ART,-0.1452,0.2522
Ratio: Susceptibility of S | children to S | Tn | HIV -,0.0329,0.7962
Ratio: Susceptibility of L | children to S | Tn | HIV -,-0.0963,0.4491
Ratio: Reactivation >1 to <1,-0.1593,0.2085
