Parameter,Coefficient,P-Value
Simulation Replication,-0.1697,0.1800
Random Seed,0.2586,0.0391
Dummy 0,nan,nan
Dummy 1,nan,nan
"Ratio of TB infectivity, experienced to naive ",0.0495,0.6980
"Ratio of TB infectivity, children to naive ",0.1106,0.3842
"Infectivity of TB, Naive Adults",-0.0500,0.6948
"Infectivity of TB, Experienced Adults",-0.0500,0.6948
"Infectivity of TB, Children",0.1080,0.3956
"Ratio of HIV infectivity, HIV+IC to HIV+ nIC",nan,nan
"Ratio of HIV infectivity, ART to HIV+ nIC",nan,nan
Infectivity of HIV+ nIC,0.2936,0.0185
Infectivity of HIV+ IC,0.2936,0.0185
Infectivity of HIV+ ART,0.2936,0.0185
Prob: If Tc+ after Tc | HIV -,nan,nan
Prob: If Tc+ after Tc | HIV+nIC,nan,nan
Prob: If Tc+ after Tc | HIV+IC,nan,nan
Prob: If Tc+ after Tc | HIV+ART,nan,nan
Rate of follow-up | Tc+ >1 | HIV-,nan,nan
Rate of follow-up | Tc+ >1 | HIV+nIC,nan,nan
Rate of follow-up | Tc+ >1 | HIV+IC,nan,nan
Rate of follow-up | Tc+ >1 | HIV+ART,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV -,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+nIC,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+IC,nan,nan
Prob: If MDR-TB after Diagnostic Test | I | Tc+ <1| HIV+ART,nan,nan
Cost of clinic visit for initial diagnosis (excluding tests),nan,nan
Cost of follow-up clinic visit (excluding tests),nan,nan
Cost of Xpert,nan,nan
Cost of culture,nan,nan
Cost of DST,nan,nan
Cost of smear microscopy,nan,nan
Cost of X-ray,0.3537,0.0041
Cost of DS-TB treatment (full course),-0.0662,0.6035
Cost of MDR-TB treatment (full course),0.1541,0.2241
Cost of IPT (per year),-0.0331,0.7954
Cost of monitoring visit (per year),nan,nan
Cost of ART (per year),-0.0798,0.5307
"Cost of + | No IPT, No ART (per year)",nan,nan
"Cost of + |IPT, No ART (per year)",-0.0331,0.7954
"Cost of +|No IPT, ART (per year)",-0.0798,0.5307
"Cost of +|IPT, ART (per year)",-0.0883,0.4877
Cost of diagnosing | Tn,0.3537,0.0041
Cost of diagnosting | Ti ,0.3537,0.0041
Cost of diagnosing | Tc,0.3537,0.0041
Cost of diagnosing | Tc+,nan,nan
Disutility | HIV+nIC,0.1931,0.1263
Disutility | HIV+IC,0.1533,0.2264
Disutility | HIV+ART,0.1391,0.2728
Disutility | I | HIV-,0.0065,0.9590
Disutility | T | HIV-,nan,nan
