dDALY,dCost
1650.269942,-382971.4747
6715.116992,-140188.062
5267.841657,169035.7282
5653.324354,125371.9426
2490.492746,-325663.6049
2357.664801,-165641.9209
400.7544835,108192.856
3739.944949,-227754.0385
751.7736143,-249825.1773
3520.08946,304366.0927
2626.4047,75902.61005
4490.457085,58272.6946
4117.772158,-524339.5554
220.8758485,-222887.5774
661.1554273,192727.1872
2899.040194,-388805.896
35537.11021,-917558.7895
1242.056065,395765.6331
2037.132261,-37171.09543
3332.0066,-986067.475
3283.372403,-95829.62205
1265.861924,-14938.31942
4573.115139,97069.37486
8668.162013,1991.987365
6138.056663,-962545.1809
30.97033574,-42636.95278
3504.395584,-101906.4332
3035.579454,-347198.9945
760.3082517,56667.47044
813.7575859,507931.6195
7112.177914,21127.20139
3829.502288,37029.40988
11084.80955,338553.8753
398.6606914,-303667.4112
3796.511881,294968.8621
493.0689549,-98381.2187
4568.942413,563096.1654
-488.938708,-195445.7699
3042.764112,14875.10574
1882.80132,44678.76053
20694.96198,-183019.2224
5134.412777,57298.44722
2034.373486,103077.7366
12236.44076,-408247.5981
3482.749158,1088481.481
911.9653503,-449382.165
3372.894289,-420689.2
1492.16793,154940.2884
7272.339361,-162280.3522
4848.796397,532328.4031
2960.427039,299668.2053
2343.019813,86243.41177
1962.707501,169514.8041
755.643672,-229555.6792
847.9355532,6770.063003
1736.556583,-126434.9849
663.3800905,-347595.4232
76153.27862,-7561759.727
1771.230011,-55151.14672
1077.078576,175741.3805
-291.433022,171590.8509
2918.434962,236118.6021
643.5602496,488359.954
821.0497286,-145321.6768
