Replication,Simulation Period,To: Natual Death | HIV-,To: TB Death | infectious and undetected | HIV -,To: TB Death | under treatment | HIV -,To: Death | HIV+ nIC,To: TB Death | infectious and undetected | HIV+ nIC,To: TB Death | under treatment | HIV+ nIC,To: Death | HIV+ IC,To: TB Death | infectious and undetected | HIV+ IC,To: TB Death | under treatment | HIV+ IC,To: Death | ART,To: TB Death | infectious and undetected | ART,To: TB Death | under treatment | ART,To: Death | Children,To: TB Death | Children,To: Adult background death,Screening Performed,Notified TB Cases | Children,Notified TB Cases | Naive Adults,Notified TB Cases | Experienced Adults,Notified TB Cases | HIV +,Notified TB Cases |Adults,Notified TB Cases,Active TB Incidence,Active TB Incidence | Naive Adults,Active TB Incidence | Experienced Adults,Incident To: I| Tc<1 or >1 |HIV-,Incident To: I | Tc <1| HIV -,Incident To: I | Tc >1| HIV -,Reactivation To: I| Tc<1 or >1 |HIV-,Reactivation To: I | Tc <1| HIV -,Reactivation To: I | Tc >1| HIV -,TB Deaths,HIV Deaths,New ART Initiation,Active TB Incidence | Per Pop.,Active TB Incidence | Naive Adults | Per Pop.,Active TB Incidence | Experienced Adults | Per Pop.,% <1 |Incident To: I| Tc<1 or >1 |HIV-,% reactivation |Incident To: I| Tc<1 or >1 |HIV-,% reactivation |Incident To: I | Tc <1| HIV -,% reactivation |Incident To: I | Tc >1| HIV -,TB Deaths | Per Pop.,% adults notified TB with HIV+,Simulation Time,In: S | Tn | HIV -,In: L | Tn| HIV -,In: L | Ti <1| HIV -,In: L | Tc <1| HIV -,In: L | Tc+ <1| HIV -,In: L | Ti >1| HIV -,In: L | Tc >1| HIV -,In: L | Tc+ >1| HIV -,In: I | Tn| HIV -,In: I | Ti <1| HIV -,In: I | Tc <1| HIV -,In: I | Tc+ <1| HIV -,In: I | Ti >1| HIV -,In: I | Tc >1| HIV -,In: I | Tc+ >1| HIV -,In: Ti | HIV -,In: Tc | HIV -,In: Tmdr | HIV -,In: S | Tn | HIV+nIC,In: L | Tn| HIV+nIC,In: L | Ti <1| HIV+nIC,In: L | Tc <1| HIV+nIC,In: L | Tc+ <1| HIV+nIC,In: L | Ti >1| HIV+nIC,In: L | Tc >1| HIV+nIC,In: L | Tc+ >1| HIV+nIC,In: I | Tn| HIV+nIC,In: I | Ti <1| HIV+nIC,In: I | Tc <1| HIV+nIC,In: I | Tc+ <1| HIV+nIC,In: I | Ti >1| HIV+nIC,In: I | Tc >1| HIV+nIC,In: I | Tc+ >1| HIV+nIC,In: Ti | HIV+nIC,In: Tc | HIV+nIC,In: Tmdr | HIV+nIC,In: S | Tn | HIV+IC,In: L | Tn| HIV+IC,In: L | Ti <1| HIV+IC,In: L | Tc <1| HIV+IC,In: L | Tc+ <1| HIV+IC,In: L | Ti >1| HIV+IC,In: L | Tc >1| HIV+IC,In: L | Tc+ >1| HIV+IC,In: I | Tn| HIV+IC,In: I | Ti <1| HIV+IC,In: I | Tc <1| HIV+IC,In: I | Tc+ <1| HIV+IC,In: I | Ti >1| HIV+IC,In: I | Tc >1| HIV+IC,In: I | Tc+ >1| HIV+IC,In: Ti | HIV+IC,In: Tc | HIV+IC,In: Tmdr | HIV+IC,In: S | Tn | HIV+ART,In: L | Tn| HIV+ART,In: L | Ti <1| HIV+ART,In: L | Tc <1| HIV+ART,In: L | Tc+ <1| HIV+ART,In: L | Ti >1| HIV+ART,In: L | Tc >1| HIV+ART,In: L | Tc+ >1| HIV+ART,In: I | Tn| HIV+ART,In: I | Ti <1| HIV+ART,In: I | Tc <1| HIV+ART,In: I | Tc+ <1| HIV+ART,In: I | Ti >1| HIV+ART,In: I | Tc >1| HIV+ART,In: I | Tc+ >1| HIV+ART,In: Ti | HIV+ART,In: Tc | HIV+ART,In: Tmdr | HIV+ART,In: S | children,In: L | children,In: I | children,In: R| children,Population,Population | Children,Population | Adults,Population | Naive Adults,Population | Experienced Adults,HIV Prevalence,Active TB Prevalence,Active TB  & HIV+ | Prevalence,Active TB & Adults | Prevalence,Active TB & Naive Adults | Prevalence,Active TB & Experienced Adults | Prevalence,Active TB or On Treatment,In Post-Treatment Follow-Up,On TB Treatment,Experienced Adults Prevalence (Ratio),HIV Prevalence (Ratio),Active TB (Ratio),Active TB among Adults (Ratio),Active TB among Naive Adults (Ratio),Active TB among Experienced Adults (Ratio),Active TB among HIV+ (Ratio),Treatment Experieced Adults among Active TB (Ratio),HIV+ among Adult Active TB (Ratio),On Treatment / (Active TB + On T) (Ratio),Action Code,Replication,Observation Period,Epidemic Time,Action Code
0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2624,18356,0,0,0,838,322,0,52,0,0,0,0,11,0,0,0,0,74,518,0,0,0,24,9,0,1,0,0,0,0,0,0,0,0,0,73,512,0,0,0,23,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5701,2953,94,691,32886,9439,23447,22211,1236,1244,159,2,65,54,11,159,0,0,0.052714633,0.053055828,0.004834884,0.00277221,0.002431228,0.008899676,0.001607717,0.06918239,0.030769231,0,"1,0",0,0,0,"1,0"
0,1,0,25,0,13,3,0,140,14,0,0,0,0,20,0,236,0,58,127,33,39,160,218,383,292,44,11,5,6,7,4,3,62,153,0,0.011541359,0.013085955,0.034482759,0.454545455,0.636363636,0.8,0.5,0.001868314,0.24375,1,2650,18405,10,57,0,795,335,0,77,0,1,0,5,1,0,16,48,0,75,612,0,3,0,26,10,0,6,0,0,0,1,0,0,0,2,0,63,381,4,7,0,13,6,0,45,0,0,0,1,1,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5604,3130,79,698,33185,9511,23674,22314,1276,1274,217,54,138,128,10,239,0,22,0.053898792,0.053814311,0.006539099,0.00582918,0.005736309,0.007836991,0.042386185,0.046082949,0.391304348,0.092050209,"1,0",0,1,1,"1,0"
0,2,0,29,5,9,4,0,131,45,3,0,0,0,13,0,255,0,50,201,30,77,231,281,486,367,63,21,9,12,12,5,7,99,140,0,0.014534797,0.016456661,0.044241573,0.428571429,0.571428571,0.555555556,0.583333333,0.002960792,0.333333333,2,2500,18600,23,102,0,759,409,0,111,0,4,0,13,2,0,13,59,0,82,636,2,3,0,20,16,0,8,0,0,0,4,1,0,2,10,0,48,291,9,19,0,18,17,0,25,1,1,0,0,1,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5491,3336,81,693,33437,9601,23836,22301,1424,1241,252,41,171,144,27,273,0,21,0.059741567,0.052064105,0.007536561,0.007174022,0.00645711,0.018960674,0.033037873,0.107142857,0.239766082,0.076923077,"1,0",0,2,2,"1,0"
0,3,0,30,8,11,5,1,93,25,1,0,0,0,8,0,235,0,45,217,59,59,276,321,523,341,104,43,12,31,16,7,9,78,104,0,0.015477952,0.015237499,0.066752246,0.279069767,0.372093023,0.583333333,0.290322581,0.002308375,0.213768116,3,2371,18794,29,125,0,740,503,0,94,4,0,0,18,4,0,26,82,0,72,685,3,4,0,18,23,0,19,0,0,0,2,0,0,5,10,0,44,255,9,20,0,19,26,0,45,0,3,0,1,7,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5308,3594,108,698,33790,9708,24082,22379,1558,1292,305,77,197,158,39,339,0,34,0.064695623,0.053650029,0.009026339,0.008180384,0.00706019,0.025032092,0.059597523,0.127868852,0.390862944,0.100294985,"1,0",0,3,3,"1,0"
0,4,0,42,7,13,6,2,119,46,2,0,0,0,14,0,291,0,54,263,64,90,327,381,666,480,120,31,15,16,22,13,9,119,132,0,0.019557748,0.021485162,0.068886338,0.483870968,0.709677419,0.866666667,0.5625,0.003494553,0.275229358,4,2141,19000,46,169,0,717,612,0,137,2,2,0,25,3,0,30,81,0,61,698,8,17,0,21,23,0,29,1,0,0,1,1,0,5,16,0,35,198,11,19,0,15,32,0,42,1,1,0,1,14,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5088,3914,114,701,34053,9817,24236,22341,1742,1271,374,91,260,208,52,419,0,45,0.071876547,0.052442647,0.01098288,0.010727843,0.009310237,0.029850746,0.071597168,0.139037433,0.35,0.107398568,"1,0",0,4,4,"1,0"
0,5,0,57,11,11,4,1,93,58,4,0,0,0,7,0,247,0,60,296,82,91,378,438,703,465,159,55,21,34,24,16,8,142,104,0,0.020482489,0.020842671,0.08328968,0.381818182,0.436363636,0.761904762,0.235294118,0.004137288,0.240740741,5,1913,19255,46,185,0,712,742,0,134,7,4,0,26,3,0,27,121,0,51,672,7,25,0,22,39,0,29,1,0,0,6,3,0,2,17,0,18,206,5,19,0,18,30,0,32,1,0,0,2,6,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4831,4253,123,707,34322,9914,24408,22310,1909,1233,377,80,254,195,59,409,0,32,0.078212062,0.050516224,0.010984208,0.010406424,0.008740475,0.030906234,0.064882401,0.156498674,0.31496063,0.078239609,"1,0",0,5,5,"1,0"
0,6,0,49,11,7,8,4,92,36,1,0,0,0,23,0,295,0,71,264,109,94,373,444,687,433,175,64,32,32,33,21,12,132,99,0,0.019830846,0.019425751,0.083572111,0.5,0.515625,0.65625,0.375,0.003810294,0.252010724,6,1711,19463,36,220,0,708,887,0,137,4,3,0,22,4,0,19,115,0,49,663,5,32,0,28,42,0,22,0,0,0,4,1,0,3,15,0,13,192,6,22,0,17,43,0,40,0,1,0,0,9,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4727,4513,122,730,34643,10092,24551,22290,2094,1222,369,77,247,199,48,394,0,25,0.085291841,0.04977394,0.010651502,0.01006069,0.00892777,0.022922636,0.063011457,0.130081301,0.311740891,0.063451777,"1,0",0,6,6,"1,0"
0,7,0,42,12,12,8,1,78,27,1,0,0,0,19,0,268,0,69,284,78,89,362,431,678,447,158,62,24,38,30,19,11,110,90,0,0.019391929,0.020038553,0.069086139,0.387096774,0.483870968,0.791666667,0.289473684,0.003146183,0.245856354,7,1560,19660,33,244,0,702,1042,0,133,2,1,0,30,7,0,21,105,0,39,655,9,29,0,19,54,0,21,0,1,0,6,0,0,2,15,0,11,188,5,24,0,18,48,0,40,0,1,0,2,10,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4585,4760,114,750,34963,10209,24754,22307,2287,1214,368,81,254,194,60,396,0,28,0.092389109,0.049042579,0.010525413,0.010260968,0.008696822,0.026235243,0.066721582,0.163043478,0.318897638,0.070707071,"1,0",0,7,7,"1,0"
0,8,0,44,10,9,10,0,98,40,0,0,0,0,20,0,304,0,72,290,121,98,411,483,717,417,223,108,43,65,50,32,18,124,107,0,0.02034793,0.018712138,0.092839301,0.398148148,0.462962963,0.744186047,0.276923077,0.003519028,0.238442822,8,1401,19822,39,237,0,679,1165,0,119,3,7,0,28,16,0,23,122,0,40,663,3,32,0,21,62,0,22,0,1,0,3,1,0,1,22,0,12,179,10,22,0,15,43,0,27,0,4,0,2,9,0,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4514,4938,115,790,35237,10357,24880,22285,2402,1219,357,69,242,168,74,385,0,28,0.096543408,0.048995177,0.010131396,0.009726688,0.007538703,0.03080766,0.056603774,0.207282913,0.285123967,0.072727273,"1,0",0,8,8,"1,0"
0,9,0,32,10,16,6,3,83,26,0,0,0,0,14,0,290,0,68,267,142,86,409,477,634,381,193,95,25,70,46,18,28,91,99,0,0.017837047,0.017059192,0.075097276,0.263157895,0.484210526,0.72,0.4,0.002560207,0.210268949,9,1378,19909,32,278,0,677,1290,0,105,3,3,0,29,12,0,26,133,0,27,669,2,30,0,21,78,0,19,0,2,0,1,2,0,2,18,0,15,183,7,20,0,12,56,0,29,0,3,0,3,9,0,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4442,5098,98,800,35544,10438,25106,22334,2570,1231,318,68,220,153,67,353,0,35,0.102365968,0.049032104,0.008946658,0.008762846,0.006850542,0.026070039,0.055239643,0.210691824,0.309090909,0.099150142,"1,0",0,9,9,"1,0"
